King Grisly-Beard
'husband.'': HUS/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'fiddler': TPEUD/HRER
'went': WEPBT
'his': HEUS
'way,': WAEU/KW-BG
'and': SKP
'took': TAOBG
'her': HER
'with': W
'him,': HEUPL/KW-BG
'and': SKP
'they': THE
'soon': SAOPB
'came': KAEUPL
'to': TO
'a': AEU
'great': TKPWRAET
'wood.': WAOD/TP-PL
''Pray,'': A*E/KPA*/PRAEU/KW-BG/AE
'said': SED
'she,': SHE/KW-BG
''whose': A*E/WHOZ
'is': S
'this': TH
'wood?'': WAOD/H-F/AE
''It': A*E/KPA*/T
'belongs': PWHROPBGS
'to': TO
'King': KO*EUPBG
'Grisly-beard,'': KPA/TKPWREUS/HREU/H-PB/PWAERD/KW-BG/AE
'answered': AEPBS/-D
'he;': HE/STPH*FPLT
''hadst': A*E/H*/A*/TK*/S*/T*
'thou': THO*U
'taken': TAEPB
'him,': HEUPL/KW-BG
'all': AUL
'had': H
'been': PW-PB
'thine.'': THAOEUPB/TP-PL/AE
''Ah!': A*E/KPA*/HA*E/SKHRAPL
'unlucky': UPB/HRUBG/KWREU
'wretch': WREFP
'that': THA
'I': EU
'am!'': APL/SKHRAPL/AE
'sighed': SAOEU/-D
'she;': SHE/STPH*FPLT
''would': A*E/WO
'that': THA
'I': EU
'had': H
'married': PHAERD
'King': KO*EUPBG
'Grisly-beard!'': KPA/TKPWREUS/HREU/H-PB/PWAERD/SKHRAPL/AE
'Next': KPA/TPHEGT
'they': THE
'came': KAEUPL
'to': TO
'some': SOPL
'fine': TPAOEUPB
'meadows.': PHED/OES/TP-PL
''Whose': A*E/KPA*/WHOZ
'are': R
'these': THEZ
'beautiful': PWAOUFL
'green': TKPWRAOEPB
'meadows?'': PHED/OES/H-F/AE
'said': SED
'she.': SHE/TP-PL
''They': A*E/KPA*/THE
'belong': PWHROPBG
'to': TO
'King': KO*EUPBG
'Grisly-beard,': KPA/TKPWREUS/HREU/H-PB/PWAERD/KW-BG
'hadst': H*/A*/TK*/S*/T*
'thou': THO*U
'taken': TAEPB
'him,': HEUPL/KW-BG
'they': THE
'had': H
'all': AUL
'been': PW-PB
'thine.'': THAOEUPB/TP-PL/AE
''Ah!': A*E/KPA*/HA*E/SKHRAPL
'unlucky': UPB/HRUBG/KWREU
'wretch': WREFP
'that': THA
'I': EU
'am!'': APL/SKHRAPL/AE
'said': SED
'she;': SHE/STPH*FPLT
''would': A*E/WO
'that': THA
'I': EU
'had': H
'married': PHAERD
'King': KO*EUPBG
'Grisly-beard!'': KPA/TKPWREUS/HREU/H-PB/PWAERD/SKHRAPL/AE
'Then': KPA/THEPB
'they': THE
'came': KAEUPL
'to': TO
'a': AEU
'great': TKPWRAET
'city.': STEU/TP-PL
''Whose': A*E/KPA*/WHOZ
'is': S
'this': TH
'noble': TPHOEBL
'city?'': STEU/H-F/AE
'said': SED
'she.': SHE/TP-PL
''It': A*E/KPA*/T
'belongs': PWHROPBGS
'to': TO
'King': KO*EUPBG
'Grisly-beard;': KPA/TKPWREUS/HREU/H-PB/PWAERD/STPH*FPLT
'hadst': H*/A*/TK*/S*/T*
'thou': THO*U
'taken': TAEPB
'him,': HEUPL/KW-BG
'it': T
'had': H
'all': AUL
'been': PW-PB
'thine.'': THAOEUPB/TP-PL/AE
''Ah!': A*E/KPA*/HA*E/SKHRAPL
'wretch': WREFP
'that': THA
'I': EU
'am!'': APL/SKHRAPL/AE
'sighed': SAOEU/-D
'she;': SHE/STPH*FPLT
''why': A*E/KWR
'did': TK
'I': EU
'not': TPHOT
'marry': PHAER
'King': KO*EUPBG
'Grisly-beard?'': KPA/TKPWREUS/HREU/H-PB/PWAERD/H-F/AE
''That': A*E/KPA*/THA
'is': S
'no': TPHO
'business': PWEUS
'of': -F
'mine,'': PHAOEUPB/KW-BG/AE
'said': SED
'the': -T
'fiddler:': TPEUD/HRER/STPH-FPLT
''why': A*E/KWR
'should': SHO
'you': U
