Top 1000 words

'the': -T
'whose': WHOZ
'given': TKPWEUFPB
'door': TKAOR
'best': PWEFT
'turned': TURPBD
'taken': TAEPB
'does': TKOS
'use': AOUS
'morning': PHORPBG
'myself': PHAO*EUS
'Gutenberg': TKPWUT/*EPB/PWERG
'felt': TPELT
'until': TPH-L
'since': SEUPBS
'power': POUR
'themselves': TH*EPLS
'used': AOUFD
'rather': RAER
'began': TKPWAPB
'present': PREPBT
'voice': SROEUS
'others': OERS
'white': WHAOEUT
'works': WORBGS
'less': HRES
'money': PHUPB
'next': TPHEGT
'poor': PAOR
'death': TK*T
'stood': STAOD
'form': TPORPL
'within': W-PB
'together': TOGT
'till': TEUL
'thy': THAO*EU
'large': HRARPBLG
'matter': PHAERT
'kind': KEUPBD
'often': OFPB
'certain': SERPB
'herself': H*ERS
'year': KWRAOER
'friend': TPREPBD
'half': HAF
'order': ORD
'round': ROUPBD
'true': TRAOU
'anything': TPHEUG
'keep': KAOEP
'sent': SEPBT
'wife': WAOEUF
'means': PHAOEPBS
'believe': PWHREF
'passed': PAFD
'feet': TPAOET
'near': TPHAOER
'public': PHREUBG
'state': STAEUT
'son': SOPB
'hundred': HUPBD
'children': KHEURPB
'thus': THUS
'hope': HOEP
'alone': A/HROEPB
'above': PWOF
'case': KAEUS
'dear': TKAER
'thee': THAOE
'says': SEZ
'person': PERPB
'high': HAOEU
'read': RAED
'city': STEU
'already': HR-R
'received': SAOEFD
'fact': TPABGT
'gone': TKPWOPB
'girl': TKPWEURL
'known': TPHOEPB
'hear': HAER
'times': TAOEUPLS
'least': HRAOEFT
'perhaps': PRAPS
'sure': SHUR
'indeed': TPHAOEPBD
'English': TKPWHREURB
'open': OEP
'body': PWO*ED
'itself': T/SEFL
'along': HRAOPBG
'land': HRAPBD
'return': RURPB
'leave': HREF
'air': AEUR
'nature': TPHAEURT
'answered': AEPBS/-D
'either': AOERT
'law': HRAU
'help': HEP
'lay': HRAEU
'point': POEUPBT
'child': KHAOEULD
'letter': HRERT
'four': TPOUR
'wish': WEURB
'fire': TPAOEUR
'cried': KRAOEUD
'2': #T
'women': WEUPL
'speak': SPAOEBG
'number': TPHUPL
'therefore': TH-FR
'hour': HOUR
'friends': TPREPBDZ
'held': HELD
'free': TPRAOE
'war': WAR
'during': TKURG
'several': SEFRL
'business': PWEUS
'whether': WHR
'er': *E/R*
'manner': PHAERPB
'second': SEBGD
'reason': R-PB
'replied': RE/PHRAOEUD
'united': AOUPBTD
'call': KAUL
'general': SKWREPBL
'why': KWR
'behind': HEUPBD
'became': PWAEUPL
'John': SKWROPB
'become': PW-BG
'dead': TKED
'earth': *ERT
'boy': PWOEU
'lost': HRO*S
'forth': TPO*RT
'thousand': THOUD
'looking': HRAOG
'I'll': AOEUL
'family': TPAEPL
'soul': SOUL
'feel': TPAOEL
'coming': KO*G
'England': TKPWHRAEPBD
'spirit': SPEURT
'question': KWE
'care': KAEUR
'truth': TRAO*UT
'ground': TKPWROUPBD
'really': R-L
'rest': REFT
'mean': PHAOEPB
'different': TKEUFRT
'making': PHAEUG
'possible': POB
'fell': TPEL
'towards': TORDZ
'human': HAOUPL
'kept': KEPT
'short': SHORT
'town': TOUPB
'following': TPOLG
'need': TPHAOED
'cause': KAUS
'met': PHET
'evening': AOEPBG
'returned': RURPBD
'five': TPAOEUF
'strong': STROPBG
'able': ABL
'French': TPREFRPB
'live': HREUF
'lady': HRA*ED
'subject': SUBT
'Sn': S*P/TPH*
'answer': AEPBS
'sea': SAE
'fear': TPAOER
'understand': URPBD
'hard': HARD
'terms': TERPLS
'doubt': TKOUT
'around': ARPBD
'ask': SK
'arms': ARPLS
'turn': TURPB
'sense': SEPBS
'seems': SAOEPLS
'black': PWHRABG
'bring': PWREU
'followed': TPOLD
'beautiful': PWAOUFL
'close': KHROES
'dark': TKARBG
'hold': HOLD
'character': KRAR
'sort': SORT
'sight': SAOEUT
'ten': TEPB
'show': SHOE
'party': PAERT
'fine': TPAOEUPB
'ye': KWR*/*E
'ready': R-D
'story': STOER
'common': KPHOPB
'book': PWAOBG
'electronic': TRO*PBG
'talk': TAUBG
'account': K-T
'mark': PHARBG
'interest': TR
'written': WREUPB
'can't': K-PBT
'bed': PWED
'necessary': TPHES
'age': AEUPBLG
'else': ELS
'force': TPORS
'idea': KWR-D
'longer': HRORPBG
'art': ART
'spoke': SPOEBG
'across': KRAOS
'brother': PWROER
'early': ERL
'ought': OT
'sometimes': STAOEUPLS
'line': HRAOEUPB
'saying': SAEUG
'table': TAEUBL
'appeared': A/PAOERD
'river': REUFR
'continued': T-PBD
'eye': AOEU
'ety': *E/T*/KWR*
'sun': SUPB
'information': TPH-FGS
'later': HRAEURT
'everything': EFRG
'reached': RAOEFPD
'suddenly': SULD
'past': PAFT
'hours': HOURS
'strange': STRAEUPBG
'deep': TKAOEP
'change': KHAEUPBG
'miles': PHAOEULS
'feeling': TPAOELG
'act': ABGT
'meet': PHAOET
'paid': PAEUD
'further': TPURT
'purpose': PURP
'happy': HAEP
'added': AD/-D
'seem': SAOEPL
'taking': TAEUG
'blood': PWHRAOD
'rose': ROEZ
'south': SOUT
'beyond': KWROPBD
'cold': KOELD
'neither': TPHAOERT
'forward': TPAORD
'view': SRAOU
'I've': AOEUF
'position': POGS
'sound': SOUPBD
'none': TPHOPB
'entered': SPWR-D
'clear': KHRAOER
'road': RAOD
'late': HRAEUT
'stand': STAPBD
'suppose': SPOS
'la': HRA
'daughter': TKAUR
'real': RAEL
'nearly': TPHAOERL
'mine': PHAOEUPB
'laws': HRAUS
'knowledge': TPHOPBLG
'comes': KOPLS
'toward': TORD
'bad': PWAD
'cut': KUT
'copy': KO*EP
'husband': HUS
'six': SEUBGS
'France': TPRAPBS
'living': HREUFG
'peace': PAES
'didn't': TK-PBT
'low': HROE
'north': TPHORT
'remember': RER
'effect': EFBGT
'natural': TPHARL
'pretty': PREUT
'fall': TPAUL
'fair': TPAEUR
'service': S-FS
'below': PWHRO
'except': KPEPT
'American': PHERPB
'hair': HAEUR
'London': HROPBD/OPB
'laid': HRAEUD
'pass': PAS
'led': HRED
'copyright': KPRAOEUT
'doing': TK*G
'army': AERPL
'run': RUPB
'horse': HORS
'future': TPAOURT
'opened': OEPD
'pleasure': PHRERB
'history': HEUFRT
'west': WEFT
'pay': PAEU
'red': RED
'an'': APB/AE
'4': #H
'hath': HA*T
'note': TPHOET
'although': HR*T
'wanted': WAPBTD
'gold': TKPWOELD
'makes': PHAEUBGS
'desire': STKAOEUR
'play': PHRAEU
'master': PHAFRT
'office': OFS
'tried': TRAOEUD
'front': TPROPBT
'big': PWEUG
'Dr.': TKR-FPLT
'lived': HREUFD
'certainly': SERPBL
'wind': WEUPBD
'receive': SAOEF
'attention': TAEPBGS
'government': TKPWOFT
'unto': UPB/TO
'church': KHUFRPB
'strength': STREPBG
'length': HREPBG
'company': K-P
'placed': PHRAEUFD
'paper': PAEUP
'letters': HRERTS
'probably': PROBL
'glad': TKPWHRAD
'important': PORPB
'especially': EPS
'greater': TKPWRAERT
'yourself': KWRO*URS
'fellow': TP*EL
'bear': PWAER
'opinion': P-PB
'window': WOEUPBD
'ran': RAPB
'faith': TPA*EUT
'ago': AG
'agreement': TKPWRAOEPLT
'charge': KHARPBLG
'beauty': PWAOUT
'lips': HREUPS
'remained': RE/PHAEUPBD
'arm': ARPL
'latter': HRART
'duty': TKAOUT
'send': SEPBD
'distance': STKAPBS
'silence': SHREPBS
'foot': TPAOT
'wild': WAOEULD
'object': OBT
'die': TKAOEU
'save': SAF
'gentleman': SKWRA*PL
'trees': TRAOES
'green': TKPWRAOEPB
'trouble': TRUBL
'smile': SPHAOEUL
'books': PWAOBGS
'wrong': WROPBG
'various': SRAEURS
'sleep': SHRAOEP
'persons': PERPBS
'blockquote': PWHROBG/TK-LS/KWOET
'happened': HAPD
'particular': PHRAR
'drew': TKRAOU
'minutes': PHEUPBS
'hardly': HA*RLD
'walked': WAUBGD
'chief': KHAOEF
'chance': KHAPBS
'according': KORG
'beginning': TKPWEUPB/-G
'action': A*BGS
'deal': TKAOEL
'loved': HROFD
'visit': SREUFT
'thinking': THEUG
'follow': TPOL
'standing': STAPBG
'knows': TPHOEZ
'try': TREU
'presence': PREPBS
'heavy': HOEUF
'sweet': SWAOET
'plain': PHRAEUPB
'donations': TKOEPBGS/-S
'immediately': PHAOELD
'wrote': WRO
'mouth': PHO*UT
'rich': REUFP
'thoughts': THAUTS
'months': PHO*PBTS
'u': *U
'won't': WOEPBT
'afraid': A/TPRAEUD
'Paris': PA*EURS
'single': SEUPBLG
'joy': SKWROEU
'enemy': TPHAEPL
'broken': PWROEPB
'unless': TPH-LS
'states': STAEUTS
'ship': SHEUP
'condition': K-PB
'carry': KAER
'exclaimed': SKHRAEUPLD
'including': KHRUG
'filled': TPEULD
'seeing': SAOEG
'influence': WEPBS
'write': WREU
'boys': PWOEUS
'appear': A/PAOER
'outside': OUDZ
'secret': SKRET
'parts': PARTS
'please': PHRES
'appearance': PAOERPBS
'evil': AOEFL
'march': PHAFRPB
'George': SKWRORPBLG
'whatever': WHAF
'slowly': SHROEL
'tears': TAERS
'horses': HORSZ
'places': PHRAEUFS
'caught': KAUT
'stay': STAEU
'instead': STPHED
'struck': STRUBG
'blue': PWHRU
'York': KWRORBG
'impossible': EUPL/POB
'period': PAOERD
'sister': ST-R
'battle': PWA*LT
'school': SKAOL
'Mary': PHA*ER
'raised': RA*EUFD
'occasion': KWAEUGS
'married': PHAERD
'man's': PHAPB/AES
'former': TPRORPL
'food': TPAOD
'youth': KWRAO*UT
'learned': HRERPBD
'merely': PHAOERL
'reach': RAOEFP
'system': S-PL
'twenty': TWEPBT
'dinner': TKEURPB
'quiet': KWAO*EUT
'easily': AOELS
'moved': PHOFD
'afterwards': A*FRDZ
'giving': TKPWEUFG
'walk': WAUBG
'stopped': STOPD
'laughed': HRAFD
'language': HRAPBLG
'expression': EBGS/PREGS
'week': WAOEBG
'hall': HAUL
'danger': TKAEUPBLG
'property': PROT
'wonder': WOPBD
'usual': AOURB
'figure': TPEUG
'born': PWORPB
'court': KORT
'generally': SKWRERPBL
'grew': TKPWRAOU
'showed': SHOED
'getting': TKPWEGT
'ancient': AEURBT
'respect': R-PT
'third': THEURD
'worth': WO*RT
'simple': S*EUPL
'tree': TRAOE
'leaving': HREFG
'remain': RAEUPL
'society': SOET
'fight': TPAOEUT
'wall': WAUL
'result': RULT
'heaven': HEFPB
'William': WOEUPL
'started': STARTD
'command': KPHAPBD
'tone': TOEPB
'regard': RARD
'expected': KP-PTD
'mere': PHAOER
'month': PHO*PBT
'beside': PWE/SAOEUD
'silent': SHREPBT
'perfect': P-F
'experience': SPAOERPBS
'street': STRAOET
'writing': WREUG
'goes': TKPW-S
'circumstances': SEURBGS
'entirely': SPWAOEURL
'fresh': TPRERB
'duke': TKAOUBG
'covered': KOFRD
'bound': PWOUPBD
'east': AOEFT
'wood': WAOD
'stone': STOEPB
'quickly': KWEULG
'notice': TPH-TS
'bright': PWRAOEUT
'Christ': KRAOEUFT
'boat': PWOET
'noble': TPHOEBL
'meant': PHEPBT
'somewhat': SWHA
'sudden': SUD
'value': SRAOUL
'c.': KR*/TP-PL
'direction': TKREBGS
'chair': KHAEUR
'due': TKAOU
'support': SPOR
'Tom': TOPL
'date': TKAEUT
'waiting': WAEUGT
'Christian': KREUGS
'village': SREULG
'lives': HREUFS
'reading': RAEGD
'agree': TKPWRAE
'lines': HRAOEUPBS
'considered': KR-D
'field': TPAOELD
'observed': OEBD
'scarcely': SKAEURS/HREU
'wished': WEURBD
'wait': WAEUT
'greatest': TKPWRAET/EFT
'permission': PERPLGS
'success': SKES
'piece': PAOES
'British': PWREURB
'ex': EBGS
'Charles': KHARLS
'formed': TPORPLD
'speaking': SPAOEG
'trying': TRAOEUG
'conversation': K-FRGS
'proper': PROR
'hill': HEUL
'music': PHAOUFBG
'opportunity': TAOUPBT
'that's': THATS
'German': SKWR*ERPB
'afternoon': AFPB
'cry': KRAOEU
'cost': KOFT
'allowed': HRO*UD
'girls': TKPWEURLS
'considerable': KR-BL
'c': KR*
'broke': PWROEBG
'honour': HO*RPB/A*U
'seven': SEFPB
'private': PRAOEUFT
'sit': SEUT
'news': TPHUS
'top': TOP
'scene': SAEPB
'discovered': SKOFD
'marriage': PHAERPBLG
'step': STEP
'garden': TKPWA*RPB
'race': RAEUS
'begin': TKPWEUPB
'per': PER
'individual': SREUD
'sitting': SEUGT
'learn': HRERPB
'political': PHREU/K-L
'difficult': TKEUFL
'bit': PWEUT
'speech': SPAOEFP
'Henry': HEPB/REU
'lie': HRAOEU
'cast': KAFT
'eat': AOET
'authority': THORT
'etc.': *ETS
'floor': TPHRAOR
'ill': EUL
'ways': WAEUS
'officers': OEUFRS
'offered': OFRD
'original': ORPBLG
'happiness': HAEP/-PBS
'flowers': TPHRO*URS
'produced': PRO*UD
'summer': SAOURPL
'provide': PROEFD
'study': STOEU
'religion': RE/HR-GS
'picture': P*EUFP
'walls': WAULS
'personal': PERPBL
'America': PHERBG
'watch': WAFP
'pleased': PHREFD
'leaves': HREFS
'declared': TKE/KHRAEURD
'hot': HOT
'understood': *URPBD
'effort': EFRT
'prepared': PRAOEPD
'escape': SKAEP
'attempt': A/TEPLT
'supposed': SPOED
'killed': KEULD
'fast': TPAFT
'author': THOER
'Indian': EUPBD/KWRAPB
'brown': PWROUPB
'determined': TKERPLD
'pain': PAEUPB
'spring': SPREUPBG
'takes': TAEUBGS
'drawn': TKRAUPB
'soldiers': SHRERPBLGS
'houses': HO*UFS
'beneath': TPHAO*ET
'talking': TAUG
'turning': TURPBG
'century': KROEURPBT
'steps': STEPS
'intended': SPWEPBD/-D
'soft': SOFT
'straight': STRAEUT
'matters': PHAERTS
'likely': HRAOEULG
'corner': KRORPB
'trademark': TRAEUD/PHARBG
'justice': SKWRUFS
'simply': SAO*EPL
'produce': PROU
'trust': TRUFT
'appears': A/PAOERS
'Rome': RO*EPL
'laugh': HRAF
'forget': TPORGT
'Europe': AO*URP
'passage': PAFPBLG
'eight': AET
'closed': KHROEFD
'ourselves': O*URSZ
'gives': TKPWEUFS
'dress': TKRES
'passing': PAFG
'terrible': TERBL
'required': RAOEURD
'medium': PHAOEPLD
'efforts': EFRTS
'sake': SAEUBG
'breath': PWR*ET
'wise': WAOEUS
'ladies': HRAEUDZ
'possession': PEFGS
'pleasant': PHREFPBT
'perfectly': P-FRL
'o'': O*/TK-LS/AE
'memory': PHOEURPL
'usually': AOURBL
'grave': TKPWRAEUF
'fixed': TPEUFD
'modern': PHOERPB
'spot': SPOT
'troops': TRAOPS
'rise': RAOEUZ
'break': PWRAEBG
'fifty': TPAEFT
'island': AOEULD
'meeting': PHAOEGT
'camp': KAFRP
'nation': TPH-GS
'existence': KPEUFS
'reply': RE/PHRAOEU
'I'd': AOEUD
'copies': KO*EPS
'sky': SKAOEU
'touch': TUFP
'equal': KWAL
'fortune': TP-RPB
'v.': SR*/TP-PL
'shore': SHOR
'domain': TKPHAEUPB
'named': TPHAEUPLD
'situation': SEUFP
'looks': HRAOBGS
'promise': PROPLS
'orders': ORDZ
'degree': TKEG
'middle': PH*EULD
'winter': WEURPBT
'plan': PHRAPB
'spent': SPEPBT
'allow': HROU
'pale': PAEL
'conduct': KUBGT
'running': R*UPBG
'religious': RE/HREURBS
'surprise': SPRAOEUS
'minute': PHEUPB
'Roman': RO*EPB
'cases': KAEUSZ
'shot': SHOT
'lead': HRAED
'move': PHOF
'names': TPHAEUPLS
