Top 10000 Project Gutenberg words

'permission': PERPLGS
'success': SKES
'piece': PAOES
'British': PWREURB
'ex': EBGS
'Charles': KHARLS
'formed': TPORPLD
'speaking': SPAOEG
'trying': TRAOEUG
'conversation': K-FRGS
'proper': PROR
'hill': HEUL
'music': PHAOUFBG
'opportunity': TAOUPBT
'that's': THATS
'German': SKWR*ERPB
'afternoon': AFPB
'cry': KRAOEU
'cost': KOFT
'allowed': HRO*UD
'girls': TKPWEURLS
'considerable': KR-BL
'c': KR*
'broke': PWROEBG
'honour': HO*RPB/A*U
'seven': SEFPB
'private': PRAOEUFT
'sit': SEUT
'news': TPHUS
'top': TOP
'scene': SAEPB
'discovered': SKOFD
'marriage': PHAERPBLG
'step': STEP
'garden': TKPWA*RPB
'race': RAEUS
'begin': TKPWEUPB
'per': PER
'individual': SREUD
'sitting': SEUGT
'learn': HRERPB
'political': PHREU/K-L
'difficult': TKEUFL
'bit': PWEUT
'speech': SPAOEFP
'Henry': HEPB/REU
'lie': HRAOEU
'cast': KAFT
'eat': AOET
'authority': THORT
'etc.': *ETS
'floor': TPHRAOR
'ill': EUL
'ways': WAEUS
'officers': OEUFRS
'offered': OFRD
'original': ORPBLG
'happiness': HAEP/-PBS
'flowers': TPHRO*URS
'produced': PRO*UD
'summer': SAOURPL
'provide': PROEFD
'study': STOEU
'religion': RE/HR-GS
'picture': P*EUFP
'walls': WAULS
'personal': PERPBL
'America': PHERBG
'watch': WAFP
'pleased': PHREFD
'leaves': HREFS
'declared': TKE/KHRAEURD
'hot': HOT
'understood': *URPBD
'effort': EFRT
'prepared': PRAOEPD
'escape': SKAEP
'attempt': A/TEPLT
'supposed': SPOED
'killed': KEULD
'fast': TPAFT
'author': THOER
'Indian': EUPBD/KWRAPB
'brown': PWROUPB
'determined': TKERPLD
'pain': PAEUPB
'spring': SPREUPBG
'takes': TAEUBGS
'drawn': TKRAUPB
'soldiers': SHRERPBLGS
'houses': HO*UFS
'beneath': TPHAO*ET
'talking': TAUG
'turning': TURPBG
'century': KROEURPBT
'steps': STEPS
'intended': SPWEPBD/-D
