The Juniper-Tree
'kerchief': K*/*E/R*/KR*/H*/*EU/*E/TP*
'over': OEFR
'me,': PHE/KW-BG
'And': AFPBD
'took': TAOBG
'my': PHEU
'bones': PWOEPBS
'that': THA
'they': THE
'might': PHAOEUT
'lie': HRAOEU
'Underneath': KPA/UPBD/TPHAO*ET
'the': -T
'juniper-tree': SKWRUPB/PER/H-PB/TRAOE
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'what': WHA
'a': AEU
'beautiful': PWAOUFL
'bird': PWEURD
'am': APL
'I!'': EU/SKHRAPL/AE
'With': KPA/W
'that': THA
'the': -T
'bird': PWEURD
'let': HRET
'fall': TPAUL
'the': -T
'gold': TKPWOELD
'chain,': KHAEUPB/KW-BG
'and': SKP
'it': T
'fell': TPEL
'just': SKWRUFT
'round': ROUPBD
'the': -T
'man's': PHAPB/AES
'neck,': TPHEBG/KW-BG
'so': SO
'that': THA
'it': T
'fitted': TPEUTD
'him': HEUPL
'exactly.': ELG/TP-PL
'He': KPA/HE
'went': WEPBT
'inside,': TPH-DZ/KW-BG
'and': SKP
'said,': SED/KW-BG
''See,': A*E/KPA*/SAOE/KW-BG
'what': WHA
'a': AEU
'splendid': SPHREPB/TKEUD
'bird': PWEURD
'that': THA
'is;': S/STPH*FPLT
'he': HE
'has': HAS
'given': TKPWEUFPB
'me': PHE
'this': TH
'beautiful': PWAOUFL
'gold': TKPWOELD
'chain,': KHAEUPB/KW-BG
'and': SKP
'looks': HRAOBGS
'so': SO
'beautiful': PWAOUFL
'himself.'': HEUPLS/TP-PL/AE
'But': KPA/PWUT
'the': -T
'wife': WAOEUF
'was': WAS
'in': TPH
'such': SUFP
'fear': TPAOER
'and': SKP
'trouble,': TRUBL/KW-BG
'that': THA
'she': SHE
'fell': TPEL
'on': OPB
'the': -T
'floor,': TPHRAOR/KW-BG
'and': SKP
'her': HER
'cap': KAP
'fell': TPEL
'from': TPR
'her': HER
'head.': HED/TP-PL
'Then': KPA/THEPB
'the': -T
'bird': PWEURD
'began': TKPWAPB
'again:': TKPWEPB/STPH-FPLT
''My': A*E/KPA*/PHEU
'mother': PHOER
'killed': KEULD
'her': HER
'little': HREUL
'son;': SOPB/STPH*FPLT
''Ah': A*E/KPA*/HA*E
'me!'': PHE/SKHRAPL/AE
'cried': KRAOEUD
'the': -T
'wife,': WAOEUF/KW-BG
''if': A*E/TP
'I': EU
'were': WR
'but': PWUT
'a': AEU
'thousand': THOUD
'feet': TPAOET
'beneath': TPHAO*ET
'the': -T
'earth,': *ERT/KW-BG
'that': THA
'I': EU
'might': PHAOEUT
'not': TPHOT
'hear': HAER
'that': THA
'song.'': SOPBG/TP-PL/AE
'My': KPA/PHEU
'father': TPAER
'grieved': TKPWRAOEF/-D
'when': WHEPB
'I': EU
'was': WAS
'gone;': TKPWOPB/STPH*FPLT
'then': THEPB
'the': -T
'woman': WOPL
'fell': TPEL
'down': TKOUPB
'again': TKPWEPB
'as': AS
'if': TP
'dead.': TKED/TP-PL
'My': KPA/PHEU
'sister': ST-R
'loved': HROFD
'me': PHE
'best': PWEFT
'of': -F
'all;': AUL/STPH*FPLT
''Well,'': A*E/KPA*/WEL/KW-BG/AE
'said': SED
'little': HREUL
'Marleen,': PHAR/HRAOE/*PB/KW-BG
''I': A*E/EU
'will': HR
'go': TKPW
'out': OUT
'too': TAO
'and': SKP
'see': SAOE
'if': TP
'the': -T
'bird': PWEURD
'will': HR
'give': TKPWEUF
'me': PHE
'anything.'': TPHEUG/TP-PL/AE
'So': KPA/SO
'she': SHE
'went': WEPBT
'out.': OUT/TP-PL
'She': KPA/SHE
'laid': HRAEUD
'her': HER
'kerchief': K*/*E/R*/KR*/H*/*EU/*E/TP*
'over': OEFR
'me,': PHE/KW-BG
'And': AFPBD
'took': TAOBG
'my': PHEU
'bones': PWOEPBS
'that': THA
'they': THE
'might': PHAOEUT
'lie': HRAOEU
'and': SKP
'he': HE
'threw': THRAOU
'down': TKOUPB
'the': -T
'shoes': SHAOUS
'to': TO
'her,': HER/KW-BG
'Underneath': KPA/UPBD/TPHAO*ET
'the': -T
'juniper-tree': SKWRUPB/PER/H-PB/TRAOE
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'what': WHA
'a': AEU
'beautiful': PWAOUFL
'bird': PWEURD
'am': APL
'I!'': EU/SKHRAPL/AE
'And': AFPBD
'she': SHE
'now': TPHOU
'felt': TPELT
'quite': KWAOEUT
'happy': HAEP
'and': SKP
'lighthearted;': HR*/*EU/TKPW*/H*/T*/H*/*E/A*/R*/T*/-D/STPH*FPLT
'she': SHE
'put': PUT
'on': OPB
'the': -T
'shoes': SHAOUS
'and': SKP
'danced': TKAPBS/-D
'and': SKP
'jumped': SKWR*UPLD
'about': PW
'in': TPH
'them.': THEPL/TP-PL
''I': A*E/EU
'was': WAS
'so': SO
'miserable,'': PHEUZ/-BL/KW-BG/AE
'she': SHE
'said,': SED/KW-BG
''when': A*E/WHEPB
'I': EU
'came': KAEUPL
'out,': OUT/KW-BG
'but': PWUT
'that': THA
'has': HAS
'all': AUL
'passed': PAFD
'away;': WA*EU/STPH*FPLT
'that': THA
'is': S
'indeed': TPHAOEPBD
'a': AEU
'splendid': SPHREPB/TKEUD
'bird,': PWEURD/KW-BG
'and': SKP
'he': HE
'has': HAS
'given': TKPWEUFPB
'me': PHE
'a': AEU
'pair': PAEUR
'of': -F
'red': RED
'shoes.'': SHAOUS/TP-PL/AE
'The': KPA/-T
'wife': WAOEUF
'sprang': SPRAPBG
'up,': UP/KW-BG
'with': W
'her': HER
'hair': HAEUR
'standing': STAPBG
'out': OUT
'from': TPR
'her': HER
'head': HED
'like': HRAOEUBG
'flames': TPHRAEUPLS
'of': -F
'fire.': TPAOEUR/TP-PL
''Then': A*E/KPA*/THEPB
'I': EU
'will': HR
'go': TKPW
'out': OUT
'too,'': TAO/KW-BG/AE
'she': SHE
'said,': SED/KW-BG
''and': A*E/SKP
'see': SAOE
'if': TP
'it': T
'will': HR
'lighten': HRAOEUT/*EPB
'my': PHEU
'misery,': PHEUS/REU/KW-BG
'for': TPOR
'I': EU
'feel': TPAOEL
'as': AS
'if': TP
'the': -T
'world': WORLD
'were': WR
'coming': KO*G
'to': TO
'an': APB
'end.'': EPBD/TP-PL/AE
'But': KPA/PWUT
'as': AS
'she': SHE
'crossed': KROFD
'the': -T
'threshold,': THRERBLD/KW-BG
'crash!': KRARB/SKHRAPL
'the': -T
'bird': PWEURD
'threw': THRAOU
'the': -T
'millstone': PHEUL/STOEPB
'down': TKOUPB
'on': OPB
'her': HER
'head,': HED/KW-BG
'and': SKP
'she': SHE
'was': WAS
'crushed': KRURBD
'to': TO
'death.': TK*T/TP-PL
'The': KPA/-T
'father': TPAER
'and': SKP
'little': HREUL
'Marleen': PHAR/HRAOE/*PB
'heard': HAERD
'the': -T
'sound': SOUPBD
'and': SKP
'ran': RAPB
'out,': OUT/KW-BG
'but': PWUT
'they': THE
'only': OEPBL
'saw': SAU
'mist': PHEUFT
'and': SKP
'flame': TPHRAEUPL
'and': SKP
'fire': TPAOEUR
'rising': RAOEUFG
'from': TPR
'the': -T
'spot,': SPOT/KW-BG
'and': SKP
'when': WHEPB
'these': THEZ
'had': H
'passed,': PAFD/KW-BG
'there': THR
'stood': STAOD
'the': -T
'little': HREUL
'brother,': PWROER/KW-BG
'and': SKP
'he': HE
'took': TAOBG
'the': -T
'father': TPAER
'and': SKP
'little': HREUL
'Marleen': PHAR/HRAOE/*PB
'by': PWEU
'the': -T
'hand;': HAPBD/STPH*FPLT
'then': THEPB
'they': THE
'all': AUL
'three': THRAOE
'rejoiced,': RE/SKWROEUS/-D/KW-BG
'and': SKP
'went': WEPBT
'inside': TPH-DZ
'together': TOGT
'and': SKP
'sat': SAT
'down': TKOUPB
'to': TO
'their': THAEUR
'dinners': TKEUPB/ERS
'and': SKP
'ate.': AEUT/TP-PL
