In the Nursery

'charming': KHARPL/-G
'way': WAEU
'of': -F
'all."': AUL/TP-PL/KR-GS
'"They': KW-GS/KPA*/THE
'can': K
'do': TKO
'that': THA
'too,"': TAO/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'grandpapa;': TKPWRAPBD/TK-LS/HRO*ER/PA/PA/STPH*FPLT
'"and': KW-GS/SKP
'if': TP
'the': -T
'public': PHREUBG
'demands': TKPHAPBDZ
'it,': T/KW-BG
'they': THE
'will': HR
'talk': TAUBG
'in': TPH
'that': THA
'way.': WAEU/TP-PL
'Just': KPA/SKWRUFT
'look': HRAOBG
'at': AT
'little': HREUL
'Miss': PH*EUS/S-P
'Glove,': KPA/TKPWHROF/KW-BG
'how': HOU
'she's': SHAOES
'pointing': POEUPBGT
'her': HER
'fingers!': TPEURPBGS/SKHRAPL
'"'Could': KW-GS/AE/KPA*/KO
'I': EU
'but': PWUT
'have': SR
'my': PHEU
'love,': HRUF/KW-BG
'Who': KPA/WHO
'then': THEPB
'so': SO
'happy': HAEP
'as': AS
'Glove!': KPA/TKPWHROF/SKHRAPL
'Ah!': KPA/HA*E/SKHRAPL
'If': KPA/TP
'I': EU
'from': TPR
'him': HEUPL
'must': PHUFT
'part,': PART/KW-BG
'I'm': AOEUPL
'sure': SHUR
''twill': A*E/TWEUL
'break': PWRAEBG
'my': PHEU
'heart!'': HART/SKHRAPL/AE
''Bah!'': A*E/KPA*/PWA*/SKHRAPL/AE
'The': KPA/-T
'last': HRAFT
'word': WORD
'was': WAS
'spoken': SPOEPB
'by': PWEU
'Mr.': PHR-FPLT
'Pipe-head;': KPA/PAOEUP/H-PB/HED/STPH*FPLT
'and': SKP
'now': TPHOU
'it's': T-S
'Mr.': PHR-FPLT
'Waistcoat's': KPA/WA*EUS/KOET/AES
'turn:': TURPB/STPH-FPLT
'"'O': KW-GS/AE/O*P
'Glove,': KPA/TKPWHROF/KW-BG
'my': PHEU
'own': OEPB
'dear,': TKAER/KW-BG
'Though': KPA/THOE
'it': T
'cost': KOFT
'thee': THAOE
'a': AEU
'tear,': TAER/KW-BG
'Thou': KPA/THO*U
'must': PHUFT
'be': -B
'mine,': PHAOEUPB/KW-BG
'For': KPA/TPOR
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske': TKAPB/-S/*BG/SKWR*E
'has': HAS
'sworn': SWORPB
'it!'': T/SKHRAPL/AE
'"Mr.': KW-GS/PHR-FPLT
'de': TK*E
'Boots,': KPA/PWAOTS/KW-BG
'hearing': HAERG
'this,': TH/KW-BG
'kicks': KEUBGS
'up,': UP/KW-BG
'jingles': SKWREUPBG/-LS
'his': HEUS
'spurs,': SPURS/KW-BG
'and': SKP
'knocks': TPHOBGS
'down': TKOUPB
'three': THRAOE
'of': -F
'the': -T
'side-scenes."': SAOEUD/H-PB/SAOEPBS/TP-PL/KR-GS
'"That's': KW-GS/KPA*/THATS
'exceedingly': EBGS/AOED/TKPWHREU
'charming!"': KHARPL/-G/SKHRAPL/KR-GS
'cried': KRAOEUD
'little': HREUL
'Anna.': APB/TPHA/TP-PL
'"Silence!': KW-GS/KPA*/SHREPBS/SKHRAPL
'silence!"': SHREPBS/SKHRAPL/KR-GS
'said': SED
'grandpapa.': TKPWRAPBD/TK-LS/HRO*ER/PA/PA/TP-PL
'"Silent': KW-GS/KPA*/SHREPBT
'approbation': ARP/PWAEUGS
'will': HR
'show': SHOE
'that': THA
'you': U
'are': R
'the': -T
'educated': TAEUBGTD
'public': PHREUBG
'in': TPH
'the': -T
'stalls.': STAULS/TP-PL
'Now': KPA/TPHOU
'Miss': PH*EUS/S-P
'Glove': KPA/TKPWHROF
'sings': SEUPBGS
'her': HER
'great': TKPWRAET
'song': SOPBG
'with': W
'startling': START/*LG
'effects:': TPEBGZ/STPH-FPLT
'"'I': KW-GS/AE/EU
'can't': K-PBT
'see,': SAOERBGS
'heigho!': H*/*E/*EU/TKPW*/H*/KWRO/SKHRAPL
'And': AFPBD
'therefore': TH-FR
'I'll': AOEUL
'crow!': KROE/SKHRAPL
'Kikkeriki,': KPA/KAO*EU/*BG/*BG/*ER/SKWREU/*BG/SKWREU/KW-BG
'in': TPH
'the': -T
'lofty': HROF/TEU
'hall!'': HAUL/SKHRAPL/AE
'"Now': KW-GS/KPA*/TPHOU
'comes': KOPLS
'the': -T
'exciting': KPAOEUG
'part,': PART/KW-BG
'little': HREUL
'Anna.': APB/TPHA/TP-PL
'This': KPA/TH
'is': S
'the': -T
'most': PHOFT
'important': PORPB
'in': TPH
'all': AUL
'the': -T
'play.': PHRAEU/TP-PL
'Mr.': PHR-FPLT
'Waistcoat': KPA/WA*EUS/KOET
'undoes': UPB/TKOS
'himself,': HEUPLS/KW-BG
'and': SKP
'addresses': A/TKREFS
'his': HEUS
'speech': SPAOEFP
'to': TO
'you,': U/KW-BG
'that': THA
'you': U
'may': PHAE
'applaud;': A/PHRAUD/STPH*FPLT
'but': PWUT
'leave': HREF
'it': T
'alone,—that's': A/HROEPB/KW-BG/EPL/TKA*RB/THATS
'considered': KR-D
'more': PHOR
'genteel.': SKWREPB/TAOEL/TP-PL
'"'I': KW-GS/AE/EU
'am': APL
'driven': TKREUFPB
'to': TO
'extremities!': EBGS/TREPLTS/SKHRAPL
'Take': KPA/TAEUBG
'care': KAEUR
'of': -F
'yourself!': KWRO*URS/SKHRAPL
'Now': KPA/TPHOU
'comes': KOPLS
'the': -T
'plot!': PHROT/SKHRAPL
'You': KPA/U
'are': R
'the': -T
'Pipe-head,': KPA/PAOEUP/H*ED/KW-BG
'and': SKP
'I': EU
'am': APL
'the': -T
'good': TKPWAOD
'head—snap!': HED/EPL/TKA*RB/STPHAP/SKHRAPL
'there': THR
'you': U
'go!"': TKPW/SKHRAPL/KR-GS
'"Do': KW-GS/KPA*/TKO
'you': U
'notice': TPH-TS
'this,': TH/KW-BG
'little': HREUL
'Anna?"': APB/TPHA/H-F/KR-GS
'asked': SK-D
'grandpapa.': TKPWRAPBD/TK-LS/HRO*ER/PA/PA/TP-PL
'"That's': KW-GS/KPA*/THATS
'a': AEU
'most': PHOFT
'charming': KHARPL/-G
'comedy.': KOPL/TKEU/TP-PL
'Mr.': PHR-FPLT
'Waistcoat': KPA/WA*EUS/KOET
'seized': SAOEZ/-D
'the': -T
'old': OLD
'Pipe-head': KPA/PAOEUP/H*ED
'and': SKP
'put': PUT
'him': HEUPL
'in': TPH
'his': HEUS
'pocket;': POBGT/STPH*FPLT
'there': THR
'he': HE
'lies,': HRAO*EUS/KW-BG
'and': SKP
'the': -T
'Waistcoat': KPA/WA*EUS/KOET
'says:': SEZ/STPH-FPLT
'"'You': KW-GS/AE/KPA*/U
'are': R
'in': TPH
'my': PHEU
'pocket;': POBGT/STPH*FPLT
'you': U
'can't': K-PBT
'come': KOPL
'out': OUT
'till': TEUL
'you': U
'promise': PROPLS
'to': TO
'unite': OEUPBT
'me': PHE
'to': TO
'your': KWROUR
'daughter': TKAUR
'Glove': KPA/TKPWHROF
'on': OPB
'the': -T
'left.': HREFT/TP-PL
'I': EU
'hold': HOLD
'out': OUT
'my': PHEU
'right': RAOEUT
'hand.'"': HAPBD/TP-PL/AE/KR-GS
'"That's': KW-GS/KPA*/THATS
'awfully': AUF/HREU
'pretty,"': PREUT/KW-BG/KR-GS
'said': SED
'little': HREUL
'Anna.': APB/TPHA/TP-PL
'"And': KW-GS/AFPBD
'now': TPHOU
