The Shadow
'power': POUR
'of': -F
'knowing,': TPHOEG/KW-BG
'although': HR*T
'they': THE
'would': WO
'all': AUL
'be': -B
'very': SRE
'glad': TKPWHRAD
'to': TO
'know—the': TPHOE/EPL/TKA*RB/-T
'evil': AOEFL
'conduct': KUBGT
'of': -F
'their': THAEUR
'neighbors.': TPHAEUBS/TP-PL
'Had': KPA/H
'I': EU
'written': WREUPB
'a': AEU
'newspaper,': TPHAOUP/KW-BG
'how': HOU
'eagerly': AOERLG
'it': T
'would': WO
'have': SR
'been': PW-PB
'read!': RAED/SKHRAPL
'Instead': KPA/STPHED
'of': -F
'which,': WEU/KW-BG
'I': EU
'wrote': WRO
'directly': TKREL
'to': TO
'the': -T
'persons': PERPBS
'themselves,': TH*EPLS/KW-BG
'and': SKP
'great': TKPWRAET
'alarm': A/HRARPL
'arose': A/ROES
'in': TPH
'all': AUL
'the': -T
'town': TOUPB
'I': EU
'visited.': SREUFTD/TP-PL
'They': KPA/THE
'had': H
'so': SO
'much': PHUFP
'fear': TPAOER
'of': -F
'me,': PHE/KW-BG
'and': SKP
'yet': KWRET
'how': HOU
'dearly': TKAERL
'they': THE
'loved': HROFD
'me.': PHE/TP-PL
'The': KPA/-T
'professor': PROEFR
'made': PHAED
'me': PHE
'a': AEU
'professor.': PROEFR/TP-PL
'The': KPA/-T
'tailor': TAEURL
'gave': TKPWAEUF
'me': PHE
'new': TPHU
'clothes;': KHRO*ETS/STPH*FPLT
'I': EU
'am': APL
'well': WEL
'provided': PROE/SRAOEUD/-D
'for': TPOR
'in': TPH
'that': THA
'way.': WAEU/TP-PL
'The': KPA/-T
'overseer': AUFR/SAOER
'of': -F
'the': -T
'mint': PHEUPBT
'struck': STRUBG
'coins': KOEUPBS
'for': TPOR
'me.': PHE/TP-PL
'The': KPA/-T
'women': WEUPL
'declared': TKE/KHRAEURD
'that': THA
'I': EU
'was': WAS
'handsome,': HAPBD/SO*PL/KW-BG
'and': SKP
'so': SO
'I': EU
'became': PWAEUPL
'the': -T
'man': PHAPB
'you': U
'now': TPHOU
'see': SAOE
'me.': PHE/TP-PL
'And': AFPBD
'now': TPHOU
'I': EU
'must': PHUFT
'say': SAEU
'adieu.': A/TKAOU/TP-PL
'Here': KPA/HAOER
'is': S
'my': PHEU
'card.': KARD/TP-PL
'I': EU
'live': HREUF
'on': OPB
'the': -T
'sunny': SAOUPB
'side': SAOEUD
'of': -F
'the': -T
'street,': STRAOET/KW-BG
'and': SKP
'always': AULS
'stay': STAEU
'at': AT
'home': HOEPL
'in': TPH
'rainy': RAEUPB/KWREU
'weather."': WHR*/TP-PL/KR-GS
'And': AFPBD
'the': -T
'shadow': SHOEUD
'departed.': TKPART/-D/TP-PL
'"This': KW-GS/KPA*/TH
'is': S
'all': AUL
'very': SRE
'remarkable,"': RARBG/-BL/KW-BG/KR-GS
'said': SED
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'Years': KPA/KWRAOERS
'passed,': PAFD/KW-BG
'days': TKAEUS
'and': SKP
'years': KWRAOERS
'went': WEPBT
'by,': PWEU/KW-BG
'and': SKP
'the': -T
'shadow': SHOEUD
'came': KAEUPL
'again.': TKPWEPB/TP-PL
'"How': KW-GS/KPA*/HOU
'are': R
'you': U
'going': TKPW-G
'on': OPB
'now?"': TPHOU/H-F/KR-GS
'he': HE
'asked.': SK-D/TP-PL
'"Ah!"': KW-GS/KPA*/HA*E/SKHRAPL/KR-GS
'said': SED
'the': -T
'learned': HRERPBD
'man;': PHAPB/STPH*FPLT
'"I': KW-GS/EU
'am': APL
'writing': WREUG
'about': PW
'the': -T
'true,': TRAOU/KW-BG
'the': -T
'beautiful,': PWAOUFL/KW-BG
'and': SKP
'the': -T
'good;': TKPWAOD/STPH*FPLT
'but': PWUT
'no': TPHO
'one': WUPB
'cares': KAEURS
'to': TO
'hear': HAER
'anything': TPHEUG
'about': PW
'it.': T/TP-PL
'I': EU
'am': APL
'quite': KWAOEUT
'in': TPH
'despair,': TKE/SPAEUR/KW-BG
'for': TPOR
'I': EU
'take': TAEUBG
'it': T
'to': TO
'heart': HART
'very': SRE
'much."': PHUFP/TP-PL/KR-GS
'"That': KW-GS/KPA*/THA
'is': S
'what': WHA
'I': EU
'never': TPHEFR
'do,"': TKORBGS/KR-GS
'said': SED
'the': -T
'shadow;': SHOEUD/STPH*FPLT
'"I': KW-GS/EU
'am': APL
'growing': TKPWROEG
'quite': KWAOEUT
'fat': TPAT
'and': SKP
'stout,': STOUT/KW-BG
'which': WEU
'every': EF
'one': WUPB
'ought': OT
'to': TO
'be.': -B/TP-PL
'You': KPA/U
'do': TKO
'not': TPHOT
'understand': URPBD
'the': -T
'world;': WORLD/STPH*FPLT
'you': U
'will': HR
'make': PHAEUBG
'yourself': KWRO*URS
'ill': EUL
'about': PW
'it;': T/STPH*FPLT
'you': U
'ought': OT
'to': TO
'travel;': TRAFL/STPH*FPLT
'I': EU
'am': APL
'going': TKPW-G
'on': OPB
'a': AEU
'journey': SKWRURPB
'in': TPH
'the': -T
'summer,': SAOURPL/KW-BG
'will': HR
'you': U
'go': TKPW
'with': W
'me?': PHE/H-F
'I': EU
'should': SHO
'like': HRAOEUBG
'a': AEU
'travelling': TRAFL/HREUPBG
'companion;': KPAPB/KWROPB/STPH*FPLT
'will': HR
'you': U
'travel': TRAFL
'with': W
'me': PHE
'as': AS
'my': PHEU
'shadow?': SHOEUD/H-F
'It': KPA/T
'would': WO
'give': TKPWEUF
'me': PHE
'great': TKPWRAET
'pleasure,': PHRERB/KW-BG
'and': SKP
'I': EU
'will': HR
'pay': PAEU
'all': AUL
'expenses."': SPEPBS/-S/TP-PL/KR-GS
'"Are': KW-GS/KPA*/R
'you': U
'going': TKPW-G
'to': TO
'travel': TRAFL
'far?"': TPAR/H-F/KR-GS
'asked': SK-D
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'"That': KW-GS/KPA*/THA
'is': S
'a': AEU
'matter': PHAERT
'of': -F
'opinion,"': P-PB/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'shadow.': SHOEUD/TP-PL
'"At': KW-GS/KPA*/AT
'all': AUL
'events,': AOEFPBTS/KW-BG
'a': AEU
'journey': SKWRURPB
'will': HR
'do': TKO
'you': U
'good,': TKPWAOD/KW-BG
'and': SKP
'if': TP
'you': U
'will': HR
'be': -B
'my': PHEU
'shadow,': SHOEUD/KW-BG
'then': THEPB
'all': AUL
'your': KWROUR
'journey': SKWRURPB
'shall': SHAL
'be': -B
'paid."': PAEUD/TP-PL/KR-GS
'"It': KW-GS/KPA*/T
'appears': A/PAOERS
'to': TO
'me': PHE
'very': SRE
'absurd,"': AB/SURD/KW-BG/KR-GS
'said': SED
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'"But': KW-GS/KPA*/PWUT
'it': T
'is': S
'the': -T
'way': WAEU
'of': -F
'the': -T
'world,"': WORLD/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'shadow,': SHOEUD/KW-BG
'"and': KW-GS/SKP
'always': AULS
'will': HR
'be."': -B/TP-PL/KR-GS
'Then': KPA/THEPB
'he': HE
'went': WEPBT
'away.': WA*EU/TP-PL
'Everything': KPA/EFRG
'went': WEPBT
'wrong': WROPBG
'with': W
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'Sorrow': KPA/SROE
'and': SKP
'trouble': TRUBL
'pursued': PUR/SAOUD
'him,': HEUPL/KW-BG
'and': SKP
'what': WHA
'he': HE
'said': SED
'about': PW
'the': -T
'good,': TKPWAOD/KW-BG
'the': -T
'beautiful,': PWAOUFL/KW-BG
'and': SKP
'the': -T
'true,': TRAOU/KW-BG
'was': WAS
'of': -F
'as': AS
'much': PHUFP
'value': SRAOUL
'to': TO
'most': PHOFT
'people': PAOEPL
'as': AS
'a': AEU
'nutmeg': TPHUT/PHEG
'would': WO
'be': -B
'to': TO
'a': AEU
'cow.': KOU/TP-PL
'At': KPA/AT
'length': HREPBG
'he': HE
'fell': TPEL
'ill.': EUL/TP-PL
'"You': KW-GS/KPA*/U
'really': R-L
'look': HRAOBG
'like': HRAOEUBG
'a': AEU
'shadow,"': SHOEUD/KW-BG/KR-GS
'people': PAOEPL
'said': SED
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'then': THEPB
'a': AEU
'cold': KOELD
'shudder': SHUD/ER
'would': WO
'pass': PAS
'over': OEFR
'him,': HEUPL/KW-BG
'for': TPOR
'he': HE
'had': H
'his': HEUS
'own': OEPB
'thoughts': THAUTS
'on': OPB
'the': -T
'subject.': SUBT/TP-PL
'"You': KW-GS/KPA*/U
'really': R-L
'ought': OT
'to': TO
'go': TKPW
'to': TO
'some': SOPL
'watering-place,"': WAURPBG/H-PB/PHRAEUS/KW-BG/KR-GS
'said': SED
'the': -T
'shadow': SHOEUD
'on': OPB
'his': HEUS
'next': TPHEGT
'visit.': SREUFT/TP-PL
'"There': KW-GS/KPA*/THR
'is': S
'no': TPHO
'other': OER
'chance': KHAPBS
'for': TPOR
'you.': U/TP-PL
'I': EU
'will': HR
'take': TAEUBG
'you': U
'with': W
'me,': PHE/KW-BG
'for': TPOR
'the': -T
'sake': SAEUBG
'of': -F
'old': OLD
'acquaintance.': KWAEUPBS/TP-PL
'I': EU
'will': HR
'pay': PAEU
'the': -T
'expenses': SPEPBS/-S
'of': -F
'your': KWROUR
'journey,': SKWRURPB/KW-BG
'and': SKP
'you': U
'shall': SHAL
'write': WREU
'a': AEU
'description': SKREUPGS
'of': -F
'it': T
'to': TO
'amuse': A/PHAOUS
'us': US
'by': PWEU
'the': -T
'way.': WAEU/TP-PL
'I': EU
'should': SHO
'like': HRAOEUBG
'to': TO
'go': TKPW
'to': TO
'a': AEU
'watering-place;': WAURPBG/H-PB/PHRAEUS/STPH*FPLT
'my': PHEU
'beard': PWAERD
'does': TKOS
'not': TPHOT
'grow': TKPWROE
'as': AS
'it': T
'ought,': OT/KW-BG
'which': WEU
'is': S
'from': TPR
'weakness,': WAEBG/-PBS/KW-BG
'and': SKP
'I': EU
'must': PHUFT
'have': SR
'a': AEU
'beard.': PWAERD/TP-PL
'Now': KPA/TPHOU
'do': TKO
'be': -B
'sensible': SEPBS/-BL
'and': SKP
'accept': SEP
'my': PHEU
'proposal;': PROEL/STPH*FPLT
'we': WE
'shall': SHAL
'travel': TRAFL
'as': AS
'intimate': SPWEU/PHAT
'friends."': TPREPBDZ/TP-PL/KR-GS
'And': AFPBD
'at': AT
'last': HRAFT
'they': THE
'started': STARTD
'together.': TOGT/TP-PL
'The': KPA/-T
'shadow': SHOEUD
'was': WAS
'master': PHAFRT
'now,': TPHOURBGS
'and': SKP
'the': -T
'master': PHAFRT
'became': PWAEUPL
'the': -T
'shadow.': SHOEUD/TP-PL
'They': KPA/THE
'drove': TKROEF
'together,': TOGT/KW-BG
'and': SKP
'rode': ROED
'and': SKP
'walked': WAUBGD
'in': TPH
'company': K-P
'with': W
'each': AOEFP
'other,': OER/KW-BG
'side': SAOEUD
'by': PWEU
'side,': SAOEUD/KW-BG
'or': OR
'one': WUPB
'in': TPH
'front': TPROPBT
'and': SKP
'the': -T
'other': OER
'behind,': HEUPBD/KW-BG
'according': KORG
'to': TO
'the': -T
'position': POGS
'of': -F
'the': -T
'sun.': SUPB/TP-PL
'The': KPA/-T
'shadow': SHOEUD
'always': AULS
'knew': TPHAOU
'when': WHEPB
'to': TO
'take': TAEUBG
'the': -T
'place': PHRAEUS
'of': -F
'honor,': HO*RPB/KW-BG
'but': PWUT
'the': -T
'learned': HRERPBD
'man': PHAPB
'took': TAOBG
'no': TPHO
'notice': TPH-TS
'of': -F
'it,': T/KW-BG
'for': TPOR
'he': HE
'had': H
'a': AEU
'good': TKPWAOD
'heart,': HART/KW-BG
'and': SKP
'was': WAS
'exceedingly': EBGS/AOED/TKPWHREU
'mild': PHAOEULD
'and': SKP
'friendly.': TPREPBLD/TP-PL
'One': KPA/WUPB
'day': TKAEU
'the': -T
'master': PHAFRT
'said': SED
'to': TO
'the': -T
'shadow,': SHOEUD/KW-BG
'"We': KW-GS/KPA*/WE
'have': SR
'grown': TKPWROEPB
'up': UP
'together': TOGT
'from': TPR
'our': OUR
'childhood,': KHAOEULD/H*D/KW-BG
'and': SKP
'now': TPHOU
'that': THA
'we': WE
'have': SR
'become': PW-BG
'travelling': TRAFL/HREUPBG
'companions,': KPAPB/KWROPBS/KW-BG
'shall': SHAL
'we': WE
'not': TPHOT
'drink': TKREU
'to': TO
'our': OUR
'good': TKPWAOD
'fellowship,': TPEL/OE/SH-P/KW-BG
'and': SKP
'say': SAEU
'thee': THAOE
'and': SKP
'thou': THO*U
'to': TO
'each': AOEFP
'other?"': OER/H-F/KR-GS
'"What': KW-GS/KPA*/WHA
'you': U
'say': SAEU
'is': S
'very': SRE
'straightforward': SRAOD
'and': SKP
'kindly': KAOEUPBD/HREU
'meant,"': PHEPBT/KW-BG/KR-GS
'said': SED
'the': -T
'shadow,': SHOEUD/KW-BG
'who': WHO
'was': WAS
'now': TPHOU
'really': R-L
'master.': PHAFRT/TP-PL
'"I': KW-GS/EU
'will': HR
'be': -B
'equally': KWAEL
'kind': KEUPBD
'and': SKP
'straightforward.': SRAOD/TP-PL
'You': KPA/U
'are': R
'a': AEU
'learned': HRERPBD
'man,': PHAPB/KW-BG
'and': SKP
'know': TPHOE
'how': HOU
'wonderful': WUFL
'human': HAOUPL
'nature': TPHAEURT
'is.': S/TP-PL
'There': KPA/THR
'are': R
'some': SOPL
'men': PHEPB
'who': WHO
'cannot': SK-PBT
'endure': EPB/TKAOUR
'the': -T
'smell': SPHEL
'of': -F
'brown': PWROUPB
'paper;': PAEUP/STPH*FPLT
'it': T
'makes': PHAEUBGS
'them': THEPL
'ill.': EUL/TP-PL
'Others': KPA/OERS
'will': HR
'feel': TPAOEL
'a': AEU
'shuddering': SHUD/ERG
'sensation': STPHAEUGS
'to': TO
'their': THAEUR
'very': SRE
'marrow,': PHO*EUR/KW-BG
'if': TP
'a': AEU
'nail': TPHAEUL
'is': S
'scratched': SKRAFPD
'on': OPB
'a': AEU
'pane': PAEPB
'of': -F
'glass.': TKPWHRAS/TP-PL
'I': EU
'myself': PHAO*EUS
'have': SR
'a': AEU
'similar': SHRAR
'kind': KEUPBD
'of': -F
'feeling': TPAOELG
'when': WHEPB
'I': EU
'hear': HAER
'any': TPHEU
'one': WUPB
'say': SAEU
'thou': THO*U
'to': TO
'me.': PHE/TP-PL
'I': EU
'feel': TPAOEL
'crushed': KRURBD
'by': PWEU
'it,': T/KW-BG
'as': AS
'I': EU
'used': AOUFD
'to': TO
'feel': TPAOEL
'in': TPH
'my': PHEU
'former': TPRORPL
'position': POGS
'with': W
'you.': U/TP-PL
'You': KPA/U
'will': HR
'perceive': SPAOEF
'that': THA
'this': TH
'is': S
'a': AEU
'matter': PHAERT
'of': -F
'feeling,': TPAOELG/KW-BG
'not': TPHOT
'pride.': PRAOEUD/TP-PL
'I': EU
'cannot': SK-PBT
'allow': HROU
'you': U
'to': TO
'say': SAEU
'thou': THO*U
'to': TO
'me;': PHE/STPH*FPLT
'I': EU
'will': HR
'gladly': TKPWHRAD/HREU
'say': SAEU
'it': T
'to': TO
'you,': U/KW-BG
'and': SKP
'therefore': TH-FR
'your': KWROUR
'wish': WEURB
'will': HR
'be': -B
'half': HAF
'fulfilled."': TPUL/TPEULD/TP-PL/KR-GS
'Then': KPA/THEPB
'the': -T
'shadow': SHOEUD
'addressed': A/TKREFD
'his': HEUS
'former': TPRORPL
'master': PHAFRT
'as': AS
'thou.': THO*U/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'going': TKPW-G
'rather': RAER
'too': TAO
'far,"': TPAR/KW-BG/KR-GS
'said': SED
'the': -T
'latter,': HRART/KW-BG
'"that': KW-GS/THA
'I': EU
'am': APL
'to': TO
'say': SAEU
'you': U
'when': WHEPB
'I': EU
'speak': SPAOEBG
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'he': HE
'is': S
'to': TO
'say': SAEU
'thou': THO*U
'to': TO
'me."': PHE/TP-PL/KR-GS
'However,': KPA/HOUF/KW-BG
'he': HE
'was': WAS
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'submit.': SPHEUT/TP-PL
'They': KPA/THE
'arrived': A/RAOEUFD
'at': AT
'length': HREPBG
'at': AT
'the': -T
'baths,': PWA*TS/KW-BG
'where': W-R
'there': THR
'were': WR
'many': PHAEPB
'strangers,': STRAEURPBGS/KW-BG
'and': SKP
'among': PHOPBG
'them': THEPL
'a': AEU
'beautiful': PWAOUFL
'princess,': PREUPB/SES/KW-BG
'whose': WHOZ
'real': RAEL
'disease': STKAOE
'consisted': KAO/-D
'in': TPH
'being': -BG
'too': TAO
'sharp-sighted,': SHARP/H-PB/SAOEUT/-D/KW-BG
'which': WEU
'made': PHAED
'every': EF
'one': WUPB
'very': SRE
'uneasy.': UPB/EZ/TP-PL
'She': KPA/SHE
'saw': SAU
'at': AT
'once': WUPBS
'that': THA
'the': -T
'new': TPHU
'comer': KOPL/ER
'was': WAS
'very': SRE
'different': TKEUFRT
'to': TO
'every': EF
'one': WUPB
'else.': ELS/TP-PL
'"They': KW-GS/KPA*/THE
'say': SAEU
'he': HE
'is': S
'here': HAOER
'to': TO
'make': PHAEUBG
'his': HEUS
'beard': PWAERD
'grow,"': TKPWROE/KW-BG/KR-GS
'she': SHE
'thought;': THAUT/STPH*FPLT
'"but': KW-GS/PWUT
'I': EU
'know': TPHOE
'the': -T
'real': RAEL
'cause,': KAUS/KW-BG
'he': HE
'is': S
'unable': TPHA*EUBL
'to': TO
'cast': KAFT
'a': AEU
'shadow."': SHOEUD/TP-PL/KR-GS
'Then': KPA/THEPB
'she': SHE
'became': PWAEUPL
'very': SRE
'curious': KAOURS
'on': OPB
'the': -T
'matter,': PHAERT/KW-BG
'and': SKP
'one': WUPB
'day,': TKAEU/KW-BG
'while': WHAOEUL
'on': OPB
'the': -T
'promenade,': PRAPL/TPHAD/KW-BG
'she': SHE
'entered': SPWR-D
'into': TPHAO
'conversation': K-FRGS
'with': W
'the': -T
'strange': STRAEUPBG
'gentleman.': SKWRA*PL/TP-PL
'Being': KPA/-BG
'a': AEU
'princess,': PREUPB/SES/KW-BG
'she': SHE
'was': WAS
'not': TPHOT
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'stand': STAPBD
'upon': POPB
'much': PHUFP
'ceremony,': SER/PHOEPB/KW-BG
'so': SO
'she': SHE
'said': SED
'to': TO
'him': HEUPL
'without': WOUT
'hesitation,': HES/TAEUGS/KW-BG
'"Your': KW-GS/KPA*/KWROUR
'illness': HR*PBS
'consists': KAOS
'in': TPH
'not': TPHOT
'being': -BG
'able': ABL
'to': TO
'cast': KAFT
'a': AEU
'shadow."': SHOEUD/TP-PL/KR-GS
'"Your': KW-GS/KPA*/KWROUR
'royal': ROEUL
'highness': HAOEU/-PBS
'must': PHUFT
'be': -B
'on': OPB
'the': -T
'high': HAOEU
'road': RAOD
'to': TO
'recovery': ROEUFR
'from': TPR
'your': KWROUR
'illness,"': HR*PBS/KW-BG/KR-GS
'said': SED
'he.': HE/TP-PL
'"I': KW-GS/EU
'know': TPHOE
'your': KWROUR
'complaint': KPHRAEUPBT
'arose': A/ROES
'from': TPR
'being': -BG
'too': TAO
'sharp-sighted,': SHARP/H-PB/SAOEUT/-D/KW-BG
'and': SKP
'in': TPH
'this': TH
'case': KAEUS
'it': T
'has': HAS
'entirely': SPWAOEURL
'failed.': TPAEULD/TP-PL
'I': EU
'happen': HAP
'to': TO
'have': SR
'a': AEU
'most': PHOFT
'unusual': TPHAOURB
'shadow.': SHOEUD/TP-PL
'Have': KPA/SR
'you': U
'not': TPHOT
'seen': SAOEPB
'a': AEU
'person': PERPB
'who': WHO
'is': S
'always': AULS
'at': AT
'my': PHEU
'side?': SAOEUD/H-F
'Persons': KPA/PERPBS
'often': OFPB
'give': TKPWEUF
'their': THAEUR
'servants': SER/SRAPBTS
'finer': TPAOEURPB
'cloth': KHRO*T
'for': TPOR
'their': THAEUR
'liveries': HREUFR/KWREU/-S
'than': THAPB
'for': TPOR
'their': THAEUR
'own': OEPB
'clothes,': KHRO*ETS/KW-BG
'and': SKP
'so': SO
'I': EU
'have': SR
'dressed': TKREFD
'out': OUT
'my': PHEU
'shadow': SHOEUD
'like': HRAOEUBG
'a': AEU
'man;': PHAPB/STPH*FPLT
'nay,': TPHAEU/KW-BG
'you': U
'may': PHAE
'observe': OEB
'that': THA
'I': EU
'have': SR
'even': AOEPB
'given': TKPWEUFPB
'him': HEUPL
'a': AEU
'shadow': SHOEUD
'of': -F
'his': HEUS
'own;': OEPB/STPH*FPLT
'it': T
'is': S
'rather': RAER
'expensive,': SP*EF/KW-BG
'but': PWUT
'I': EU
'like': HRAOEUBG
'to': TO
'have': SR
'things': THEUPBGS
'about': PW
'me': PHE
'that': THA
'are': R
'peculiar."': PE/KAOUL/HRAR/TP-PL/KR-GS
'"How': KW-GS/KPA*/HOU
'is': S
'this?"': TH/H-F/KR-GS
'thought': THAUT
'the': -T
'princess;': PREUPB/SES/STPH*FPLT
'"am': KW-GS/APL
'I': EU
'really': R-L
'cured?': KAOURD/H-F
'This': KPA/TH
'must': PHUFT
'be': -B
'the': -T
'best': PWEFT
'watering-place': WAURPBG/H-PB/PHRAEUS
'in': TPH
'existence.': KPEUFS/TP-PL
'Water': KPA/WAUR
'in': TPH
'our': OUR
'times': TAOEUPLS
'has': HAS
'certainly': SERPBL
'wonderful': WUFL
'power.': POUR/TP-PL
'But': KPA/PWUT
'I': EU
'will': HR
'not': TPHOT
'leave': HREF
'this': TH
'place': PHRAEUS
'yet,': KWRET/KW-BG
'just': SKWRUFT
'as': AS
'it': T
'begins': TKPWEUPBS
'to': TO
'be': -B
'amusing.': A/PHAOUFG/TP-PL
'This': KPA/TH
'foreign': TPOERPB
'prince—for': PREUPBS/EPL/TKA*RB/TPOR
'he': HE
'must': PHUFT
'be': -B
'a': AEU
'prince—pleases': PREUPBS/EPL/TKA*RB/PHRAOES/-S
'me': PHE
'above': PWOF
'all': AUL
'things.': THEUPBGS/TP-PL
'I': EU
'only': OEPBL
'hope': HOEP
'his': HEUS
'beard': PWAERD
'won't': WOEPBT
'grow,': TKPWROE/KW-BG
'or': OR
'he': HE
'will': HR
'leave': HREF
'at': AT
'once."': WUPBS/TP-PL/KR-GS
'In': KPA/TPH
'the': -T
'evening,': AOEPBG/KW-BG
'the': -T
'princess': PREUPB/SES
'and': SKP
'the': -T
'shadow': SHOEUD
'danced': TKAPBS/-D
'together': TOGT
'in': TPH
'the': -T
'large': HRARPBLG
'assembly': A/SEPL/PWHREU
'rooms.': RAOPLS/TP-PL
'She': KPA/SHE
'was': WAS
'light,': HRAOEUT/KW-BG
'but': PWUT
'he': HE
'was': WAS
'lighter': HRAOEURT
'still;': STEUL/STPH*FPLT
'she': SHE
'had': H
'never': TPHEFR
'seen': SAOEPB
'such': SUFP
'a': AEU
'dancer': TKARPBS
'before.': PW-FR/TP-PL
'She': KPA/SHE
'told': TOLD
'him': HEUPL
'from': TPR
'what': WHA
'country': KREU
'she': SHE
'had': H
'come,': KOPL/KW-BG
'and': SKP
'found': TPOUPBD
'he': HE
'knew': TPHAOU
'it': T
'and': SKP
'had': H
'been': PW-PB
'there,': THR-RBGS
'but': PWUT
'not': TPHOT
'while': WHAOEUL
'she': SHE
'was': WAS
'at': AT
'home.': HOEPL/TP-PL
'He': KPA/HE
'had': H
'looked': HRAOBGD
'into': TPHAO
'the': -T
'windows': WOEUPBDZ
'of': -F
'her': HER
'father's': TPAER/AES
'palace,': PAL/AS/KW-BG
'both': PWO*T
'the': -T
'upper': AOURP
'and': SKP
'the': -T
'lower': HROUR
'windows;': WOEUPBDZ/STPH*FPLT
'he': HE
'had': H
'seen': SAOEPB
'many': PHAEPB
'things,': THEUPBGS/KW-BG
'and': SKP
'could': KO
'therefore': TH-FR
'answer': AEPBS
'the': -T
'princess,': PREUPB/SES/KW-BG
'and': SKP
'make': PHAEUBG
'allusions': A/HRAOUGS/-S
'which': WEU
'quite': KWAOEUT
'astonished': A/STOPB/EURBD
'her.': HER/TP-PL
'She': KPA/SHE
'thought': THAUT
'he': HE
'must': PHUFT
'be': -B
'the': -T
'cleverest': KHR*EFR/*ES
'man': PHAPB
'in': TPH
'all': AUL
'the': -T
'world,': WORLD/KW-BG
'and': SKP
'felt': TPELT
'the': -T
'greatest': TKPWRAET/EFT
'respect': R-PT
'for': TPOR
'his': HEUS
'knowledge.': TPHOPBLG/TP-PL
'When': KPA/WHEPB
'she': SHE
'danced': TKAPBS/-D
'with': W
'him': HEUPL
'again': TKPWEPB
'she': SHE
'fell': TPEL
'in': TPH
'love': HRUF
'with': W
'him,': HEUPL/KW-BG
'which': WEU
'the': -T
'shadow': SHOEUD
'quickly': KWEULG
'discovered,': SKOFD/KW-BG
'for': TPOR
'she': SHE
'had': H
'with': W
'her': HER
'eyes': AO*EUS
'looked': HRAOBGD
'him': HEUPL
'through': THRU
'and': SKP
'through.': THRU/TP-PL
'They': KPA/THE
'danced': TKAPBS/-D
'once': WUPBS
'more,': PHOR/KW-BG
'and': SKP
'she': SHE
'was': WAS
'nearly': TPHAOERL
'telling': TELG
'him,': HEUPL/KW-BG
'but': PWUT
'she': SHE
'had': H
'some': SOPL
'discretion;': SKREGS/STPH*FPLT
'she': SHE
'thought': THAUT
'of': -F
'her': HER
'country,': KREU/KW-BG
'her': HER
'kingdom,': KEUPBG/TKOPL/KW-BG
'and': SKP
'the': -T
'number': TPHUPL
'of': -F
'people': PAOEPL
'over': OEFR
'whom': WHOPL
'she': SHE
'would': WO
'one': WUPB
'day': TKAEU
'have': SR
'to': TO
'rule.': RAOUL/TP-PL
'"He': KW-GS/KPA*/HE
'is': S
'a': AEU
'clever': KHREFR
'man,"': PHAPB/KW-BG/KR-GS
'she': SHE
'thought': THAUT
'to': TO
'herself,': H*ERS/KW-BG
'"which': KW-GS/WEU
'is': S
'a': AEU
'good': TKPWAOD
'thing,': THEUPBG/KW-BG
'and': SKP
'he': HE
'dances': TKAPBS/-S
'admirably,': AD/PHEUR/PWHREU/KW-BG
'which': WEU
'is': S
'also': HR-S
'good.': TKPWAOD/TP-PL
'But': KPA/PWUT
'has': HAS
'he': HE
'well-grounded': W*EL/TKPWROUPBD/-D
'knowledge?': TPHOPBLG/H-F
'that': THA
'is': S
'an': APB
'important': PORPB
'question,': KWE/KW-BG
'and': SKP
'I': EU
'must': PHUFT
'try': TREU
'him."': HEUPL/TP-PL/KR-GS
'Then': KPA/THEPB
'she': SHE
'asked': SK-D
'him': HEUPL
'a': AEU
'most': PHOFT
'difficult': TKEUFL
'question,': KWE/KW-BG
'she': SHE
'herself': H*ERS
'could': KO
'not': TPHOT
'have': SR
'answered': AEPBS/-D
'it,': T/KW-BG
'and': SKP
'the': -T
'shadow': SHOEUD
'made': PHAED
'a': AEU
'most': PHOFT
'unaccountable': UPB/K-T/-BL
'grimace.': TKPWREU/PHAS/TP-PL
'"You': KW-GS/KPA*/U
'cannot': SK-PBT
'answer': AEPBS
'that,"': THARBGS/KR-GS
'said': SED
'the': -T
'princess.': PREUPB/SES/TP-PL
'"I': KW-GS/EU
'learnt': HRERPBT
'something': S-G
'about': PW
'it': T
'in': TPH
'my': PHEU
'childhood,"': KHAOEULD/H*D/KW-BG/KR-GS
'he': HE
'replied;': RE/PHRAOEUD/STPH*FPLT
'"and': KW-GS/SKP
'believe': PWHREF
'that': THA
'even': AOEPB
'my': PHEU
'very': SRE
'shadow,': SHOEUD/KW-BG
'standing': STAPBG
'over': OEFR
'there': THR
'by': PWEU
'the': -T
'door,': TKAORBGS
'could': KO
