Jack the Dullard

'though': THOE
'nobody': TPHOEB
'counted': KOUPBTD
'the': -T
'third': THEURD
'with': W
'his': HEUS
'brothers,': PWROERS/KW-BG
'because': PWAU
'he': HE
'was': WAS
'not': TPHOT
'so': SO
'learned': HRERPBD
'as': AS
'they,': THE/KW-BG
'and': SKP
'indeed': TPHAOEPBD
'he': HE
'was': WAS
'generally': SKWRERPBL
'known': TPHOEPB
'as': AS
'"Jack': KW-GS/SKWRA*BG
'the': -T
'Dullard."': KPA/TKUL/ARD/TP-PL/KR-GS
'"Hallo!"': KW-GS/HA*L/KWRO/SKHRAPL/KR-GS
'said': SED
'Jack': SKWRA*BG
'the': -T
'Dullard,': KPA/TKUL/ARD/KW-BG
'"where': KW-GS/W-R
'are': R
'you': U
'going?': TKPW-G/H-F
'I': EU
'declare': TKE/KHRAR
'you': U
'have': SR
'put': PUT
'on': OPB
'your': KWROUR
'Sunday': SUPBD
'clothes!"': KHRO*ETS/SKHRAPL/KR-GS
'"We're': KW-GS/KPA*/WAOER
'going': TKPW-G
'to': TO
'the': -T
'King's': KO*EUPBG/AES
'court,': KORT/KW-BG
'as': AS
'suitors': SAOUT/O*RS
'to': TO
'the': -T
'King's': KO*EUPBG/AES
'daughter.': TKAUR/TP-PL
'Don't': KPA/TKOEPBT
'you': U
'know': TPHOE
'the': -T
'announcement': TPHOUPLT
'that': THA
'has': HAS
'been': PW-PB
'made': PHAED
'all': AUL
'through': THRU
'the': -T
'country?"': KREU/H-F/KR-GS
'And': AFPBD
'they': THE
'told': TOLD
'him': HEUPL
'all': AUL
'about': PW
'it.': T/TP-PL
'"My': KW-GS/KPA*/PHEU
'word!': WORD/SKHRAPL
'I'll': AOEUL
'be': -B
'in': TPH
'it': T
'too!"': TAO/SKHRAPL/KR-GS
'cried': KRAOEUD
'Jack': SKWRA*BG
'the': -T
'Dullard;': KPA/TKUL/ARD/STPH*FPLT
'and': SKP
'his': HEUS
'two': TWO
'brothers': PWROERS
'burst': PWUFRT
'out': OUT
'laughing': HRAFG
'at': AT
'him,': HEUPL/KW-BG
'and': SKP
'rode': ROED
'away.': WA*EU/TP-PL
'"Father,': KW-GS/KPA*/TPAER/KW-BG
'dear,"': TKAER/KW-BG/KR-GS
'said': SED
'Jack,': SKWRA*BG/KW-BG
'"I': KW-GS/EU
'must': PHUFT
'have': SR
'a': AEU
'horse': HORS
'too.': TAO/TP-PL
'I': EU
'do': TKO
'feel': TPAOEL
'so': SO
'desperately': TKES/PRAT/HREU
'inclined': EUPB/KHRAOEUPBD
'to': TO
'marry!': PHAER/SKHRAPL
'If': KPA/TP
'she': SHE
'accepts': SEPS
'me,': PHE/KW-BG
'she': SHE
'accepts': SEPS
'me;': PHE/STPH*FPLT
'and': SKP
'if': TP
'she': SHE
'won't': WOEPBT
'have': SR
'me,': PHE/KW-BG
'I'll': AOEUL
'have': SR
'her;': HER/STPH*FPLT
'but': PWUT
'she': SHE
'shall': SHAL
'be': -B
'mine!"': PHAOEUPB/SKHRAPL/KR-GS
'"Don't': KPA/KW-GS/TKOEPBT
'talk': TAUBG
'nonsense,"': TPHOPB/SEPBS/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'old': OLD
'gentleman.': SKWRA*PL/TP-PL
'"You': KW-GS/KPA*/U
'shall': SHAL
'have': SR
'no': TPHO
'horse': HORS
'from': TPR
'me.': PHE/TP-PL
'You': KPA/U
'don't': TKOEPBT
'know': TPHOE
'how': HOU
'to': TO
'speak—you': SPAOEBG/EPL/TKA*RB/U
'can't': K-PBT
'arrange': A/RAEUPBG
'your': KWROUR
'words.': WORDZ/TP-PL
'Your': KPA/KWROUR
'brothers': PWROERS
'are': R
'very': SRE
'different': TKEUFRT
'fellows': TPO*EULS
'from': TPR
'you."': U/TP-PL/KR-GS
'"Well,"': KW-GS/KPA*/WEL/KW-BG/KR-GS
'quoth': KW*/*U/O*/T*/H*
'Jack': SKWRA*BG
'the': -T
'Dullard,': KPA/TKUL/ARD/KW-BG
'"If': KW-GS/KPA*/TP
'I': EU
'can't': K-PBT
'have': SR
'a': AEU
'horse,': HORS/KW-BG
'I'll': AOEUL
'take': TAEUBG
'the': -T
'Billy-goat,': PWEUL/HREU/H-PB/TKPWO*ET/KW-BG
'who': WHO
'belongs': PWHROPBGS
'to': TO
'me,': PHE/KW-BG
'and': SKP
'he': HE
'can': K
'carry': KAER
'me': PHE
'very': SRE
'well!"': WEL/SKHRAPL/KR-GS
'And': AFPBD
'so': SO
'said,': SED/KW-BG
'so': SO
'done.': TKOPB/TP-PL
'He': KPA/HE
'mounted': PHOUPBTD
'the': -T
'Billy-goat,': PWEUL/HREU/H-PB/TKPWO*ET/KW-BG
'pressed': PREFD
'his': HEUS
'heels': HAOELS
'into': TPHAO
'its': EUTS
'sides,': SAOEUDZ/KW-BG
'and': SKP
'galloped': TKPWAL/OP/-D
'down': TKOUPB
'the': -T
'high': HAOEU
'street': STRAOET
'like': HRAOEUBG
'a': AEU
'hurricane.': HUR/KAEUPB/TP-PL
'"Hei,': KW-GS/KPA/HE/SKWREU/KW-BG
'houp!': HO*E/SKWRUP/SKHRAPL
'that': THA
'was': WAS
'a': AEU
'ride!': RAOEUD/SKHRAPL
'Here': KPA/HAOER
'I': EU
'come!"': KOPL/SKHRAPL/KR-GS
'shouted': SHOUT/-D
'Jack': SKWRA*BG
'the': -T
'Dullard,': KPA/TKUL/ARD/KW-BG
'and': SKP
'he': HE
'sang': SAPBG
'till': TEUL
'his': HEUS
'voice': SROEUS
'echoed': EBG/OE/-D
'far': TPAR
'and': SKP
'wide.': WAOEUD/TP-PL
'But': KPA/PWUT
'his': HEUS
'brothers': PWROERS
'rode': ROED
'slowly': SHROEL
'on': OPB
'in': TPH
'advance': SRAPBS
'of': -F
'him.': HEUPL/TP-PL
'They': KPA/THE
'spoke': SPOEBG
'not': TPHOT
'a': AEU
'word,': WORD/KW-BG
'for': TPOR
'they': THE
'were': WR
'thinking': THEUG
'about': PW
'the': -T
'fine': TPAOEUPB
'extempore': EBGS/TEFRP/RAOE
'speeches': SPAOEFPS
'they': THE
'would': WO
'have': SR
'to': TO
'bring': PWREU
'out,': OUT/KW-BG
'and': SKP
'these': THEZ
'had': H
'to': TO
'be': -B
'cleverly': KHREFRL
'prepared': PRAOEPD
'beforehand.': PW-FRPBD/TP-PL
'"Hallo!"': KW-GS/HA*L/KWRO/SKHRAPL/KR-GS
'shouted': SHOUT/-D
'Jack': SKWRA*BG
'the': -T
'Dullard.': KPA/TKUL/ARD/TP-PL
'"Here': KW-GS/KPA*/HAOER
'am': APL
'I!': EU/SKHRAPL
'Look': KPA/HRAOBG
'what': WHA
'I': EU
'have': SR
'found': TPOUPBD
'on': OPB
'the': -T
'high': HAOEU
'road."': RAOD/TP-PL/KR-GS
'And': AFPBD
'he': HE
'showed': SHOED
'them': THEPL
'what': WHA
'it': T
'was,': WAS/KW-BG
'and': SKP
'it': T
'was': WAS
'a': AEU
'dead': TKED
'crow.': KROE/TP-PL
'"Dullard!"': KW-GS/KPA*/TKUL/ARD/SKHRAPL/KR-GS
'exclaimed': SKHRAEUPLD
'the': -T
'brothers,': PWROERS/KW-BG
'"what': KW-GS/WHA
'are': R
'you': U
'going': TKPW-G
'to': TO
'do': TKO
'with': W
'that?"': THA/H-F/KR-GS
'"With': KW-GS/KPA*/W
'the': -T
'crow?': KROE/H-F
'why,': KWR-RBGS
'I': EU
'am': APL
'going': TKPW-G
'to': TO
'give': TKPWEUF
'it': T
'to': TO
'the': -T
'Princess."': KPA/PREUPB/SES/TP-PL/KR-GS
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'do': TKO
'so,"': SO/KW-BG/KR-GS
'said': SED
'they;': THE/STPH*FPLT
'and': SKP
'they': THE
'laughed,': HRAFD/KW-BG
'and': SKP
'rode': ROED
'on.': OPB/TP-PL
'"Hallo,': KW-GS/HA*L/KWRO/KW-BG
'here': HAOER
'I': EU
'am': APL
'again!': TKPWEPB/SKHRAPL
'just': SKWRUFT
'see': SAOE
'what': WHA
'I': EU
'have': SR
'found': TPOUPBD
'now:': TPHOU/STPH-FPLT
'you': U
'don't': TKOEPBT
'find': TPAOEUPBD
'that': THA
'on': OPB
'the': -T
'high': HAOEU
'road': RAOD
'every': EF
'day!"': TKAEU/SKHRAPL/KR-GS
'And': AFPBD
'the': -T
'brothers': PWROERS
'turned': TURPBD
'round': ROUPBD
'to': TO
'see': SAOE
'what': WHA
'he': HE
'could': KO
'have': SR
'found': TPOUPBD
'now.': TPHOU/TP-PL
'"Dullard!"': KW-GS/KPA*/TKUL/ARD/SKHRAPL/KR-GS
'they': THE
'cried,': KRAOEUD/KW-BG
'"that': KW-GS/THA
'is': S
'only': OEPBL
'an': APB
'old': OLD
'wooden': WAOD/EPB
'shoe,': SHAOU/KW-BG
'and': SKP
'the': -T
'upper': AOURP
'part': PART
'is': S
'missing': PHEUFG
'into': TPHAO
'the': -T
'bargain;': PWAR/TKPWAEUPB/STPH*FPLT
'are': R
'you': U
'going': TKPW-G
'to': TO
'give': TKPWEUF
'that': THA
'also': HR-S
'to': TO
'the': -T
'Princess?"': KPA/PREUPB/SES/H-F/KR-GS
'"Most': KW-GS/KPA*/PHOFT
'certainly': SERPBL
'I': EU
'shall,"': SHAL/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'Jack': SKWRA*BG
'the': -T
'Dullard;': KPA/TKUL/ARD/STPH*FPLT
'and': SKP
'again': TKPWEPB
'the': -T
'brothers': PWROERS
'laughed': HRAFD
'and': SKP
'rode': ROED
'on,': OPB/KW-BG
'and': SKP
'thus': THUS
'they': THE
'got': TKPWOT
'far': TPAR
'in': TPH
'advance': SRAPBS
'of': -F
'him;': HEUPL/STPH*FPLT
'but—': PWUT/EPL/TKA*RB
'"Hallo—hop': KW-GS/HA*L/KWRO/EPL/TKA*RB/HOP
'rara!"': RA/RA/SKHRAPL/KR-GS
'and': SKP
'there': THR
'was': WAS
'Jack': SKWRA*BG
'the': -T
'Dullard': KPA/TKUL/ARD
'again.': TKPWEPB/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'getting': TKPWEGT
'better': PWOERT
'and': SKP
'better,"': PWOERT/KW-BG/KR-GS
'he': HE
'cried.': KRAOEUD/TP-PL
'"Hurrah!': KW-GS/KPA*/HUR/RA/SKHRAPL
'it': T
'is': S
'quite': KWAOEUT
'famous."': TPAEUPLS/TP-PL/KR-GS
'"Why,': KW-GS/KPA*/KWR/KW-BG
'what': WHA
'have': SR
'you': U
'found': TPOUPBD
'this': TH
'time?"': TAOEUPL/H-F/KR-GS
'inquired': EUPB/KWAOEURD
'the': -T
'brothers.': PWROERS/TP-PL
'"Oh,"': KW-GS/KPA*/O*ERBGS/KW-BG/KR-GS
'said': SED
'Jack': SKWRA*BG
'the': -T
'Dullard,': KPA/TKUL/ARD/KW-BG
'"I': KW-GS/EU
'can': K
'hardly': HA*RLD
'tell': TEL
'you.': U/TP-PL
'How': KPA/HOU
'glad': TKPWHRAD
'the': -T
'Princess': KPA/PREUPB/SES
'will': HR
'be!"': -B/SKHRAPL/KR-GS
'"Bah!"': KW-GS/KPA*/PWA*/SKHRAPL/KR-GS
'said': SED
'the': -T
'brothers;': PWROERS/STPH*FPLT
'"that': KW-GS/THA
'is': S
'nothing': TPHOG
'but': PWUT
'clay': KHRAEU
'out': OUT
'of': -F
'the': -T
'ditch."': TKEUFP/TP-PL/KR-GS
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'certainly': SERPBL
'it': T
'is,"': S-RBGS/KR-GS
'said': SED
'Jack': SKWRA*BG
'the': -T
'Dullard;': KPA/TKUL/ARD/STPH*FPLT
