The Drop of Water

'bruise.': PWRAOUZ/TP-PL
'And': AFPBD
'there': THR
'was': WAS
'one': WUPB
'sitting': SEUGT
'as': AS
'still': STEUL
'as': AS
'any': TPHEU
'little': HREUL
'maiden,': PHAEUD/*EPB/KW-BG
'and': SKP
'wishing': WEURBG
'only': OEPBL
'for': TPOR
'peace': PAES
'and': SKP
'quietness.': KWAO*EUT/-PBS/TP-PL
'But': KPA/PWUT
'now': TPHOU
'she': SHE
'had': H
'to': TO
'come': KOPL
'out,': OUT/KW-BG
'and': SKP
'they': THE
'tugged': TUGD
'at': AT
'her,': HER/KW-BG
'and': SKP
'pulled': PULD
'her': HER
'about,': PW-RBGS
'and': SKP
'ate': AEUT
'her': HER
'up.': UP/TP-PL
'"That's': KW-GS/KPA*/THATS
'funny!"': TPAOUPB/SKHRAPL/KR-GS
'said': SED
'the': -T
'magician.': PHA/SKWREUGS/TP-PL
'"Yes;': KW-GS/KPA*/KWRE/STPH*FPLT
'but': PWUT
'what': WHA
'do': TKO
'you': U
'think': THEU
'it': T
'is?"': S/H-F/KR-GS
'said': SED
'Kribble-Krabble.': K*P/R*/*EU/PW*/PW*/*L/H-PB/K*P/R*/A*/PW*/PW*/*L/TP-PL
'"Can': KW-GS/KPA*/K
'you': U
'find': TPAOEUPBD
'that': THA
'out?"': OUT/H-F/KR-GS
'"Why,': KW-GS/KPA*/KWR/KW-BG
'one': WUPB
'can': K
'see': SAOE
'that': THA
'easily': AOELS
'enough,"': TPHUF/KW-BG/KR-GS
'said': SED
'the': -T
'other.': OER/TP-PL
'"That's': KW-GS/KPA*/THATS
'Paris,': PA*EURS/KW-BG
'or': OR
'some': SOPL
'other': OER
'great': TKPWRAET
'city,': STEU/KW-BG
'for': TPOR
'they're': THER
'all': AUL
'alike.': A/HRAOEUBG/TP-PL
'It's': KPA/T-S
'a': AEU
'great': TKPWRAET
'city!"': STEU/SKHRAPL/KR-GS
'"It's': KW-GS/KPA*/T-S
'a': AEU
'drop': TKROP
'of': -F
'puddle': P*ULD
'water!"': WAUR/SKHRAPL/KR-GS
'said': SED
'Kribble-Krabble.': K*P/R*/*EU/PW*/PW*/*L/H-PB/K*P/R*/A*/PW*/PW*/*L/TP-PL
