The Elfin Hill

'maidens': PHAEUD/*EPB/-S
'we're': WAOER
'already': HR-R
'dancing': TKAPBS/-G
'on': OPB
'the': -T
'elf': *EFL
'hill,': HEUL/KW-BG
'and': SKP
'they': THE
'danced': TKAPBS/-D
'in': TPH
'shawls': SHAUL/-S
'woven': WOEFPB
'from': TPR
'moonshine': PHAOPB/SHAO*EUPB
'and': SKP
'mist,': PHEUFT/KW-BG
'which': WEU
'look': HRAOBG
'very': SRE
'pretty': PREUT
'to': TO
'those': THOZ
'who': WHO
'like': HRAOEUBG
'such': SUFP
'things.': THEUPBGS/TP-PL
'The': KPA/-T
'large': HRARPBLG
'hall': HAUL
'within': W-PB
'the': -T
'elf': *EFL
'hill': HEUL
'was': WAS
'splendidly': SPHREPBD/TKHREU
'decorated;': TKEBG/RAEUT/-D/STPH*FPLT
'the': -T
'floor': TPHRAOR
'had': H
'been': PW-PB
'washed': WARBD
'with': W
'moonshine,': PHAOPB/SHAO*EUPB/KW-BG
'and': SKP
'the': -T
'walls': WAULS
'had': H
'been': PW-PB
'rubbed': RUBD
'with': W
'magic': PHAPBLG/EUBG
'ointment,': OEUPLT/KW-BG
'so': SO
'that': THA
'they': THE
'glowed': TKPWHROE/-D
'like': HRAOEUBG
'tulip-leaves': TAOUL/EUP/H-PB/HREFS
'in': TPH
'the': -T
'light.': HRAOEUT/TP-PL
'In': KPA/TPH
'the': -T
'kitchen': K-FP
'were': WR
'frogs': TPROGS
'roasting': ROEFT/-G
'on': OPB
'the': -T
'spit,': SPEUT/KW-BG
'and': SKP
'dishes': TKEURBS
'preparing': PRAOEPG
'of': -F
'snail': STPHAEUL
'skins,': SKEUPBS/KW-BG
'with': W
'children's': KHEURPBS
'fingers': TPEURPBGS
'in': TPH
'them,': THEPL/KW-BG
'salad': SALD
'of': -F
'mushroom': PHURB/RAO*PL
'seed,': SAOED/KW-BG
'hemlock,': HEPL/HROBG/KW-BG
'noses': TPHO*EFS
'and': SKP
'marrow': PHO*EUR
'of': -F
'mice,': PHAOEUS/KW-BG
'beer': PWAOER
'from': TPR
'the': -T
'marsh': PHA*RB
'woman's': WOPL/AES
'brewery,': PWRAOU/REU/KW-BG
'and': SKP
'sparkling': SPAR/K-LG
'salt-petre': SALT/H-PB/P*/*E/T*/R*/SKWRE
'wine': WAOEUPB
'from': TPR
'the': -T
'grave': TKPWRAEUF
'cellars.': KREL/A*RS/TP-PL
'These': KPA/THEZ
'were': WR
'all': AUL
'substantial': STAPBL
'food.': TPAOD/TP-PL
'Rusty': KPA/RUS/TEU
'nails': TPHAEULS
'and': SKP
'church-window': KHUFRPB/H-PB/WOEUPBD
'glass': TKPWHRAS
'formed': TPORPLD
'the': -T
'dessert.': STKERT/TP-PL
'The': KPA/-T
'old': OLD
'elf': *EFL
'king': KEUPBG
'had': H
'his': HEUS
'gold': TKPWOELD
'crown': KROUPB
'polished': POL/EURBD
'up': UP
'with': W
'powdered': POURD/-D
