The Psyche
'six-armed': SEUBGS/H-PB/ARPLD
'lamp': HRAFRP
'flared': TPHRAEURD
'and': SKP
'flamed;': TPHRAEUPLD/STPH*FPLT
'and': SKP
'the': -T
'human': HAOUPL
'flamed': TPHRAEUPLD
'up': UP
'from': TPR
'within,': W-PB/KW-BG
'and': SKP
'appeared': A/PAOERD
'in': TPH
'the': -T
'glare': TKPWHRAEUR
'as': AS
'if': TP
'it': T
'were': WR
'divine.': TKWAOEUPB/TP-PL
'"Apollo!': KW-GS/A/POL/HRO/SKHRAPL
'Jupiter!': SKWRAOUP/TER/SKHRAPL
'I': EU
'feel': TPAOEL
'myself': PHAO*EUS
'raised': RA*EUFD
'to': TO
'our': OUR
'heaven—to': HEFPB/EPL/TKA*RB/TO
'your': KWROUR
'glory!': TKPWHROER/SKHRAPL
'I': EU
'feel': TPAOEL
'as': AS
'if': TP
'the': -T
'blossom': PWHROFPL
'of': -F
'life': HRAOEUF
'were': WR
'unfolding': UPB/TPOELGD
'itself': T/SEFL
'in': TPH
'my': PHEU
'veins': SRAEUPBS
'at': AT
'this': TH
'moment!"': PHOEPLT/SKHRAPL/KR-GS
'Yes,': KPA/KWRE/KW-BG
'the': -T
'blossom': PWHROFPL
'unfolded': UPB/TPOELD/-D
'itself,': T/SEFL/KW-BG
'and': SKP
'then': THEPB
'burst': PWUFRT
'and': SKP
'fell,': TPEL/KW-BG
'and': SKP
'an': APB
'evil': AOEFL
'vapor': SRAEURP
'arose': A/ROES
'from': TPR
'it,': T/KW-BG
'blinding': PWHRAOEUPBD/-G
'the': -T
'sight,': SAOEUT/KW-BG
'leading': HRAEGD
'astray': AS/TRAEU
'the': -T
'fancy;': TPAEPBS/STPH*FPLT
'the': -T
'firework': TPAOEUR/WO*RBG
'of': -F
'the': -T
'senses': SEPBSZ
'went': WEPBT
'out,': OUT/KW-BG
'and': SKP
'it': T
'became': PWAEUPL
'dark.': TKARBG/TP-PL
'He': KPA/HE
'was': WAS
'again': TKPWEPB
'in': TPH
'his': HEUS
'own': OEPB
'room.': RAOPL/TP-PL
'There': KPA/THR
'he': HE
'sat': SAT
'down': TKOUPB
'on': OPB
'his': HEUS
'bed': PWED
'and': SKP
'collected': KHREBGD
'his': HEUS
'thoughts.': THAUTS/TP-PL
'"Fie': KW-GS/TP*P/AO*E
'on': OPB
'thee!"': THAOE/SKHRAPL/KR-GS
'these': THEZ
'were': WR
'the': -T
'words': WORDZ
'that': THA
'sounded': SOUPBD/-D
'out': OUT
'of': -F
'his': HEUS
'mouth': PHO*UT
'from': TPR
'the': -T
'depths': TK*EPTS
'of': -F
'his': HEUS
'heart.': HART/TP-PL
'"Wretched': KW-GS/KPA*/WREFPD
'man,': PHAPB/KW-BG
'go,': TKPW-RBGS
'begone!"': PWE/TKPWOPB/SKHRAPL/KR-GS
'And': AFPBD
'a': AEU
'deep': TKAOEP
'painful': PAEUFL
'sigh': SAOEU
'burst': PWUFRT
'from': TPR
'his': HEUS
'bosom.': PWUZ/OPL/TP-PL
'"Away!': KW-GS/KPA*/WA*EU/SKHRAPL
'begone!"': PWE/TKPWOPB/SKHRAPL/KR-GS
'These,': KPA/THEZ/KW-BG
'her': HER
'words,': WORDZ/KW-BG
'the': -T
'words': WORDZ
'of': -F
'the': -T
'living': HREUFG
'Psyche,': KPA/SAOEUBG/KW-BG
'echoed': EBG/OE/-D
'through': THRU
'his': HEUS
'heart,': HART/KW-BG
'escaped': SKAEPD
'from': TPR
'his': HEUS
'lips.': HREUPS/TP-PL
'He': KPA/HE
'buried': PWUR/EUD
'his': HEUS
'head': HED
'in': TPH
'the': -T
'pillows,': PEUL/OES/KW-BG
'his': HEUS
'thoughts': THAUTS
'grew': TKPWRAOU
'confused,': KAOUFD/KW-BG
'and': SKP
'he': HE
'fell': TPEL
'asleep.': A/SHRAOEP/TP-PL
'In': KPA/TPH
'the': -T
'morning': PHORPBG
'dawn': TKAUPB
'he': HE
'started': STARTD
'up,': UP/KW-BG
'and': SKP
'collected': KHREBGD
'his': HEUS
'thoughts': THAUTS
'anew.': A/TPHU/TP-PL
'What': KPA/WHA
'had': H
'happened?': HAPD/H-F
'Had': KPA/H
'all': AUL
'the': -T
'past': PAFT
'been': PW-PB
'a': AEU
'dream?': TKRAOEPL/H-F
'The': KPA/-T
'visit': SREUFT
'to': TO
'her,': HER/KW-BG
'the': -T
'feast': TPAOEFT
'at': AT
'the': -T
'tavern,': TAFRPB/KW-BG
'the': -T
'evening': AOEPBG
'with': W
'the': -T
'purple': PURPL
'carnations': KARPB/AEUGS/-S
'of': -F
'the': -T
'Campagna?': KPA/KAPL/PAPB/KWRA/H-F
'No,': KPA/TPHO/KW-BG
'it': T
'was': WAS
'all': AUL
'real—a': RAEL/EPL/TKA*RB/AEU
'reality': RAOELT
'he': HE
'had': H
'never': TPHEFR
'before': PW-FR
'experienced.': SPAOERPBD/TP-PL
'In': KPA/TPH
'the': -T
'purple': PURPL
'air': AEUR
'gleamed': TKPWHRAOEPL/-D
'the': -T
'bright': PWRAOEUT
'Star,': KPA/STAR/KW-BG
'and': SKP
'its': EUTS
'beams': PWAOEPLS
'fell': TPEL
'upon': POPB
'him': HEUPL
'and': SKP
'upon': POPB
'the': -T
'marble': PHAERBL
'Psyche.': KPA/SAOEUBG/TP-PL
'He': KPA/HE
'trembled': TREPL/-BLD
'as': AS
'he': HE
'looked': HRAOBGD
'at': AT
'that': THA
'picture': P*EUFP
'of': -F
'immortality,': EUPL/POR/TALT/KW-BG
'and': SKP
'his': HEUS
'glance': TKPWHRAPBS
'seemed': SAOEPLD
'impure': *EUPL/PAOUR
'to': TO
'him.': HEUPL/TP-PL
'He': KPA/HE
'threw': THRAOU
'the': -T
'cloth': KHRO*T
'over': OEFR
'the': -T
'statue,': STOEUT/KW-BG
'and': SKP
'then': THEPB
'touched': TUFPD
'it': T
'once': WUPBS
'more': PHOR
'to': TO
'unveil': UPB/SRAEUL
'the': -T
'form—but': TPORPL/EPL/TKA*RB/PWUT
'he': HE
'was': WAS
'not': TPHOT
'able': ABL
'to': TO
'look': HRAOBG
'again': TKPWEPB
'at': AT
'his': HEUS
'own': OEPB
'work.': WORBG/TP-PL
'Gloomy,': KPA/TKPWHRAOPL/KWREU/KW-BG
'quiet,': KWAO*EUT/KW-BG
'absorbed': SPWORBD
'in': TPH
'his': HEUS
'own': OEPB
'thoughts,': THAUTS/KW-BG
'he': HE
'sat': SAT
'there': THR
'through': THRU
'the': -T
'long': HROPBG
'day;': TKAEU/STPH*FPLT
'he': HE
'heard': HAERD
'nothing': TPHOG
'of': -F
'what': WHA
'was': WAS
'going': TKPW-G
'on': OPB
'around': ARPBD
'him,': HEUPL/KW-BG
'and': SKP
'no': TPHO
'man': PHAPB
'guessed': TKPWEFD
'what': WHA
'was': WAS
'passing': PAFG
'in': TPH
'this': TH
'human': HAOUPL
'soul.': SOUL/TP-PL
'And': AFPBD
'days': TKAEUS
'and': SKP
'weeks': WAOEBGS
'went': WEPBT
'by,': PWEU/KW-BG
'but': PWUT
'the': -T
'nights': TPHAOEUTS
'passed': PAFD
'more': PHOR
'slowly': SHROEL
'than': THAPB
'the': -T
'days.': TKAEUS/TP-PL
'The': KPA/-T
'flashing': TPHRARBG
'Star': KPA/STAR
'beheld': PWE/HELD
'him': HEUPL
'one': WUPB
'morning': PHORPBG
'as': AS
'he': HE
'rose,': ROEZ/KW-BG
'pale': PAEL
'and': SKP
'trembling': TREPL/-BLG
'with': W
'fever,': TPAOEF/KW-BG
'from': TPR
'his': HEUS
'sad': SAD
'couch;': KOUFP/STPH*FPLT
'then': THEPB
'he': HE
'stepped': STEPD
'towards': TORDZ
'the': -T
'statue,': STOEUT/KW-BG
'threw': THRAOU
'back': PWABG
'the': -T
'covering,': KOFRG/KW-BG
'took': TAOBG
'one': WUPB
'long,': HROPBG/KW-BG
'sorrowful': SOR/ROEFL
'gaze': TKPWAEZ
'at': AT
'his': HEUS
'work,': WORBG/KW-BG
'and': SKP
'then,': THEPB/KW-BG
'almost': HR-PL
'sinking': SEUPB/K-G
'beneath': TPHAO*ET
'the': -T
'burden,': PWURD/KW-BG
'he': HE
'dragged': TKRAGD
'the': -T
'statue': STOEUT
'out': OUT
'into': TPHAO
'the': -T
'garden.': TKPWA*RPB/TP-PL
'In': KPA/TPH
'that': THA
'place': PHRAEUS
'was': WAS
'an': APB
'old': OLD
'dry': TKRAOEU
'well,': WEL/KW-BG
'now': TPHOU
'nothing': TPHOG
'but': PWUT
'a': AEU
'hole.': HOEL/TP-PL
'Into': KPA/TPHAO
'this': TH
'he': HE
'cast': KAFT
'the': -T
'Psyche,': KPA/SAOEUBG/KW-BG
'threw': THRAOU
'earth': *ERT
'in': TPH
'above': PWOF
'her,': HER/KW-BG
'and': SKP
'covered': KOFRD
'up': UP
'the': -T
'spot': SPOT
'with': W
'twigs': TWEUG/-S
'and': SKP
'nettles.': TPHET/-LS/TP-PL
'"Away!': KW-GS/KPA*/WA*EU/SKHRAPL
'begone!"': PWE/TKPWOPB/SKHRAPL/KR-GS
'Such': KPA/SUFP
'was': WAS
'the': -T
'short': SHORT
'epitaph': EP/TAF
'he': HE
'spoke.': SPOEBG/TP-PL
'The': KPA/-T
'Star': KPA/STAR
'beheld': PWE/HELD
'all': AUL
'this': TH
'from': TPR
'the': -T
'pink': P*EUPBG
'morning': PHORPBG
'sky,': SKAOEU/KW-BG
'and': SKP
'its': EUTS
'beam': PWAEPL
'trembled': TREPL/-BLD
'upon': POPB
'two': TWO
'great': TKPWRAET
'tears': TAERS
'upon': POPB
'the': -T
'pale': PAEL
'feverish': TPAOEFR/EURB
'cheeks': KHAOEBGS
'of': -F
'the': -T
'young': KWRUPBG
'man;': PHAPB/STPH*FPLT
'and': SKP
'soon': SAOPB
'it': T
'was': WAS
'said': SED
'that': THA
'he': HE
'was': WAS
'sick': SEUBG
'unto': UPB/TO
'death,': TK*T/KW-BG
'and': SKP
'he': HE
'lay': HRAEU
'stretched': STREFPD
'upon': POPB
'a': AEU
'bed': PWED
'of': -F
'pain.': PAEUPB/TP-PL
'The': KPA/-T
'convent': KOPB/SREPBT
'Brother': KPA/PWROER
'Ignatius': EUG/TPHAEURBS
'visited': SREUFTD
'him': HEUPL
'as': AS
'a': AEU
'physician': TP-GS
'and': SKP
'a': AEU
'friend,': TPREPBD/KW-BG
'and': SKP
'brought': PWRAUT
'him': HEUPL
'words': WORDZ
'of': -F
'comfort,': K-FRT/KW-BG
'of': -F
'religion,': RE/HR-GS/KW-BG
'and': SKP
'spoke': SPOEBG
'to': TO
'him': HEUPL
'of': -F
'the': -T
'peace': PAES
'and': SKP
'happiness': HAEP/-PBS
'of': -F
'the': -T
'church,': KHUFRPB/KW-BG
'of': -F
'the': -T
'sinfulness': SEUPB/-FL/-PBS
'of': -F
'man,': PHAPB/KW-BG
'of': -F
'rest': REFT
'and': SKP
'mercy': PHER/SEU
'to': TO
'be': -B
'found': TPOUPBD
'in': TPH
'heaven.': HEFPB/TP-PL
'And': AFPBD
'the': -T
'words': WORDZ
'fell': TPEL
'like': HRAOEUBG
'warm': WARPL
'sunbeams': SAUPB/PWAOEPLS
'upon': POPB
'a': AEU
'teeming': TAO*EPL/-G
'soil.': SOEUL/TP-PL
'The': KPA/-T
'soil': SOEUL
'smoked': SPHOEBGD
'and': SKP
'sent': SEPBT
'up': UP
'clouds': KHROUDZ
'of': -F
'mist,': PHEUFT/KW-BG
'fantastic': STPEUBG
'pictures,': P*EUFPS/KW-BG
'pictures': P*EUFPS
'in': TPH
'which': WEU
'there': THR
'was': WAS
'reality;': RAOELT/STPH*FPLT
'and': SKP
'from': TPR
'these': THEZ
'floating': TPHROEGT
'islands': AOEU/HRAPBDZ
'he': HE
'looked': HRAOBGD
'across': KRAOS
'at': AT
'human': HAOUPL
'life.': HRAOEUF/TP-PL
'He': KPA/HE
'found': TPOUPBD
'it': T
'vanity': SRAPBT
'and': SKP
'delusion—and': TKHRAOUGS/EPL/TKA*RB/SKP
'vanity': SRAPBT
'and': SKP
'delusion': TKHRAOUGS
'it': T
'had': H
'been': PW-PB
'to': TO
'him.': HEUPL/TP-PL
'They': KPA/THE
'told': TOLD
'him': HEUPL
'that': THA
'art': ART
'was': WAS
'a': AEU
'sorcerer,': SORS/*ER/KW-BG
'betraying': PWE/TRAEU/-G
'us': US
'to': TO
'vanity': SRAPBT
'and': SKP
'to': TO
'earthly': *ERT/HREU
'lusts;': HRUFT/-S/STPH*FPLT
'that': THA
'we': WE
'are': R
'false': TPALS
'to': TO
'ourselves,': O*URSZ/KW-BG
'unfaithful': UPB/TPA*EUT/-FL
'to': TO
'our': OUR
'friends,': TPREPBDZ/KW-BG
'unfaithful': UPB/TPA*EUT/-FL
'towards': TORDZ
'Heaven;': KPA/HEFPB/STPH*FPLT
'and': SKP
'that': THA
'the': -T
'serpent': SERP/EPBT
'was': WAS
'always': AULS
'repeating': RE/PAOEGT
'within': W-PB
'us,': US/KW-BG
'"Eat,': KW-GS/KPA*/AOET/KW-BG
'and': SKP
'thou': THO*U
'shalt': SHALT
'become': PW-BG
'as': AS
'God."': TKPWO*D/TP-PL/KR-GS
'And': AFPBD
'it': T
'appeared': A/PAOERD
'to': TO
'him': HEUPL
'as': AS
'if': TP
'now,': TPHOURBGS
'for': TPOR
'the': -T
'first': TPEUFRT
'time,': TAOEUPL/KW-BG
'he': HE
'knew': TPHAOU
'himself,': HEUPLS/KW-BG
'and': SKP
'had': H
'found': TPOUPBD
'the': -T
'way': WAEU
'that': THA
'leads': HRAEDZ
'to': TO
'truth': TRAO*UT
'and': SKP
'to': TO
'peace.': PAES/TP-PL
'In': KPA/TPH
'the': -T
'church': KHUFRPB
'was': WAS
'the': -T
'light': HRAOEUT
'and': SKP
'the': -T
'brightness': PWRAOEUT/-PBS
'of': -F
'God—in': TKPWO*D/EPL/TKA*RB/TPH
'the': -T
'monk's': PHO*PBG/AES
'cell': KREL
'he': HE
'should': SHO
'find': TPAOEUPBD
'the': -T
'rest': REFT
'through': THRU
'which': WEU
'the': -T
'tree': TRAOE
'of': -F
'human': HAOUPL
'life': HRAOEUF
'might': PHAOEUT
'grow': TKPWROE
'on': OPB
'into': TPHAO
'eternity.': AOE/TERPBT/TP-PL
'Brother': KPA/PWROER
'Ignatius': EUG/TPHAEURBS
'strengthened': STR*EPBG/-PBD
'his': HEUS
'longings,': HROPBG/-G/-S/KW-BG
'and': SKP
'the': -T
'determination': TKERPLGS
'became': PWAEUPL
'firm': TPEURPL
'within': W-PB
'him.': HEUPL/TP-PL
'A': KPA/AEU
'child': KHAOEULD
'of': -F
'the': -T
'world': WORLD
'became': PWAEUPL
'a': AEU
'servant': SEFRB/APBT
'of': -F
'the': -T
'church—the': KHUFRPB/EPL/TKA*RB/-T
'young': KWRUPBG
'artist': TR-FT
'renounced': RE/TPHOUPBS/-D
'the': -T
'world,': WORLD/KW-BG
'and': SKP
'retired': RAO*EURD
'into': TPHAO
'the': -T
'cloister.': KHROEUFT/*ER/TP-PL
'The': KPA/-T
'brothers': PWROERS
'came': KAEUPL
'forward': TPAORD
'affectionately': A/TPEBGS/AT/HREU
'to': TO
'welcome': WELG
'him,': HEUPL/KW-BG
'and': SKP
'his': HEUS
'inauguration': TPHAUG/RAEUGS
'was': WAS
'as': AS
'a': AEU
'Sunday': SUPBD
'feast.': TPAOEFT/TP-PL
'Heaven': KPA/HEFPB
'seemed': SAOEPLD
'to': TO
'him': HEUPL
'to': TO
'dwell': TKWEL
'in': TPH
'the': -T
'sunshine': SUPB/SHAO*EUPB
'of': -F
'the': -T
'church,': KHUFRPB/KW-BG
'and': SKP
'to': TO
'beam': PWAEPL
'upon': POPB
'him': HEUPL
'from': TPR
'the': -T
'holy': HOEUL
'pictures': P*EUFPS
'and': SKP
'from': TPR
'the': -T
'cross.': KROS/TP-PL
'And': AFPBD
'when,': WHEPB/KW-BG
'in': TPH
'the': -T
'evening,': AOEPBG/KW-BG
'at': AT
'the': -T
'sunset': SAUPB/SET
'hour,': HOUR/KW-BG
'he': HE
'stood': STAOD
'in': TPH
'his': HEUS
'little': HREUL
'cell,': KREL/KW-BG
'and,': SKP/KW-BG
'opening': OEPG
'the': -T
'window,': WOEUPBD/KW-BG
'looked': HRAOBGD
'out': OUT
'upon': POPB
'old': OLD
'Rome,': RO*EPL/KW-BG
'upon': POPB
'the': -T
'desolated': TKES/HRAEUT/-D
'temples,': TA*EPLS/KW-BG
'and': SKP
'the': -T
'great': TKPWRAET
'dead': TKED
'Coliseum—when': KOL/SAOE/UPL/EPL/TKA*RB/WHEPB
'he': HE
'saw': SAU
'all': AUL
'this': TH
'in': TPH
'its': EUTS
'spring': SPREUPBG
'garb,': TKPWA*RB/KW-BG
'when': WHEPB
'the': -T
'acacias': A/KAEU/SHA/-S
'bloomed,': PWHRAOPL/-D/KW-BG
'and': SKP
'the': -T
'ivy': AOEU/SREU
'was': WAS
'fresh,': TPRERB/KW-BG
'and': SKP
'roses': ROES/-S
'burst': PWUFRT
'forth': TPO*RT
'everywhere,': WEFR/KW-BG
'and': SKP
'the': -T
'citron': SEURT/O*PB
'and': SKP
'orange': ORPBG
'were': WR
'in': TPH
'the': -T
'height': HAOEUT
'of': -F
'their': THAEUR
'beauty,': PWAOUT/KW-BG
'and': SKP
'the': -T
'palm': PAPL
'trees': TRAOES
'waved': WAFD
'their': THAEUR
'branches—then': PWRAFRPBS/EPL/TKA*RB/THEPB
'he': HE
'felt': TPELT
'a': AEU
'deeper': TKAOERP
'emotion': AO*EGS
'than': THAPB
'had': H
'ever': -FR
'yet': KWRET
'thrilled': THREULD
'through': THRU
'him.': HEUPL/TP-PL
'The': KPA/-T
'quiet': KWAO*EUT
'open': OEP
'Campagna': KPA/KAPL/PAPB/KWRA
'spread': SPRED
'itself': T/SEFL
'forth': TPO*RT
'towards': TORDZ
'the': -T
'blue': PWHRU
'snow-covered': STPHOE/H-PB/KOFRD
'mountains,': PHOUPB/TAEUPBS/KW-BG
'which': WEU
'seemed': SAOEPLD
'to': TO
'be': -B
'painted': PAEUPBTD
'in': TPH
'the': -T
'air;': AEUR/STPH*FPLT
'all': AUL
'the': -T
'outlines': AOUT/HRAOEUPBS
'melting': PHELT/-G
'into': TPHAO
'each': AOEFP
'other,': OER/KW-BG
'breathing': PWRAO*EGT
'peace': PAES
'and': SKP
'beauty,': PWAOUT/KW-BG
'floating,': TPHROEGT/KW-BG
'dreaming—and': TKRAOEPLG/EPL/TKA*RB/SKP
'all': AUL
'appearing': A/PAOERG
'like': HRAOEUBG
'a': AEU
'dream!': TKRAOEPL/SKHRAPL
'Yes,': KPA/KWRE/KW-BG
'this': TH
'world': WORLD
'was': WAS
'a': AEU
'dream,': TKRAOEPL/KW-BG
'and': SKP
'the': -T
'dream': TKRAOEPL
'lasts': HRAFTS
'for': TPOR
'hours,': HOURS/KW-BG
'and': SKP
'may': PHAEU
'return': RURPB
'for': TPOR
'hours;': HOURS/STPH*FPLT
'but': PWUT
'convent': KOPB/SREPBT
'life': HRAOEUF
'is': S
'a': AEU
'life': HRAOEUF
'of': -F
'years—long': KWRAOERS/EPL/TKA*RB/HROPBG
'years,': KWRAOERS/KW-BG
'and': SKP
'many': PHAEPB
'years.': KWRAOERS/TP-PL
'From': KPA/TPR
'within': W-PB
'comes': KOPLS
'much': PHUFP
'that': THA
'renders': REPBD/ERS
'men': PHEPB
'sinful': SEUPB/-FL
'and': SKP
'impure.': *EUPL/PAOUR/TP-PL
'He': KPA/HE
'fully': TPHRAOUL
'realized': RAEFLD
'the': -T
'truth': TRAO*UT
'of': -F
'this.': TH/TP-PL
'What': KPA/WHA
'flames': TPHRAEUPLS
'arose': A/ROES
'up': UP
'in': TPH
'him': HEUPL
'at': AT
'times!': TAOEUPLS/SKHRAPL
'What': KPA/WHA
'a': AEU
'source': S-RS
'of': -F
'evil,': AOEFL/KW-BG
'of': -F
'that': THA
'which': WEU
'we': WE
'would': WO
'not,': TPHOT/KW-BG
'welled': WEL/-D
'up': UP
'continually!': TAEPBL/SKHRAPL
'He': KPA/HE
'mortified': PHORT/TPAOEUD
'his': HEUS
'body,': PWO*ED/KW-BG
'but': PWUT
'the': -T
'evil': AOEFL
'came': KAEUPL
'from': TPR
'within.': W-PB/TP-PL
'One': KPA/WUPB
'day,': TKAEU/KW-BG
'after': AF
'the': -T
'lapse': HRAPS
'of': -F
'many': PHAEPB
'years,': KWRAOERS/KW-BG
'he': HE
'met': PHET
'Angelo,': APB/SKWRE/HROE/KW-BG
'who': WHO
'recognised': REFD/A*U
'him.': HEUPL/TP-PL
'"Man!"': KW-GS/KPA*/PHAPB/SKHRAPL/KR-GS
'exclaimed': SKHRAEUPLD
'Angelo.': APB/SKWRE/HROE/TP-PL
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'it': T
'is': S
'thou!': THO*U/SKHRAPL
'Art': A*RT
'thou': THO*U
'happy': HAEP
'now?': TPHOU/H-F
'Thou': KPA/THO*U
'hast': H*/A*/S*/T*
'sinned': SEUPB/-D
'against': TKPWEPBS
'God,': TKPWO*D/KW-BG
'and': SKP
'cast': KAFT
'away': WA*EU
'His': KPA/HEUS
'boon': PWAOPB
'from': TPR
'thee—hast': THAOE/EPL/TKA*RB/H*/A*/S*/T*
'neglected': TPHEGD
'thy': THAO*EU
'mission': PHEUGS
'in': TPH
'this': TH
'world!': WORLD/SKHRAPL
'Read': KPA/RAED
'the': -T
'parable': PAEURBL
'of': -F
'the': -T
'intrusted': EUPB/TRUFTD
'talent!': THREPBT/SKHRAPL
'The': KPA/-T
'MASTER,': *URP/PHAFRT/KW-BG
'who': WHO
'spoke': SPOEBG
'that': THA
'parable,': PAEURBL/KW-BG
'spoke': SPOEBG
'the': -T
'truth!': TRAO*UT/SKHRAPL
'What': KPA/WHA
'hast': H*/A*/S*/T*
'thou': THO*U
'gained?': TKPWAEUPBD/H-F
'What': KPA/WHA
'hast': H*/A*/S*/T*
'thou': THO*U
'found?': TPOUPBD/H-F
'Dost': KPA/TK*/O*/S*/T*
'thou': THO*U
'not': TPHOT
'fashion': TPAGS
'for': TPOR
'thyself': THAOEU/SEFL
'a': AEU
'religion': RE/HR-GS
'and': SKP
'a': AEU
'dreamy': TKRAOEPL/KWREU
'life': HRAOEUF
'after': AF
'thine': THAOEUPB
'own': OEPB
'idea,': KWR-D/KW-BG
'as': AS
'almost': HR-PL
'all': AUL
'do?': TKO/H-F
'Suppose': KPA/SPOS
'all': AUL
'this': TH
'is': S
'a': AEU
'dream,': TKRAOEPL/KW-BG
'a': AEU
'fair': TPAEUR
'delusion!"': TKHRAOUGS/SKHRAPL/KR-GS
'"Get': KW-GS/KPA*/TKPWET
'thee': THAOE
'away': WA*EU
'from': TPR
'me,': PHE/KW-BG
'Satan!"': SAEUT/APB/SKHRAPL/KR-GS
'said': SED
'the': -T
'monk;': PHO*PBG/STPH*FPLT
'and': SKP
'he': HE
'quitted': KW*/*U/*EU/T*/T*/*E/TK*
'Angelo.': APB/SKWRE/HROE/TP-PL
'"There': KW-GS/KPA*/THR
'is': S
'a': AEU
'devil,': TKEFL/KW-BG
'a': AEU
'personal': PERPBL
'devil!': TKEFL/SKHRAPL
'This': KPA/TH
'day': TKAEU
'I': EU
'have': SR
'seen': SAOEPB
'him!"': HEUPL/SKHRAPL/KR-GS
'said': SED
'the': -T
'monk': PHO*PBG
'to': TO
'himself.': HEUPLS/TP-PL
'"Once': KW-GS/KPA*/WUPBS
'I': EU
'extended': EBGS/TEPBD/-D
'a': AEU
'finger': TPEURPBG
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'he': HE
'took': TAOBG
'my': PHEU
'whole': WHOEL
'hand.': HAPBD/TP-PL
'But': KPA/PWUT
'now,"': TPHOURBGS/KR-GS
'he': HE
'sighed,': SAOEU/-D/KW-BG
'"the': KW-GS/-T
'evil': AOEFL
'is': S
'within': W-PB
'me,': PHE/KW-BG
'and': SKP
'it': T
'is': S
'in': TPH
'yonder': KWROPBD/ER
'man;': PHAPB/STPH*FPLT
'but': PWUT
'it': T
'does': TKOS
'not': TPHOT
'bow': PWOE
'him': HEUPL
'down;': TKOUPB/STPH*FPLT
'he': HE
'goes': TKPW-S
'abroad': A/PWRAOD
'with': W
'head': HED
'erect,': ER/EBGT/KW-BG
'and': SKP
'enjoys': EPB/SKWROEUS
'his': HEUS
'comfort;': K-FRT/STPH*FPLT
'and': SKP
'I': EU
'grasped': TKPWRAS/-PD
'at': AT
'comfort': K-FRT
'in': TPH
'the': -T
'consolations': KOPBS/HRAEUGS/-S
'of': -F
'religion.': RE/HR-GS/TP-PL
'If': KPA/TP
'it': T
'were': WR
'nothing': TPHOG
'but': PWUT
'a': AEU
'consolation?': KOPBS/HRAEUGS/H-F
'Supposing': KPA/SPOEFG
'everything': EFRG
'here': HAOER
'were,': WR/KW-BG
'like': HRAOEUBG
'the': -T
'world': WORLD
'I': EU
'have': SR
'quitted,': KW*/*U/*EU/T*/T*/*E/TK*/KW-BG
'only': OEPBL
'a': AEU
'beautiful': PWAOUFL
'fancy,': TPAEPBS/KW-BG
'a': AEU
'delusion': TKHRAOUGS
'like': HRAOEUBG
'the': -T
'beauty': PWAOUT
'of': -F
'the': -T
'evening': AOEPBG
'clouds,': KHROUDZ/KW-BG
'like': HRAOEUBG
'the': -T
'misty': PH*EUS/TEU
'blue': PWHRU
'of': -F
'the': -T
'distant': STKAPBT
'hills!—when': HEULS/SKHRAPL/EPL/TKA*RB/WHEPB
'you': U
'approach': PROEFP
'them,': THEPL/KW-BG
'they': THE
'are': R
'very': SRE
'different!': TKEUFRT/SKHRAPL
'O': O*P
'eternity!': AOE/TERPBT/SKHRAPL
'Thou': KPA/THO*U
'actest': ABGT/EFT
'like': HRAOEUBG
'the': -T
'great': TKPWRAET
'calm': KAUPL
'ocean,': OEGS/KW-BG
'that': THA
'beckons': PWEBG/O*PB/-S
'us,': US/KW-BG
'and': SKP
'fills': TPEULS
'us': US
'with': W
'expectation—and': KP-PT/AEUGS/EPL/TKA*RB/SKP
'when': WHEPB
'we': WE
'embark': EPL/PWARBG
'upon': POPB
'thee,': THAOE/KW-BG
'we': WE
'sink,': S*EUPBG/KW-BG
'disappear,': TKEUS/PAOER/KW-BG
'and': SKP
'cease': SAOES
'to': TO
'be.': -B/TP-PL
'Delusion!': KPA/TKHRAOUGS/SKHRAPL
'away': WA*EU
'with': W
'it!': T/SKHRAPL
'begone!"': PWE/TKPWOPB/SKHRAPL/KR-GS
'And': AFPBD
'tearless,': TAER/-LS/KW-BG
'but': PWUT
'sunk': S*UPBG
'in': TPH
'bitter': PWEURT
'reflection,': RE/TPHR*EBGS/KW-BG
'he': HE
'sat': SAT
'upon': POPB
'his': HEUS
'hard': HARD
'couch,': KOUFP/KW-BG
'and': SKP
'then': THEPB
'knelt': TPHELT
'down—before': TKOUPB/EPL/TKA*RB/PW-FR
'whom?': WHOPL/H-F
'Before': KPA/PW-FR
'the': -T
'stone': STOEPB
'cross': KROS
'fastened': TPAS/-PBD
'to': TO
'the': -T
'wall?': WAUL/H-F
'No,': KPA/TPHO/KW-BG
'it': T
'was': WAS
'only': OEPBL
'habit': HABT
'that': THA
'made': PHAED
'him': HEUPL
'take': TAEUBG
'this': TH
'position.': POGS/TP-PL
'The': KPA/-T
'more': PHOR
'deeply': TKAO*EPL
'he': HE
'looked': HRAOBGD
'into': TPHAO
'his': HEUS
'own': OEPB
'heart,': HART/KW-BG
'the': -T
'blacker': PWHRABG/*ER
'did': TK
'the': -T
'darkness': TKARBG/-PBS
'seem.': SAOEPL/TP-PL
'"Nothing': KW-GS/KPA*/TPHOG
'within,': W-PB/KW-BG
'nothing': TPHOG
'without—this': WOUT/EPL/TKA*RB/TH
'life': HRAOEUF
