Two Hanged Women

'hair': HAEUR
'swaying,': SWAEUG/KW-BG
'she': SHE
'said,': SED/KW-BG
'in': TPH
'a': AEU
'tone': TOEPB
'of': -F
'meaning': PHAOEPBG
'emphasis:': EFPL/SEUS/STPH-FPLT
'"I': KW-GS/EU
'like': HRAOEUBG
'Fred."': TPRED/TP-PL/KR-GS
'The': KPA/-T
'only': OEPBL
'answer': AEPBS
'was': WAS
'a': AEU
'faint,': TPAEUPBT/KW-BG
'contemptuous': KAUPB/TEPLT/WOUS
'shrug.': SHR*UG/TP-PL
'"I': KW-GS/EU
'tell': TEL
'you': U
'I': EU
'LIKE': *URP/HRAOEUBG
'him!"': HEUPL/SKHRAPL/KR-GS
'"Fred?': KW-GS/TPRED/H-F
'Rats!"': KPA/RATS/SKHRAPL/KR-GS
'"No': KW-GS/KPA*/TPHO
'it': T
'isn't': S-PBT
'. . .': HR-PZ
'that's': THATS
'just': SKWRUFT
'where': W-R
'you're': UR
'wrong,': WRORPBGS
'Betty.': PWET/KWREU/TP-PL
'But': KPA/PWUT
'you': U
'think': THEU
'you're': UR
'so': SO
'wise.': WAOEUS/TP-PL
'Always."': KPA/AULS/TP-PL/KR-GS
'"I': KW-GS/EU
'know': TPHOE
'what': WHA
'I': EU
'know."': TPHOEFPLT/KR-GS
'"Or': KW-GS/KPA*/OR
'imagine': PHAPBLG
'you': U
'do!': TKO/SKHRAPL
'But': KPA/PWUT
'it': T
'doesn't': TKOPBT
'matter.': PHAERT/TP-PL
'Nothing': KPA/TPHOG
'you': U
'can': K
'say': SAEU
'makes': PHAEUBGS
'any': TPHEU
'difference.': TKEUFRPBS/TP-PL
'I': EU
'like': HRAOEUBG
'him,': HEUPL/KW-BG
'and': SKP
'always': AULS
'shall.': SHAL/TP-PL
'In': KPA/TPH
'heaps': HAOEP/-S
'of': -F
'ways.': WAEUS/TP-PL
'He's': KPA/HAOES
'so': SO
'big': PWEUG
'and': SKP
'strong,': STROPBG/KW-BG
'for': TPOR
'one': WUPB
'thing:': THEUPBG/STPH-FPLT
'it': T
'gives': TKPWEUFS
'you': U
'such': SUFP
'a': AEU
'safe': SAEUF
'sort': SORT
'of': -F
