In a Thousand Years

'Yes,': KPA/KWRE/KW-BG
'genuine.': SKWREPB/WEUPB/TP-PL
'Next': KPA/TPHEGT
'to': TO
'Greece,': TKPWRAO*ES/KW-BG
'to': TO
'sleep': SHRAOEP
'a': AEU
'night': TPHAOEUT
'in': TPH
'the': -T
'grand': TKPWRAPBD
'hotel': HOET/EL
'at': AT
'the': -T
'top': TOP
'of': -F
'Mount': PHO*UPBT
'Olympus,': O/HREUPL/PUS/KW-BG
'to': TO
'say': SAEU
'that': THA
'they': THE
'have': SR
'been': PW-PB
'there;': THR/STPH*FPLT
'and': SKP
'the': -T
'journey': SKWRURPB
'is': S
'continued': T-PBD
'to': TO
'the': -T
'Bosphorus,': PWOS/TPOR/US/KW-BG
'to': TO
'rest': REFT
'there': THR
'a': AEU
'few': TPAOU
'hours,': HOURS/KW-BG
'and': SKP
'see': SAOE
'the': -T
'place': PHRAEUS
'where': W-R
'Byzantium': PWEUZ/APBT/KWRUPL
'lay;': HRAEU/STPH*FPLT
'and': SKP
'where': W-R
'the': -T
'legend': HREGD
'tells': TELS
'that': THA
'the': -T
'harem': HAEURPL
'stood': STAOD
'in': TPH
'the': -T
'time': TAOEUPL
'of': -F
'the': -T
'Turks,': TURBGS/KW-BG
'poor': PAOR
'fishermen': TPEURB/ER/PHEPB
'are': R
'now': TPHOU
'spreading': SPREGD
'their': THAEUR
'nets.': TPHETS/TP-PL
'Over': KPA/OEFR
'the': -T
'remains': RE/PHAEUPBS
'of': -F
'mighty': PHAOEUT/KWREU
'cities': STEUS
'on': OPB
'the': -T
'broad': PWRAOD
'Danube,': TK*P/A*/TPH*/*U/PW*/*E/KW-BG
'cities': STEUS
'which': WEU
'we': WE
'in': TPH
'our': OUR
'time': TAOEUPL
'know': TPHOE
'not,': TPHOT/KW-BG
'the': -T
'travellers': TRA*FL/ERS/A*U
'pass;': PAS/STPH*FPLT
'but': PWUT
'here': HAOER
'and': SKP
'there,': THR-RBGS
'on': OPB
'the': -T
'rich': REUFP
'sites': SAO*EUTS
'of': -F
'those': THOZ
'that': THA
'time': TAOEUPL
'shall': SHAL
'bring': PWREU
'forth,': TPO*RT/KW-BG
'the': -T
'caravan': KAR/SRAPB
'sometimes': STAOEUPLS
'descends,': TKE/SEPBDZ/KW-BG
'and': SKP
'departs': TKAOE/PARTS
'thence': THEPBS
'again.': TKPWEPB/TP-PL
'Down': KPA/TKOUPB
'below': PWHRO
'lies': HRAO*EUS
'Germany,': SKWRERPL/TPHEU/KW-BG
'that': THA
'was': WAS
'once': WUPBS
'covered': KOFRD
'with': W
'a': AEU
'close': KHROES
'net': TPHET
'of': -F
'railway': RAEUL/WAEU
'and': SKP
'canals,': KAPB/ALS/KW-BG
'the': -T
'region': RAOEGS
'where': W-R
'Luther': HRAO*UT/*ER
'spoke,': SPOEBG/KW-BG
'where': W-R
'Goethe': TKPWO*ET/SKWRE
'sang,': SAPBG/KW-BG
'and': SKP
'Mozart': PHOZ/ART
'once': WUPBS
'held': HELD
'the': -T
'sceptre': SEP/TER/A*U
'of': -F
'harmony.': HAR/PHOEPB/TP-PL
'Great': KPA/TKPWRAET
'names': TPHAEUPLS
'shine': SHAOEUPB
'there,': THR-RBGS
'in': TPH
'science': SKRAOEUPBS
'and': SKP
'in': TPH
'art,': ART/KW-BG
'names': TPHAEUPLS
'that': THA
'are': R
'unknown': UPB/TPHOEPB
'to': TO
'us.': US/TP-PL
'One': KPA/WUPB
'day': TKAEU
'devoted': TKWOETD
'to': TO
'seeing': SAOEG
'Germany,': SKWRERPL/TPHEU/KW-BG
'and': SKP
'one': WUPB
'for': TPOR
'the': -T
'North,': TPHOERT/KW-BG
'the': -T
'country': KREU
'of': -F
'Oersted': KPA/*ERS/-D
'and': SKP
'Linnaeus,': HR*P/*EUPB/*PB/SKWRA/KWR*US/KW-BG
'and': SKP
'for': TPOR
'Norway,': TPHOR/WAEU/KW-BG
'the': -T
'land': HRAPBD
'of': -F
'the': -T
'old': OLD
'heroes': HOEURS
'and': SKP
'the': -T
'young': KWRUPBG
'Normans.': TPHOR/PHAPB/-S/TP-PL
'Iceland': AOEUS/HRA*PBD
'is': S
'visited': SREUFTD
'on': OPB
'the': -T
'journey': SKWRURPB
'home.': HOEPL/TP-PL
'The': KPA/-T
'geysers': TKPWAOEUZ/ERS
'burn': PWURPB
'no': TPHO
'more,': PHOR/KW-BG
'Hecla': H*P/*E/KR*/HR*/SKWRA
'is': S
'an': APB
'extinct': EBGS/TEUPBG
'volcano,': SROL/KAEU/TPHOE/KW-BG
'but': PWUT
'the': -T
'rocky': ROBG/KEU
'island': AOEULD
'is': S
'still': STEUL
'fixed': TPEUFD
'in': TPH
'the': -T
'midst': PHEUDZ
'of': -F
'the': -T
'foaming': TPOEPLG
'sea,': SAE/KW-BG
'a': AEU
'continual': T-PB/WAL
'monument': PHOPLT
'of': -F
'legend': HREGD
'and': SKP
'poetry.': POEURT/TP-PL
'"There': KW-GS/KPA*/THR
'is': S
'really': R-L
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'to': TO
'be': -B
'seen': SAOEPB
'in': TPH
'Europe,"': AO*URP/KW-BG/KR-GS
'says': SEZ
'the': -T
'young': KWRUPBG
'American,': PHERPB/KW-BG
'"and': KW-GS/SKP
'we': WE
'have': SR
'seen': SAOEPB
'it': T
'in': TPH
'a': AEU
'week,': WAOERBGS
'according': KORG
'to': TO
'the': -T
'directions': TKREBGS/-S
'of': -F
'the': -T
'great': TKPWRAET
'traveller"': TRA*FL/HRER/KR-GS
'(and': PREPB/SKP
'here': HAOER
'he': HE
'mentions': PHEPBGS/-S
'the': -T
'name': TPHAEUPL
'of': -F
'one': WUPB
'of': -F
'his': HEUS
'contemporaries)': KPAER/-S/PR*EPB
'"in': KW-GS/TPH
'his': HEUS
'celebrated': SEL/PWRAEUT/-D
'work,': WORBG/KW-BG
''How': A*E/KPA*/HOU
'to': TO
'See': KPA/SAOE
'All': KPA/AUL
'Europe': AO*URP
'in': TPH
'a': AEU
'Week.'"': KPA/WAOEBG/TP-PL/AE/KR-GS
