The Story of the Wind

'"Near': KW-GS/KPA*/TPHAOER
'wood-pigeons,': WAOD/H-PB/PEUPBLG/-PBS/KW-BG
'the': -T
'blue-birds,': PWHRU/H-PB/PWEURDZ/KW-BG
'and': SKP
'the': -T
'black': PWHRABG
'stork.': STORBG/TP-PL
'It': KPA/T
'was': WAS
'yet': KWRET
'spring,': SPREUPBG/KW-BG
'some': SOPL
'were': WR
'sitting': SEUGT
'on': OPB
'their': THAEUR
'eggs,': EGS/KW-BG
'others': OERS
'had': H
'already': HR-R
'hatched': HAFPD
'their': THAEUR
'young': KWRUPBG
'broods;': PWRAODZ/STPH*FPLT
'but': PWUT
'how': HOU
'they': THE
'fluttered': TPHRUT/ERD
'about': PW
'and': SKP
'cried': KRAOEUD
'out': OUT
'when': WHEPB
'the': -T
'axe': ABGS
'sounded': SOUPBD/-D
'through': THRU
'the': -T
'forest,': TPOEFRT/KW-BG
'blow': PWHROE
'upon': POPB
'blow!': PWHROE/SKHRAPL
'The': KPA/-T
'trees': TRAOES
'of': -F
'the': -T
'forest': TPOEFRT
'were': WR
'doomed.': TKAOPLD/TP-PL
'Waldemar': W*P/A*/HR*/TK*/*E/PH*/A*R
'Daa': KPA/TKA/KWRA
'wanted': WAPBTD
'to': TO
'build': PWEULD
'a': AEU
'noble': TPHOEBL
'ship,': SHEUP/KW-BG
'a': AEU
'man-of-war,': PHAPB/H-PB/-F/H-PB/WAR/KW-BG
'a': AEU
'three-decker,': THRAOE/H-PB/TKEBG/*ER/KW-BG
'which': WEU
'the': -T
'king': KEUPBG
'would': WO
'be': -B
'sure': SHUR
'to': TO
'buy;': PWAOEU/STPH*FPLT
'and': SKP
'these,': THEZ/KW-BG
'the': -T
'trees': TRAOES
'of': -F
'the': -T
'wood,': WAOD/KW-BG
'the': -T
'landmark': HRAPBD/PHARBG
'of': -F
'the': -T
'seamen,': SAE/PHEPB/KW-BG
'the': -T
'refuge': REF/AOUPBLG
'of': -F
'the': -T
'birds,': PWEURDZ/KW-BG
'must': PHUFT
'be': -B
'felled.': TPEL/-D/TP-PL
'The': KPA/-T
'hawk': HAUBG
'started': STARTD
'up': UP
'and': SKP
'flew': TPHRAOU
'away,': WA*EU/KW-BG
'for': TPOR
'its': EUTS
'nest': TPHEFT
'was': WAS
'destroyed;': STKROEUD/STPH*FPLT
'the': -T
'heron': HER/ROPB
'and': SKP
'all': AUL
'the': -T
'birds': PWEURDZ
'of': -F
'the': -T
'forest': TPOEFRT
'became': PWAEUPL
'homeless,': HOEPL/-LS/KW-BG
'and': SKP
'flew': TPHRAOU
'about': PW
'in': TPH
'fear': TPAOER
'and': SKP
'anger.': ARPBG/TP-PL
'I': EU
'could': KO
'well': WEL
'understand': URPBD
'how': HOU
'they': THE
'felt.': TPELT/TP-PL
'Crows': KPA/KROE/-S
'and': SKP
'ravens': RA*EUF/-PBS
'croaked,': KROEBG/-D/KW-BG
'as': AS
'if': TP
'in': TPH
'scorn,': SKORPB/KW-BG
'while': WHAOEUL
'the': -T
'trees': TRAOES
'were': WR
'cracking': KRA*G
'and': SKP
'falling': TPAULG
'around': ARPBD
'them.': THEPL/TP-PL
'Far': KPA/TPAR
'in': TPH
'the': -T
'interior': OERPBT
'of': -F
'the': -T
'wood,': WAOD/KW-BG
'where': W-R
'a': AEU
'noisy': TPHOEU/SEU
'swarm': SWARPL
'of': -F
'laborers': HRAEUB/ERS
'were': WR
'working,': WOG/KW-BG
'stood': STAOD
'Waldemar': W*P/A*/HR*/TK*/*E/PH*/A*R
'Daa': KPA/TKA/KWRA
'and': SKP
'his': HEUS
'three': THRAOE
'daughters,': TKAURS/KW-BG
'and': SKP
'all': AUL
'were': WR
'laughing': HRAFG
'at': AT
'the': -T
'wild': WAOEULD
'cries': KRAOEUS
'of': -F
'the': -T
'birds,': PWEURDZ/KW-BG
'excepting': KPEPT/-G
'one,': WUPB/KW-BG
'the': -T
'youngest,': KWRUPBG/EFT/KW-BG
'Anna': APB/TPHA
'Dorothea,': KPA/TKOR/KWRO/*T/SKWR*E/KWRA/KW-BG
'who': WHO
'felt': TPELT
'grieved': TKPWRAOEF/-D
'to': TO
'the': -T
'heart;': HART/STPH*FPLT
'and': SKP
'when': WHEPB
'they': THE
