Little Thumb
'blood.': PWHRAOD/TP-PL
'She': KPA/SHE
'fainted': TPAEUPBT/-D
'away;': WA*EU/STPH*FPLT
'for': TPOR
'this': TH
'is': S
'the': -T
'first': TPEUFRT
'expedient': EBGS/PAOED/KWREPBT
'almost': HR-PL
'all': AUL
'women': WEUPL
'find': TPAOEUPBD
'in': TPH
'such-like': SUFP/SKWRAO*EUBG
'cases.': KAEUSZ/TP-PL
'The': KPA/-T
'Ogre,': KPA/OERG/KW-BG
'fearing': TPAOERG
'his': HEUS
'wife': WAOEUF
'would': WO
'be': -B
'too': TAO
'long': HROPBG
'in': TPH
'doing': TK*G
'what': WHA
'he': HE
'had': H
'ordered,': ORD/-D/KW-BG
'went': WEPBT
'up': UP
'himself': HEUPLS
'to': TO
'help': HEP
'her.': HER/TP-PL
'He': KPA/HE
'was': WAS
'no': TPHO
'less': HRES
'amazed': A/PHAEUFD
'than': THAPB
'his': HEUS
'wife,': WAOEUF/KW-BG
'at': AT
'this': TH
'frightful': TPRAOEUT/-FL
'spectacle.': SPEBGT/K-L/TP-PL
'"Ah!': KW-GS/KPA*/HA*E/SKHRAPL
'what': WHA
'have': SR
'I': EU
'done?"': TKOPB/H-F/KR-GS
'cried': KRAOEUD
'he.': HE/TP-PL
'"The': KW-GS/KPA*/-T
'cursed': KURS/-D
'wretches': WREFP/S*E
'shall': SHAL
'pay': PAEU
'for': TPOR
'it,': T/KW-BG
'and': SKP
'that': THA
'instantly."': EUPB/STAPBT/HREU/TP-PL/KR-GS
'He': KPA/HE
'threw': THRAOU
'then': THEPB
'a': AEU
'pitcher': PEUFRP
'of': -F
'water': WAUR
'upon': POPB
'his': HEUS
'wife's': WAOEUF/AES
'face;': TPAEUS/STPH*FPLT
'and': SKP
'having': SR-G
'brought': PWRAUT
'her': HER
'to': TO
'herself:': H*ERS/STPH-FPLT
'"Give': KW-GS/KPA*/TKPWEUF
'me': PHE
'quickly,"': KWEULG/KW-BG/KR-GS
'cried': KRAOEUD
'he,': HE/KW-BG
'"my': KW-GS/PHEU
'boots': PWAOTS
'of': -F
'seven': SEFPB
'leagues,': HRAOEG/-S/KW-BG
'that': THA
'I': EU
'may': PHAE
'go': TKPW
'and': SKP
'catch': KAFP
'them."': THEPL/TP-PL/KR-GS
'He': KPA/HE
'went': WEPBT
'out;': OUT/STPH*FPLT
'and,': SKP/KW-BG
'having': SR-G
'run': RUPB
'over': OEFR
'a': AEU
'vast': SRAFT
'deal': TKAOEL
'of': -F
'ground,': TKPWROUPBD/KW-BG
'both': PWO*T
'on': OPB
'this': TH
'side': SAOEUD
'and': SKP
'that,': THARBGS
'he': HE
'came': KAEUPL
'at': AT
'last': HRAFT
'into': TPHAO
'the': -T
'very': SRE
'road': RAOD
'where': W-R
'the': -T
'poor': PAOR
'children': KHEURPB
'were,': WR/KW-BG
'and': SKP
'not': TPHOT
'above': PWOF
'a': AEU
'hundred': HUPBD
'paces': PAEUS/-S
'from': TPR
'their': THAEUR
'father's': TPAER/AES
'house.': HOUS/TP-PL
'They': KPA/THE
'espied': AOE/SPAOEUD
'the': -T
'Ogre,': KPA/OERG/KW-BG
'who': WHO
'went': WEPBT
'at': AT
'one': WUPB
'step': STEP
'from': TPR
'mountain': PHOUPB/TAEUPB
'to': TO
'mountain,': PHOUPB/TAEUPB/KW-BG
'and': SKP
'over': OEFR
'rivers': REUFRS
'as': AS
'easily': AOELS
'as': AS
'the': -T
'narrowest': TPHO*EUR/EFT
'kennels.': KEPBLS/TP-PL
'Little': KPA/HREUL
'Thumb,': KPA/THUPL/KW-BG
'seeing': SAOEG
'a': AEU
'hollow': HOL/OE
'rock': ROBG
'near': TPHAOER
'the': -T
'place': PHRAEUS
'where': W-R
'they': THE
'were,': WR/KW-BG
'made': PHAED
'his': HEUS
'brothers': PWROERS
'hide': HAOEUD
'themselves': TH*EPLS
'in': TPH
'it,': T/KW-BG
'and': SKP
'crowded': KROUD/-D
'into': TPHAO
'it': T
'himself,': HEUPLS/KW-BG
'minding': PHAOEUPBD/-G
'always': AULS
'what': WHA
'would': WO
'become': PW-BG
'of': -F
'the': -T
'Ogre.': KPA/OERG/TP-PL
'The': KPA/-T
'Ogre,': KPA/OERG/KW-BG
'who': WHO
'found': TPOUPBD
'himself': HEUPLS
'much': PHUFP
'tired': TAOEURD
'with': W
'his': HEUS
'long': HROPBG
'and': SKP
'fruitless': TPRAOUT/HRES
'journey': SKWRURPB
'(for': PREPB/TPOR
'these': THEZ
'boots': PWAOTS
'of': -F
'seven': SEFPB
'leagues': HRAOEG/-S
'extremely': KPRAOEPL
'fatigue': TPA/TAOEG
'the': -T
'wearer),': WAER/*ER/PR*EPB/KW-BG
'had': H
'a': AEU
'great': TKPWRAET
'mind': PHAOEUPBD
'to': TO
'rest': REFT
'himself,': HEUPLS/KW-BG
'and,': SKP/KW-BG
'by': PWEU
'chance,': KHAPBS/KW-BG
'went': WEPBT
'to': TO
'sit': SEUT
'down': TKOUPB
'upon': POPB
'the': -T
'rock': ROBG
'where': W-R
'these': THEZ
'little': HREUL
'boys': PWOEUS
'had': H
'hid': HEUD
'themselves.': TH*EPLS/TP-PL
'As': KPA/AS
'he': HE
'was': WAS
'worn': WORPB
'out,': OUT/KW-BG
'he': HE
'fell': TPEL
'asleep:': A/SHRAOEP/STPH-FPLT
'and,': SKP/KW-BG
'after': AF
'reposing': RE/POES/-G
'himself': HEUPLS
'some': SOPL
'time': TAOEUPL
'he': HE
'began': TKPWAPB
'to': TO
'snore': STPHAUR
'so': SO
'frightfully,': TPRAOEUT/-FL/HREU/KW-BG
'that': THA
'the': -T
'poor': PAOR
'children': KHEURPB
'were': WR
'no': TPHO
'less': HRES
'afraid': A/TPRAEUD
'of': -F
'him,': HEUPL/KW-BG
'than': THAPB
'when': WHEPB
'he': HE
'held': HELD
'up': UP
'his': HEUS
'great': TKPWRAET
'knife,': TPHAOEUF/KW-BG
'and': SKP
'was': WAS
'going': TKPW-G
'to': TO
'cut': KUT
'their': THAEUR
'throats.': THROETS/TP-PL
'Little': KPA/HREUL
'Thumb': KPA/THUPL
'was': WAS
'not': TPHOT
'so': SO
'much': PHUFP
'frightened': TPRAOEUFPBD
'as': AS
'his': HEUS
'brothers,': PWROERS/KW-BG
'and': SKP
'told': TOLD
'them': THEPL
'that': THA
'they': THE
'should': SHO
'run': RUPB
'away': WA*EU
'immediately': PHAOELD
'towards': TORDZ
'home,': HOEPL/KW-BG
'while': WHAOEUL
'the': -T
'Ogre': KPA/OERG
'was': WAS
'asleep': A/SHRAOEP
'so': SO
'soundly;': SOUPBD/HREU/STPH*FPLT
'and': SKP
'that': THA
'they': THE
'should': SHO
'not': TPHOT
'be': -B
'anxious': KPUS
'about': PW
'him.': HEUPL/TP-PL
'They': KPA/THE
'took': TAOBG
'his': HEUS
'advice,': SREUS/KW-BG
'and': SKP
'got': TKPWOT
'home': HOEPL
'presently.': PREPBLT/TP-PL
'Little': KPA/HREUL
'Thumb': KPA/THUPL
'came': KAEUPL
'up': UP
'to': TO
'the': -T
'Ogre,': KPA/OERG/KW-BG
'pulled': PULD
'off': OF
'his': HEUS
'boots': PWAOTS
'gently,': SKWREPBT/HREU/KW-BG
'and': SKP
'put': PUT
'them': THEPL
'on': OPB
'upon': POPB
'his': HEUS
'own': OEPB
'legs.': HREGS/TP-PL
'The': KPA/-T
'boots': PWAOTS
'were': WR
'very': SRE
'long': HROPBG
'and': SKP
'large;': HRARPBLG/STPH*FPLT
'but': PWUT
'as': AS
'they': THE
'were': WR
'Fairies,': KPA/TPAEUR/REU/-S/KW-BG
'they': THE
'had': H
'the': -T
'gift': TKPWEUFT
'of': -F
'becoming': PW-BG/-G
'big': PWEUG
'and': SKP
'little,': HREUL/KW-BG
'according': KORG
'to': TO
'the': -T
'legs': HREGS
'of': -F
'those': THOZ
'who': WHO
'wore': WOR
'them;': THEPL/STPH*FPLT
'so': SO
'that': THA
'they': THE
'fitted': TPEUTD
'his': HEUS
'feet': TPAOET
'and': SKP
'legs': HREGS
'as': AS
'well': WEL
'as': AS
'if': TP
'they': THE
'had': H
'been': PW-PB
'made': PHAED
'on': OPB
'purpose': PURP
'for': TPOR
'him.': HEUPL/TP-PL
'He': KPA/HE
'went': WEPBT
'immediately': PHAOELD
'to': TO
'the': -T
'Ogre's': KPA/OERG/AES
'house,': HOUS/KW-BG
'where': W-R
'he': HE
'saw': SAU
'his': HEUS
'wife': WAOEUF
'crying': KRAOEUG
'bitterly': PWEURLT
'for': TPOR
'the': -T
'loss': HROS
'of': -F
'her': HER
'murdered': PHURD/-D
'daughters.': TKAURS/TP-PL
'"Your': KW-GS/KPA*/KWROUR
'husband,"': HUS/KW-BG/KR-GS
'said': SED
'Little': KPA/HREUL
'Thumb,': KPA/THUPL/KW-BG
'"is': KW-GS/S
'in': TPH
'very': SRE
'great': TKPWRAET
'danger,': TKAEUPBLG/KW-BG
'being': -BG
'taken': TAEPB
'by': PWEU
'a': AEU
'gang': TKPWAPBG
'of': -F
'thieves,': THAOEFS/KW-BG
'who': WHO
'have': SR
'sworn': SWORPB
'to': TO
'kill': KEUL
'him,': HEUPL/KW-BG
'if': TP
'he': HE
'does': TKOS
'not': TPHOT
'give': TKPWEUF
'them': THEPL
'all': AUL
'his': HEUS
'gold': TKPWOELD
'and': SKP
'silver.': SEUL/SRER/TP-PL
'Just': KPA/SKWRUFT
'when': WHEPB
'they': THE
'held': HELD
'their': THAEUR
'daggers': TKAG/ERS
'at': AT
'his': HEUS
'throat,': THROET/KW-BG
'he': HE
'perceived': SPAOEFD
'me,': PHE/KW-BG
'and': SKP
'desired': STKAOEURD
'me': PHE
'to': TO
'come': KOPL
'and': SKP
'tell': TEL
'you': U
'the': -T
'condition': K-PB
'he': HE
'is': S
'in,': TPH/KW-BG
'and': SKP
'that': THA
'you': U
'should': SHO
'give': TKPWEUF
'me': PHE
'whatsoever': WHA/SOFR
'he': HE
'has': HAS
'of': -F
'value,': SRAOUL/KW-BG
'without': WOUT
'retaining': RE/TAEUPBG
'any': TPHEU
'one': WUPB
'thing;': THEUPBG/STPH*FPLT
'for': TPOR
'otherwise': O*ERZ
'they': THE
'will': HR
'kill': KEUL
'him': HEUPL
'without': WOUT
'mercy;': PHER/SEU/STPH*FPLT
'and,': SKP/KW-BG
'as': AS
'his': HEUS
'case': KAEUS
'is': S
'very': SRE
'pressing,': PREFG/KW-BG
'he': HE
'desired': STKAOEURD
'me': PHE
'to': TO
'make': PHAEUBG
'use': AOUS
'(you': PREPB/U
'see': SAOE
'I': EU
'have': SR
'them': THEPL
'on)': OPB/PR*EPB
'of': -F
'his': HEUS
'boots,': PWAOTS/KW-BG
'that': THA
'I': EU
'might': PHAOEUT
'make': PHAEUBG
'the': -T
'more': PHOR
'haste,': HAEUFT/KW-BG
'and': SKP
'to': TO
'shew': S*/H*/*E/W*
'you': U
'that': THA
'I': EU
'do': TKO
'not': TPHOT
'impose': EUPL/POES
'upon': POPB
'you."': U/TP-PL/KR-GS
'The': KPA/-T
'good': TKPWAOD
'woman,': WOPL/KW-BG
'being': -BG
'sadly': SAD/HREU
'frightened,': TPRAOEUFPBD/KW-BG
'gave': TKPWAEUF
'him': HEUPL
'all': AUL
'she': SHE
'had:': H/STPH-FPLT
'for': TPOR
'this': TH
'Ogre': KPA/OERG
'was': WAS
'a': AEU
'very': SRE
'good': TKPWAOD
'husband,': HUS/KW-BG
'tho'': THO*/AE
'he': HE
'used': AOUFD
'to': TO
'eat': AOET
'up': UP
'little': HREUL
'children.': KHEURPB/TP-PL
'Little': KPA/HREUL
'Thumb,': KPA/THUPL/KW-BG
'having': SR-G
'thus': THUS
'got': TKPWOT
'all': AUL
'the': -T
'Ogre's': KPA/OERG/AES
'money,': PHUPB/KW-BG
'came': KAEUPL
'home': HOEPL
'to': TO
'his': HEUS
'father's': TPAER/AES
'house,': HOUS/KW-BG
'where': W-R
'he': HE
'was': WAS
'received': SAOEFD
'with': W
'abundance': PWUPB/TKAPBS
'of': -F
'joy.': SKWROEU/TP-PL
'There': KPA/THR
'are': R
'many': PHAEPB
'people': PAOEPL
'who': WHO
'do': TKO
'not': TPHOT
'agree': TKPWRAE
'in': TPH
'this': TH
'circumstance,': SEURBG/KW-BG
'and': SKP
'pretend': PRE/TEPBD
'that': THA
'Little': KPA/HREUL
'Thumb': KPA/THUPL
'never': TPHEFR
'robbed': ROBD
'the': -T
'Ogre': KPA/OERG
'at': AT
'all,': AUL/KW-BG
'and': SKP
'that': THA
'he': HE
'only': OEPBL
'thought': THAUT
'he': HE
'might': PHAOEUT
'very': SRE
'justly,': SKWRUFT/HREU/KW-BG
'and': SKP
'with': W
'safe': SAEUF
'conscience': KAUPBGS
'take': TAEUBG
'off': OF
'his': HEUS
'boots': PWAOTS
'of': -F
'seven': SEFPB
'leagues,': HRAOEG/-S/KW-BG
'because': PWAU
'he': HE
'made': PHAED
'no': TPHO
'other': OER
'use': AOUS
'of': -F
'them,': THEPL/KW-BG
'but': PWUT
'to': TO
'run': RUPB
'after': AF
'little': HREUL
'children.': KHEURPB/TP-PL
'These': KPA/THEZ
'folks': TPOBG
'affirm,': A/TPEURPL/KW-BG
'that': THA
'they': THE
'were': WR
'very': SRE
'well': WEL
'assured': A/SHURD
'of': -F
'this,': TH/KW-BG
'and': SKP
'the': -T
'more,': PHOR/KW-BG
'as': AS
'having': SR-G
'drank': TKRA*PBG
'and': SKP
'eaten': AOET/EPB
'often': OFPB
'at': AT
'the': -T
'faggot-maker's': TPAGT/H-PB/PHAEURBG/AES
'house.': HOUS/TP-PL
'They': KPA/THE
'aver,': A*FR/KW-BG
'that,': THARBGS
'when': WHEPB
'Little': KPA/HREUL
'Thumb': KPA/THUPL
'had': H
'taken': TAEPB
'off': OF
'the': -T
'Ogre's': KPA/OERG/AES
'boots,': PWAOTS/KW-BG
'he': HE
'went': WEPBT
'to': TO
'Court,': KO*RT/KW-BG
'where': W-R
'he': HE
'was': WAS
'informed': TPH-FD
'that': THA
'they': THE
'were': WR
'very': SRE
'anxious': KPUS
'about': PW
'a': AEU
'certain': SERPB
'army,': AERPL/KW-BG
'which': WEU
'was': WAS
'two': TWO
'hundred': HUPBD
'leagues': HRAOEG/-S
'off,': OF/KW-BG
'and': SKP
'the': -T
'success': SKES
'of': -F
'a': AEU
'battle.': PWA*LT/TP-PL
'He': KPA/HE
'went,': WEPBT/KW-BG
'say': SAEU
'they,': THE/KW-BG
'to': TO
'the': -T
'King,': KO*EUPBG/KW-BG
'and': SKP
'told': TOLD
'him': HEUPL
'that,': THARBGS
'if': TP
'he': HE
'desired': STKAOEURD
'it,': T/KW-BG
'he': HE
'would': WO
'bring': PWREU
'him': HEUPL
'news': TPHUS
'from': TPR
'the': -T
'army': AERPL
'before': PW-FR
'night.': TPHAOEUT/TP-PL
'The': KPA/-T
'King': KO*EUPBG
'promised': PROPLS/-D
'him': HEUPL
'a': AEU
'great': TKPWRAET
'sum': SUPL
'of': -F
'money': PHUPB
'upon': POPB
'that': THA
'condition.': K-PB/TP-PL
'Little': KPA/HREUL
'Thumb': KPA/THUPL
'was': WAS
'as': AS
'good': TKPWAOD
'as': AS
'his': HEUS
'word,': WORD/KW-BG
'and': SKP
'returned': RURPBD
'that': THA
'very': SRE
'same': SAEUPL
'night': TPHAOEUT
'with': W
'the': -T
'news;': TPHUS/STPH*FPLT
'and': SKP
'this': TH
'first': TPEUFRT
'expedition': EBGS/PED/EUGS
'causing': KAUGZ
'him': HEUPL
'to': TO
'be': -B
'known,': TPHOEPB/KW-BG
'he': HE
'got': TKPWOT
'whatever': WHAF
'he': HE
'pleased;': PHREFD/STPH*FPLT
'for': TPOR
'the': -T
'King': KO*EUPBG
'paid': PAEUD
'him': HEUPL
'very': SRE
'well': WEL
'for': TPOR
'carrying': KAERG
'his': HEUS
'orders': ORDZ
'to': TO
'the': -T
'army,': AERPL/KW-BG
'and': SKP
'abundance': PWUPB/TKAPBS
'of': -F
'ladies': HRAEUDZ
'gave': TKPWAEUF
'him': HEUPL
'what': WHA
'he': HE
'would': WO
'to': TO
'bring': PWREU
'them': THEPL
'news': TPHUS
'from': TPR
'their': THAEUR
'lovers;': HRUFRS/STPH*FPLT
'and': SKP
'that': THA
'this': TH
'was': WAS
'his': HEUS
'greatest': TKPWRAET/EFT
'gain.': TKPWAEUPB/TP-PL
'There': KPA/THR
'were': WR
'some': SOPL
'married': PHAERD
'women,': WEUPL/KW-BG
'too,': TAO/KW-BG
'who': WHO
'sent': SEPBT
'letters': HRERTS
'by': PWEU
'him': HEUPL
'to': TO
'their': THAEUR
'husbands,': HUZ/-Z/KW-BG
'but': PWUT
'they': THE
'paid': PAEUD
'him': HEUPL
'so': SO
'ill': EUL
'that': THA
'it': T
'was': WAS
'not': TPHOT
'worth': WO*RT
'his': HEUS
'while,': WHAOEUL/KW-BG
'and': SKP
'turned': TURPBD
'to': TO
'such': SUFP
'small': SPHAL
'account,': K-T/KW-BG
'that': THA
'he': HE
'scorned': SKORPBD
'ever': -FR
'to': TO
'reckon': REBG/-PB
'what': WHA
'he': HE
'got': TKPWOT
'that': THA
'way.': WAEU/TP-PL
'After': KPA/AF
'having,': SR-G/KW-BG
'for': TPOR
'some': SOPL
'time,': TAOEUPL/KW-BG
'carried': KAERD
'on': OPB
'the': -T
'business': PWEUS
'of': -F
'a': AEU
'messenger,': PHAEPBG/KW-BG
'and': SKP
'gained': TKPWAEUPBD
'thereby': THR-B
'great': TKPWRAET
'wealth,': W*ELT/KW-BG
'he': HE
'went': WEPBT
'home': HOEPL
'to': TO
'his': HEUS
'father,': TPAER/KW-BG
'where': W-R
'it': T
'was': WAS
'impossible': EUPL/POB
'to': TO
'express': EBGS/PRES
'the': -T
'joy': SKWROEU
'they': THE
'were': WR
'all': AUL
'in': TPH
'at': AT
'his': HEUS
'return.': RURPB/TP-PL
'He': KPA/HE
'made': PHAED
'the': -T
'whole': WHOEL
'family': TPAEPL
'very': SRE
'well-to-do,': W*EL/TO*/TKO/KW-BG
'bought': PWAUT
'places': PHRAEUFS
'for': TPOR
'his': HEUS
'father': TPAER
'and': SKP
'brothers;': PWROERS/STPH*FPLT
'and': SKP
'by': PWEU
'that': THA
'means': PHAOEPBS
'settled': SELTD
'them': THEPL
'very': SRE
'handsomely': HAPBD/SOPL/HREU
'in': TPH
'the': -T
'world,': WORLD/KW-BG
'and,': SKP/KW-BG
'in': TPH
'the': -T
'mean': PHAOEPB
'time,': TAOEUPL/KW-BG
'rose': ROEZ
'high': HAOEU
'in': TPH
'the': -T
'King's': KO*EUPBG/AES
'favour.': TPAEU/SROUR/TP-PL
