The Bell
'tree.': TRAOE/TP-PL
'It': KPA/T
'was': WAS
'a': AEU
'wisdom': WEUZ/TKOPL
'owl,': OUL/KW-BG
'which': WEU
'continually': TAEPBL
'knocked': TPHOBGD
'its': EUTS
'head': HED
'against': TKPWEPBS
'the': -T
'tree,': TRAOE/KW-BG
'but': PWUT
'he': HE
'was': WAS
'unable': TPHA*EUBL
'to': TO
'say': SAEU
'with': W
'certainty': SERPBT
'whether': WHR
'its': EUTS
'head': HED
'or': OR
'the': -T
'hollow': HOL/OE
'trunk': TRUPBG
'of': -F
'the': -T
'tree': TRAOE
'was': WAS
'the': -T
'cause': KAUS
'of': -F
'the': -T
'noise.': TPHOEUS/TP-PL
'He': KPA/HE
'was': WAS
'appointed': POEUPBD
'"Bellringer': KW-GS/PW*P/*E/HR*/HR*/R*/-G/*ER
'to': TO
'the': -T
'World,"': KPA/WORLD/KW-BG/KR-GS
'and': SKP
'wrote': WRO
'every': EF
'year': KWRAOER
'a': AEU
'short': SHORT
'dissertation': TKEUS/TAEUGS
'on': OPB
'the': -T
'owl,': OUL/KW-BG
'but': PWUT
'by': PWEU
'this': TH
'means': PHAOEPBS
'people': PAOEPL
'did': TK
'not': TPHOT
'become': PW-BG
'any': TPHEU
'wiser': WAOEUZ/ER
'than': THAPB
'they': THE
'had': H
'been': PW-PB
'before.': PW-FR/TP-PL
'It': KPA/T
'was': WAS
'just': SKWRUFT
'confirmation-day.': K-FRPLGS/H-PB/TKAEU/TP-PL
'The': KPA/-T
'clergyman': KHRERPBLG/PHAPB
'had': H
'delivered': TKHREUFRD
'a': AEU
'beautiful': PWAOUFL
'and': SKP
'touching': TUFPG
'sermon,': SER/PHOPB/KW-BG
'the': -T
'candidates': KAPBD/TKATS
'were': WR
'deeply': TKAO*EPL
'moved': PHOFD
'by': PWEU
'it;': T/STPH*FPLT
'it': T
'was': WAS
'indeed': TPHAOEPBD
'a': AEU
'very': SRE
'important': PORPB
'day': TKAEU
'for': TPOR
'them;': THEPL/STPH*FPLT
'they': THE
'were': WR
'all': AUL
'at': AT
'once': WUPBS
'transformed': TR-FRPLD
'from': TPR
'mere': PHAOER
'children': KHEURPB
'to': TO
'grown-up': TKPWR*UP
'people;': PAOEPL/STPH*FPLT
'the': -T
'childish': KHAOEUL/TKEURB
'soul': SOUL
'was': WAS
'to': TO
'fly': TPHRAOEU
'over,': OEFR/KW-BG
'as': AS
'it': T
'were,': WR/KW-BG
'into': TPHAO
'a': AEU
'more': PHOR
'reasonable': R-PBL
'being.': -BG/TP-PL
'The': KPA/-T
'sun': SUPB
'shone': SHO*EPB
'most': PHOFT
'brightly;': PWRAOEULT/STPH*FPLT
'and': SKP
'the': -T
'sound': SOUPBD
'of': -F
'the': -T
'great': TKPWRAET
'unknown': UPB/TPHOEPB
'bell': PWEL
'was': WAS
'heard': HAERD
'more': PHOR
'distinctly': TKEUS/TEUPBGT/HREU
'than': THAPB
'ever.': -FR/TP-PL
'They': KPA/THE
'had': H
'a': AEU
'mind': PHAOEUPBD
'to': TO
'go': TKPW
'thither,': TH*EURT/KW-BG
'all': AUL
'except': KPEPT
'three.': THRAOE/TP-PL
'One': KPA/WUPB
'of': -F
'them': THEPL
'wished': WEURBD
'to': TO
'go': TKPW
'home': HOEPL
'and': SKP
'try': TREU
'on': OPB
'her': HER
'ball': PWAUL
'dress,': TKRES/KW-BG
'for': TPOR
'this': TH
'very': SRE
'dress': TKRES
'and': SKP
'the': -T
'ball': PWAUL
'were': WR
'the': -T
'cause': KAUS
'of': -F
'her': HER
'being': -BG
'confirmed': K-FRPL/-D
'this': TH
'time,': TAOEUPL/KW-BG
'otherwise': O*ERZ
'she': SHE
'would': WO
'not': TPHOT
'have': SR
'been': PW-PB
'allowed': HRO*UD
'to': TO
'go.': TKPW/TP-PL
'The': KPA/-T
'second,': SEBGD/KW-BG
'a': AEU
'poor': PAOR
'boy,': PWOEURBGS
'had': H
'borrowed': PWO*ERD
'a': AEU
'coat': KOET
'and': SKP
'a': AEU
'pair': PAEUR
'of': -F
'boots': PWAOTS
'from': TPR
'the': -T
'son': SOPB
'of': -F
'his': HEUS
'landlord': HR-LD
'to': TO
'be': -B
'confirmed': K-FRPL/-D
'in,': TPH/KW-BG
'and': SKP
'he': HE
'had': H
'to': TO
'return': RURPB
'them': THEPL
'at': AT
'a': AEU
'certain': SERPB
'time.': TAOEUPL/TP-PL
'The': KPA/-T
'third': THEURD
'said': SED
'that': THA
'he': HE
'never': TPHEFR
'went': WEPBT
'into': TPHAO
'strange': STRAEUPBG
'places': PHRAEUFS
'if': TP
'his': HEUS
'parents': PARPBTS
'were': WR
'not': TPHOT
'with': W
'him;': HEUPL/STPH*FPLT
'he': HE
'had': H
'always': AULS
'been': PW-PB
'a': AEU
'good': TKPWAOD
'child,': KHAOEULD/KW-BG
'and': SKP
'wished': WEURBD
'to': TO
'remain': RAEUPL
'so,': SO/KW-BG
'even': AOEPB
'after': AF
'being': -BG
'confirmed,': K-FRPL/-D/KW-BG
'and': SKP
'they': THE
'ought': OT
'not': TPHOT
'to': TO
'tease': TAOES
'him': HEUPL
'for': TPOR
'this;': TH/STPH*FPLT
'they,': THE/KW-BG
'however,': HOUF/KW-BG
'did': TK
'it': T
'all': AUL
'the': -T
'same.': SAEUPL/TP-PL
'These': KPA/THEZ
'three,': THRAOERBGS
'therefore': TH-FR
'did': TK
'not': TPHOT
'go;': TKPW/STPH*FPLT
'the': -T
'others': OERS
'went': WEPBT
'on.': OPB/TP-PL
'The': KPA/-T
'sun': SUPB
'was': WAS
'shining,': SHAOEUPBG/KW-BG
'the': -T
'birds': PWEURDZ
'were': WR
'singing,': SEUPBG/-G/KW-BG
'and': SKP
'the': -T
'confirmed': K-FRPL/-D
'children': KHEURPB
'sang': SAPBG
'too,': TAO/KW-BG
'holding': HOELGD
'each': AOEFP
'other': OER
'by': PWEU
'the': -T
'hand,': HAPBD/KW-BG
'for': TPOR
'they': THE
'had': H
'no': TPHO
'position': POGS
'yet,': KWRET/KW-BG
'and': SKP
'they': THE
'were': WR
'all': AUL
'equal': KWAL
'in': TPH
'the': -T
'eyes': AO*EUS
'of': -F
'God.': TKPWO*D/TP-PL
'Two': KPA/TWO
'of': -F
'the': -T
'smallest': SPHAUL/EFT
'soon': SAOPB
'became': PWAEUPL
'tired': TAOEURD
'and': SKP
'returned': RURPBD
'to': TO
'the': -T
'town;': TOUPB/STPH*FPLT
'two': TWO
'little': HREUL
'girls': TKPWEURLS
'sat': SAT
'down': TKOUPB
'and': SKP
'made': PHAED
'garlands': TKPWAR/HRAPBDZ
'of': -F
'flowers,': TPHRO*URS/KW-BG
'they,': THE/KW-BG
'therefore,': TH-FR/KW-BG
'did': TK
'not': TPHOT
'go': TKPW
'on.': OPB/TP-PL
'When': KPA/WHEPB
'the': -T
'others': OERS
'arrived': A/RAOEUFD
'at': AT
'the': -T
'willow': WEUL/HROE
'trees,': TRAOES/KW-BG
'where': W-R
'the': -T
'confectioner': KAUPB/TPEBGS/*ER
'had': H
'put': PUT
'up': UP
'his': HEUS
'stall,': STAUL/KW-BG
'they': THE
'said:': SED/STPH-FPLT
'"Now': KW-GS/KPA*/TPHOU
'we': WE
'are': R
'out': OUT
'here;': HAOER/STPH*FPLT
'the': -T
'bell': PWEL
'does': TKOS
'not': TPHOT
'in': TPH
'reality': RAOELT
'exist—it': KPEUFT/EPL/TKA*RB/T
'is': S
'only': OEPBL
'something': S-G
'that': THA
'people': PAOEPL
'imagine!"': PHAPBLG/SKHRAPL/KR-GS
'Then': KPA/THEPB
'suddenly': SULD
'the': -T
'sound': SOUPBD
'of': -F
'the': -T
'bell': PWEL
'was': WAS
'heard': HAERD
'so': SO
'beautifully': PWAOUFL/HREU
'and': SKP
'solemnly': SOL/EPL/HREU
'from': TPR
'the': -T
'wood': WAOD
'that': THA
'four': TPOUR
'or': OR
'five': TPAOEUF
'made': PHAED
'up': UP
'their': THAEUR
'minds': PHAOEUPBDZ
'to': TO
'go': TKPW
'still': STEUL
'further': TPURT
'on.': OPB/TP-PL
'The': KPA/-T
'wood': WAOD
'was': WAS
'very': SRE
'thickly': THEUBG/HREU
'grown.': TKPWROEPB/TP-PL
'It': KPA/T
'was': WAS
'difficult': TKEUFL
'to': TO
'advance:': SRAPBS/STPH-FPLT
'wood': WAOD
'lilies': HREUL/KWREU/-S
'and': SKP
'anemones': A/PHEPB/PHE/-S
'grew': TKPWRAOU
'almost': HR-PL
'too': TAO
'high;': HAOEU/STPH*FPLT
'flowering': TPHROU/ERG
'convolvuli': KAUPB/SR*/O*/HR*/SR*/*U/HR*/SKWREU
'and': SKP
'brambles': PWRAPL/-BLS
'were': WR
'hanging': HAPBG/-G
'like': HRAOEUBG
'garlands': TKPWAR/HRAPBDZ
'from': TPR
'tree': TRAOE
'to': TO
'tree;': TRAOE/STPH*FPLT
'while': WHAOEUL
'the': -T
'nightingales': TPHAOEUT/-G/TKPWAEL/-S
'were': WR
'singing': SEUPBG/-G
'and': SKP
'the': -T
'sunbeams': SUPB/PWAOEPL/-S
'played.': PHRAEUD/TP-PL
'That': KPA/THA
'was': WAS
'very': SRE
'beautiful!': PWAOUFL/SKHRAPL
'But': KPA/PWUT
'the': -T
'way': WAEU
'was': WAS
'unfit': UPB/TPEUT
'for': TPOR
'the': -T
'girls;': TKPWEURLS/STPH*FPLT
'they': THE
'would': WO
'have': SR
'torn': TORPB
'their': THAEUR
'dresses.': TKRES/-S/TP-PL
'Large': KPA/HRARPBLG
'rocks,': ROBGS/KW-BG
'covered': KOFRD
'with': W
'moss': PHOS
'of': -F
'various': SRAEURS
'hues,': HAOU/-S/KW-BG
'were': WR
'lying': HRAOEUG
'about;': PW/STPH*FPLT
'the': -T
'fresh': TPRERB
'spring': SPREUPBG
'water': WAUR
'rippled': REUP/-LD
'forth': TPO*RT
'with': W
'a': AEU
'peculiar': PE/KAOUL/HRAR
'sound.': SOUPBD/TP-PL
'"I': KW-GS/EU
'don't': TKOEPBT
'think': THEU
'that': THA
'can': K
'be': -B
'the': -T
'bell,"': PWEL/KW-BG/KR-GS
'said': SED
'one': WUPB
'of': -F
'the': -T
'confirmed': K-FRPL/-D
'children,': KHEURPB/KW-BG
'and': SKP
'then': THEPB
'he': HE
'lay': HRAEU
'down': TKOUPB
'and': SKP
'listened.': HREUFPBD/TP-PL
'"We': KW-GS/KPA*/WE
'must': PHUFT
'try': TREU
'to': TO
'find': TPAOEUPBD
'out': OUT
'if': TP
'it': T
'is!"': S/SKHRAPL/KR-GS
'And': AFPBD
'there': THR
'he': HE
'remained,': RE/PHAEUPBD/KW-BG
'and': SKP
'let': HRET
'the': -T
'others': OERS
'walk': WAUBG
'on.': OPB/TP-PL
'They': KPA/THE
'came': KAEUPL
'to': TO
'a': AEU
'hut': HUT
'built': PWEULT
'of': -F
'the': -T
'bark': PWARBG
'of': -F
'trees': TRAOES
'and': SKP
'branches;': PWRAFRPBS/STPH*FPLT
'a': AEU
'large': HRARPBLG
'crab-apple': KRAB/H-PB/A*EPL
'tree': TRAOE
'spread': SPRED
'its': EUTS
'branches': PWRAFRPBS
'over': OEFR
'it,': T/KW-BG
'as': AS
'if': TP
'it': T
'intended': SPWEPBD/-D
'to': TO
'pour': POR
'all': AUL
'its': EUTS
'fruit': TPRAOUT
'on': OPB
'the': -T
'roof,': RAOF/KW-BG
'upon': POPB
'which': WEU
'roses': ROES/-S
'were': WR
'blooming;': PWHRAOPL/-G/STPH*FPLT
'the': -T
'long': HROPBG
'boughs': PWO*U/-S
'covered': KOFRD
'the': -T
'gable,': TKPWAEUBL/KW-BG
'where': W-R
'a': AEU
'little': HREUL
'bell': PWEL
'was': WAS
'hanging.': HAPBG/-G/TP-PL
'Was': KPA/WAS
'this': TH
'the': -T
'one': WUPB
'they': THE
'had': H
'heard?': HAERD/H-F
'All': KPA/AUL
'agreed': TKPWRAED
'that': THA
'it': T
'must': PHUFT
'be': -B
'so,': SO/KW-BG
'except': KPEPT
'one': WUPB
'who': WHO
'said': SED
'that': THA
'the': -T
'bell': PWEL
'was': WAS
'too': TAO
'small': SPHAL
'and': SKP
'too': TAO
'thin': THEUPB
'to': TO
'be': -B
'heard': HAERD
'at': AT
'such': SUFP
'a': AEU
'distance,': STKAPBS/KW-BG
'and': SKP
'that': THA
'it': T
'had': H
'quite': KWAOEUT
'a': AEU
'different': TKEUFRT
'sound': SOUPBD
'to': TO
'that': THA
'which': WEU
'had': H
'so': SO
'touched': TUFPD
'men's': PHEPB/AES
'hearts.': HARTS/TP-PL
'He': KPA/HE
'who': WHO
'spoke': SPOEBG
'was': WAS
'a': AEU
'king's': KEUPBG/AES
'son,': SOPB/KW-BG
'and': SKP
'therefore': TH-FR
'the': -T
'others': OERS
'said': SED
'that': THA
'such': SUFP
'a': AEU
'one': WUPB
'always': AULS
'wishes': WEURBS
'to': TO
'be': -B
'cleverer': KHR*EF/RER
'than': THAPB
'other': OER
'people.': PAOEPL/TP-PL
'Therefore': KPA/TH-FR
'they': THE
'let': HRET
'him': HEUPL
'go': TKPW
'alone;': A/HROEPB/STPH*FPLT
'and': SKP
'as': AS
'he': HE
'walked': WAUBGD
'on,': OPB/KW-BG
'the': -T
'solitude': SOL/TAOUD
'of': -F
'the': -T
'wood': WAOD
'produced': PRO*UD
'a': AEU
'feeling': TPAOELG
'of': -F
'reverence': R*EFRPBS
'in': TPH
'his': HEUS
'breast;': PWREFT/STPH*FPLT
'but': PWUT
'still': STEUL
'he': HE
'heard': HAERD
'the': -T
'little': HREUL
'bell': PWEL
'about': PW
'which': WEU
'the': -T
'others': OERS
'rejoiced,': RE/SKWROEUS/-D/KW-BG
'and': SKP
'sometimes,': STAOEUPLS/KW-BG
'when': WHEPB
'the': -T
'wind': WEUPBD
'blew': PWHRAOU
'in': TPH
'that': THA
'direction,': TKREBGS/KW-BG
'he': HE
'could': KO
'hear': HAER
'the': -T
'sounds': SOUPBDZ
'from': TPR
'the': -T
'confectioner's': KAUPB/TPEBGS/*ER/AES
'stall,': STAUL/KW-BG
'where': W-R
'the': -T
'others': OERS
'were': WR
'singing': SEUPBG/-G
'at': AT
'tea.': TAE/TP-PL
'But': KPA/PWUT
'the': -T
'deep': TKAOEP
'sounds': SOUPBDZ
'of': -F
'the': -T
'bell': PWEL
'were': WR
'much': PHUFP
'stronger;': STRORPBG/STPH*FPLT
'soon': SAOPB
'it': T
'seemed': SAOEPLD
'to': TO
'him': HEUPL
'as': AS
'if': TP
'an': APB
'organ': O*RPBG
'played': PHRAEUD
'an': APB
'accompaniment—the': ABG/KPAEPB/*PLT/EPL/TKA*RB/-T
'sound': SOUPBD
'came': KAEUPL
'from': TPR
'the': -T
'left,': HREFT/KW-BG
'from': TPR
'the': -T
'side': SAOEUD
'where': W-R
'the': -T
'heart': HART
'is.': S/TP-PL
'Now': KPA/TPHOU
'something': S-G
'rustled': RUS/-LD
'among': PHOPBG
'the': -T
'bushes,': PWURBS/KW-BG
'and': SKP
'a': AEU
'little': HREUL
'boy': PWOEU
'stood': STAOD
'before': PW-FR
'the': -T
'king's': KEUPBG/AES
'son,': SOPB/KW-BG
'in': TPH
'wooden': WAOD/EPB
'shoes': SHAOUS
'and': SKP
'such': SUFP
'a': AEU
'short': SHORT
'jacket': SKWRABGT
'that': THA
'the': -T
'sleeves': SHRAOEFS
'did': TK
'not': TPHOT
'reach': RAOEFP
'to': TO
'his': HEUS
'wrists.': WREUFTS/TP-PL
'They': KPA/THE
'knew': TPHAOU
'each': AOEFP
'other:': OER/STPH-FPLT
'the': -T
'boy': PWOEU
'was': WAS
'the': -T
'one': WUPB
'who': WHO
'had': H
'not': TPHOT
'been': PW-PB
'able': ABL
'to': TO
'go': TKPW
'with': W
'them': THEPL
'because': PWAU
'he': HE
'had': H
'to': TO
'take': TAEUBG
'the': -T
'coat': KOET
'and': SKP
'boots': PWAOTS
'back': PWABG
'to': TO
'his': HEUS
'landlord's': HR-LD/AES
'son.': SOPB/TP-PL
'That': KPA/THA
'he': HE
'had': H
'done,': TKOPB/KW-BG
'and': SKP
'had': H
'started': STARTD
'again': TKPWEPB
'in': TPH
'his': HEUS
'wooden': WAOD/EPB
'shoes': SHAOUS
'and': SKP
'old': OLD
'clothes,': KHRO*ETS/KW-BG
'for': TPOR
'the': -T
'sound': SOUPBD
'of': -F
'the': -T
'bell': PWEL
'was': WAS
'too': TAO
'enticing—he': EPB/TAOEUS/-G/EPL/TKA*RB/HE
'felt': TPELT
'he': HE
'must': PHUFT
'go': TKPW
'on.': OPB/TP-PL
'"We': KW-GS/KPA*/WE
'might': PHAOEUT
'go': TKPW
'together,"': TOGT/KW-BG/KR-GS
'said': SED
'the': -T
'king's': KEUPBG/AES
'son.': SOPB/TP-PL
'But': KPA/PWUT
'the': -T
'poor': PAOR
'boy': PWOEU
'with': W
'the': -T
'wooden': WAOD/EPB
'shoes': SHAOUS
'was': WAS
'quite': KWAOEUT
'ashamed;': A/SHAEUPLD/STPH*FPLT
'he': HE
'pulled': PULD
'at': AT
'the': -T
'short': SHORT
'sleeves': SHRAOEFS
'of': -F
'his': HEUS
'jacket,': SKWRABGT/KW-BG
'and': SKP
'said': SED
'that': THA
'he': HE
'was': WAS
'afraid': A/TPRAEUD
'he': HE
'could': KO
'not': TPHOT
'walk': WAUBG
'so': SO
'fast;': TPAFT/STPH*FPLT
'besides,': PW-DZ/KW-BG
'he': HE
'was': WAS
'of': -F
'opinion': P-PB
'that': THA
'the': -T
'bell': PWEL
'ought': OT
'to': TO
'be': -B
'sought': SAUT
'at': AT
'the': -T
'right,': RAOEUT/KW-BG
'for': TPOR
'there': THR
'was': WAS
'all': AUL
'that': THA
'was': WAS
'grand': TKPWRAPBD
'and': SKP
'magnificent.': PHAFPBT/TP-PL
'"Then': KW-GS/KPA*/THEPB
'we': WE
'shall': SHAL
'not': TPHOT
'meet,"': PHAOET/KW-BG/KR-GS
'said': SED
'the': -T
'king's': KEUPBG/AES
'son,': SOPB/KW-BG
'nodding': TPHOD/-G
'to': TO
'the': -T
'poor': PAOR
'boy,': PWOEURBGS
'who': WHO
'went': WEPBT
'into': TPHAO
'the': -T
'deepest': TKAOEP/EFT
'part': PART
'of': -F
'the': -T
'wood,': WAOD/KW-BG
'where': W-R
'the': -T
'thorns': THORPB/-S
'tore': TO*R
'his': HEUS
'shabby': SHAB/KWREU
'clothes': KHRO*ETS
'and': SKP
'scratched': SKRAFPD
'his': HEUS
'hands,': HAPBDZ/KW-BG
'face,': TPAEUS/KW-BG
'and': SKP
'feet': TPAOET
'until': TPH-L
'they': THE
'bled.': PWHRED/TP-PL
'The': KPA/-T
'king's': KEUPBG/AES
'son': SOPB
'also': HR-S
'received': SAOEFD
'several': SEFRL
'good': TKPWAOD
'scratches,': SKRAFPS/KW-BG
'but': PWUT
'the': -T
'sun': SUPB
'was': WAS
'shining': SHAOEUPBG
'on': OPB
'his': HEUS
'way,': WAEU/KW-BG
'and': SKP
'it': T
'is': S
'he': HE
'whom': WHOPL
'we': WE
'will': HR
'now': TPHOU
'follow,': TPOL/KW-BG
'for': TPOR
'he': HE
