Anne Lisbeth
'ghosts': TKPWOEFTS
'of': -F
'drowned': TKROUPBD
'but': PWUT
'unburied': UPB/PWUR/KWREUD
'people,': PAOEPL/KW-BG
'whose': WHOZ
'corpses': KORPS/-S
'had': H
'been': PW-PB
'washed': WARBD
'up': UP
'on': OPB
'the': -T
'desolate': TKES/HRAT
'beach.': PWAEFP/TP-PL
'The': KPA/-T
'body,': PWO*ED/KW-BG
'she': SHE
'knew,': TPHAOU/KW-BG
'could': KO
'do': TKO
'no': TPHO
'harm': HARPL
'to': TO
'any': TPHEU
'one,': WUPB/KW-BG
'but': PWUT
'the': -T
'spirit': SPEURT
'could': KO
'pursue': PUR/SAOU
'the': -T
'lonely': HROEPBL
'wanderer,': WAPBD/RER/KW-BG
'attach': A/TAFP
'itself': T/SEFL
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'demand': TKPHAPBD
'to': TO
'be': -B
'carried': KAERD
'to': TO
'the': -T
'churchyard,': KH*URPBLG/KWRARD/KW-BG
'that': THA
'it': T
'might': PHAOEUT
'rest': REFT
'in': TPH
'consecrated': KOPBS/KRAEUT/-D
'ground.': TKPWROUPBD/TP-PL
'"Hold': KW-GS/KPA*/HOLD
'fast!': TPAFT/SKHRAPL
'hold': HOLD
'fast!"': TPAFT/SKHRAPL/KR-GS
'the': -T
'spectre': SPEBG/TER/A*U
'would': WO
'cry;': KRAOEU/STPH*FPLT
'and': SKP
'as': AS
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'murmured': PHUR/PHUR/-D
'these': THEZ
'words': WORDZ
'to': TO
'herself,': H*ERS/KW-BG
'the': -T
'whole': WHOEL
'of': -F
'her': HER
'dream': TKRAOEPL
'was': WAS
'suddenly': SULD
'recalled': -RLD
'to': TO
'her': HER
'memory,': PHOEURPL/KW-BG
'when': WHEPB
'the': -T
'mother': PHOER
'had': H
'clung': KHRUPBG
'to': TO
'her,': HER/KW-BG
'and': SKP
'uttered': UT/ERD
'these': THEZ
'words,': WORDZ/KW-BG
'when,': WHEPB/KW-BG
'amid': A/PHEUD
'the': -T
'crashing': KRARBG
'of': -F
'worlds,': WORLDZ/KW-BG
'her': HER
'sleeve': SHRAOEF
'had': H
'been': PW-PB
'torn,': TORPB/KW-BG
'and': SKP
'she': SHE
'had': H
'slipped': SHREUPD
'from': TPR
'the': -T
'grasp': TKPWRAFP
'of': -F
'her': HER
'child,': KHAOEULD/KW-BG
'who': WHO
'wanted': WAPBTD
'to': TO
'hold': HOLD
'her': HER
'up': UP
'in': TPH
'that': THA
'terrible': TERBL
'hour.': HOUR/TP-PL
'Her': KPA/HER
'child,': KHAOEULD/KW-BG
'her': HER
'own': OEPB
'child,': KHAOEULD/KW-BG
'which': WEU
'she': SHE
'had': H
'never': TPHEFR
'loved,': HROFD/KW-BG
'lay': HRAEU
'now': TPHOU
'buried': PWUR/EUD
'in': TPH
'the': -T
'sea,': SAE/KW-BG
'and': SKP
'might': PHAOEUT
'rise': RAOEUZ
'up,': UP/KW-BG
'like': HRAOEUBG
'a': AEU
'spectre,': SPEBG/TER/A*U/KW-BG
'from': TPR
'the': -T
'waters,': WAURS/KW-BG
'and': SKP
'cry,': KRAOEU/KW-BG
'"Hold': KW-GS/KPA*/HOLD
'fast;': TPAFT/STPH*FPLT
'carry': KAER
'me': PHE
'to': TO
'consecrated': KOPBS/KRAEUT/-D
'ground!"': TKPWROUPBD/SKHRAPL/KR-GS
'As': KPA/AS
'these': THEZ
'thoughts': THAUTS
'passed': PAFD
'through': THRU
'her': HER
'mind,': PHAOEUPBD/KW-BG
'fear': TPAOER
'gave': TKPWAEUF
'speed': SPAOED
'to': TO
'her': HER
'feet,': TPAOET/KW-BG
'so': SO
'that': THA
'she': SHE
'walked': WAUBGD
'faster': TPA*FRT
'and': SKP
'faster.': TPA*FRT/TP-PL
'Fear': KPA/TPAOER
'came': KAEUPL
'upon': POPB
'her': HER
'as': AS
'if': TP
'a': AEU
'cold,': KOELD/KW-BG
'clammy': KHRAPL/PH*EU
'hand': HAPBD
'had': H
'been': PW-PB
'laid': HRAEUD
'upon': POPB
'her': HER
'heart,': HART/KW-BG
'so': SO
'that': THA
'she': SHE
'almost': HR-PL
'fainted.': TPAEUPBT/-D/TP-PL
'As': KPA/AS
'she': SHE
'looked': HRAOBGD
'across': KRAOS
'the': -T
'sea,': SAE/KW-BG
'all': AUL
'there': THR
'grew': TKPWRAOU
'darker;': TKA*ERBG/STPH*FPLT
'a': AEU
'heavy': HOEUF
'mist': PHEUFT
'came': KAEUPL
'rolling': ROLG
'onwards,': OPB/WARDZ/KW-BG
'and': SKP
'clung': KHRUPBG
'to': TO
'bush': PWURB
'and': SKP
'tree,': TRAOE/KW-BG
'distorting': TKEUS/TORGT
'them': THEPL
'into': TPHAO
'fantastic': STPEUBG
'shapes.': SHAEUPS/TP-PL
'She': KPA/SHE
'turned': TURPBD
'and': SKP
'glanced': TKPWHRAPBS/-D
'at': AT
'the': -T
'moon,': PHAOPB/KW-BG
'which': WEU
'had': H
'risen': REUFPB
'behind': HEUPBD
'her.': HER/TP-PL
'It': KPA/T
'looked': HRAOBGD
'like': HRAOEUBG
'a': AEU
'pale,': PAEL/KW-BG
'rayless': RAEU/-LS
'surface,': SUFS/KW-BG
'and': SKP
'a': AEU
'deadly': TKED/HREU
'weight': WAET
'seemed': SAOEPLD
'to': TO
'hang': HAPBG
'upon': POPB
'her': HER
'limbs.': HREUPLS/TP-PL
'"Hold,"': KW-GS/KPA*/HOLD/KW-BG/KR-GS
'thought': THAUT
'she;': SHE/STPH*FPLT
'and': SKP
'then': THEPB
'she': SHE
'turned': TURPBD
'round': ROUPBD
'a': AEU
'second': SEBGD
'time': TAOEUPL
'to': TO
'look': HRAOBG
'at': AT
'the': -T
'moon.': PHAOPB/TP-PL
'A': KPA/AEU
'white': WHAOEUT
'face': TPAEUS
'appeared': A/PAOERD
'quite': KWAOEUT
'close': KHROES
'to': TO
'her,': HER/KW-BG
'with': W
'a': AEU
'mist,': PHEUFT/KW-BG
'hanging': HAPBG/-G
'like': HRAOEUBG
'a': AEU
'garment': TKPWARPLT
'from': TPR
'its': EUTS
'shoulders.': SHOURLDZ/TP-PL
'"Stop!': KW-GS/KPA*/STOP/SKHRAPL
'carry': KAER
'me': PHE
'to': TO
'consecrated': KOPBS/KRAEUT/-D
'earth,"': *ERT/KW-BG/KR-GS
'sounded': SOUPBD/-D
'in': TPH
'her': HER
'ears,': AOERS/KW-BG
'in': TPH
'strange,': STRAEUPBG/KW-BG
'hollow': HOL/OE
'tones.': TOEPBS/TP-PL
'The': KPA/-T
'sound': SOUPBD
'did': TK
'not': TPHOT
'come': KOPL
'from': TPR
'frogs': TPROGS
'or': OR
'ravens;': RA*EUF/-PBS/STPH*FPLT
'she': SHE
'saw': SAU
'no': TPHO
'sign': SAOEUPB
'of': -F
'such': SUFP
'creatures.': KRAOEFPS/TP-PL
'"A': KW-GS/KPA*/AEU
'grave!': TKPWRAEUF/SKHRAPL
'dig': TKEUG
'me': PHE
'a': AEU
'grave!"': TKPWRAEUF/SKHRAPL/KR-GS
'was': WAS
'repeated': RE/PAOETD
'quite': KWAOEUT
'loud.': HROUD/TP-PL
'Yes,': KPA/KWRE/KW-BG
'it': T
'was': WAS
'indeed': TPHAOEPBD
'the': -T
'spectre': SPEBG/TER/A*U
'of': -F
'her': HER
'child.': KHAOEULD/TP-PL
'The': KPA/-T
'child': KHAOEULD
'that': THA
'lay': HRAEU
'beneath': TPHAO*ET
'the': -T
'ocean,': OEGS/KW-BG
'and': SKP
'whose': WHOZ
'spirit': SPEURT
'could': KO
'have': SR
'no': TPHO
'rest': REFT
'until': TPH-L
'it': T
'was': WAS
'carried': KAERD
'to': TO
'the': -T
'churchyard,': KH*URPBLG/KWRARD/KW-BG
'and': SKP
'until': TPH-L
'a': AEU
'grave': TKPWRAEUF
'had': H
'been': PW-PB
'dug': TKUG
'for': TPOR
'it': T
'in': TPH
'consecrated': KOPBS/KRAEUT/-D
'ground.': TKPWROUPBD/TP-PL
'She': KPA/SHE
'would': WO
'go': TKPW
'there': THR
'at': AT
'once,': WUPBS/KW-BG
'and': SKP
'there': THR
'she': SHE
'would': WO
'dig.': TKEUG/TP-PL
'She': KPA/SHE
'turned': TURPBD
'in': TPH
'the': -T
'direction': TKREBGS
'of': -F
'the': -T
'church,': KHUFRPB/KW-BG
'and': SKP
'the': -T
'weight': WAET
'on': OPB
'her': HER
'heart': HART
'seemed': SAOEPLD
'to': TO
'grow': TKPWROE
'lighter,': HRAOEURT/KW-BG
'and': SKP
'even': AOEPB
'to': TO
'vanish': SRAPB/EURB
'altogether;': HR-GT/STPH*FPLT
'but': PWUT
'when': WHEPB
'she': SHE
'turned': TURPBD
'to': TO
'go': TKPW
'home': HOEPL
'by': PWEU
'the': -T
'shortest': SHORT/EFT
'way,': WAEU/KW-BG
'it': T
'returned.': RURPBD/TP-PL
'"Stop!': KW-GS/KPA*/STOP/SKHRAPL
'stop!"': STOP/SKHRAPL/KR-GS
'and': SKP
'the': -T
'words': WORDZ
'came': KAEUPL
'quite': KWAOEUT
'clear,': KHRAOER/KW-BG
'though': THOE
'they': THE
'were': WR
'like': HRAOEUBG
'the': -T
'croak': KROEBG
'of': -F
'a': AEU
'frog,': TPROG/KW-BG
'or': OR
'the': -T
'wail': WAEUL
'of': -F
'a': AEU
'bird.': PWEURD/TP-PL
'"A': KW-GS/KPA*/AEU
'grave!': TKPWRAEUF/SKHRAPL
'dig': TKEUG
'me': PHE
'a': AEU
'grave!"': TKPWRAEUF/SKHRAPL/KR-GS
'The': KPA/-T
'mist': PHEUFT
'was': WAS
'cold': KOELD
'and': SKP
'damp,': TKAFRP/KW-BG
'her': HER
'hands': HAPBDZ
'and': SKP
'face': TPAEUS
'were': WR
'moist': PHOEUFT
'and': SKP
'clammy': KHRAPL/PH*EU
'with': W
'horror,': HOR/O*R/KW-BG
'a': AEU
'heavy': HOEUF
'weight': WAET
'again': TKPWEPB
'seized': SAOEZ/-D
'her': HER
'and': SKP
'clung': KHRUPBG
'to': TO
'her,': HER/KW-BG
'her': HER
'mind': PHAOEUPBD
'became': PWAEUPL
'clear': KHRAOER
'for': TPOR
'thoughts': THAUTS
'that': THA
'had': H
'never': TPHEFR
'before': PW-FR
'been': PW-PB
'there.': THR/TP-PL
'In': KPA/TPH
'these': THEZ
'northern': TPHOERPB
'regions,': RAOE/SKWROPBS/KW-BG
'a': AEU
'beech-wood': PWAOEFP/H-PB/WAOD
'often': OFPB
'buds': PWUDZ
'in': TPH
'a': AEU
'single': SEUPBLG
'night': TPHAOEUT
'and': SKP
'appears': A/PAOERS
'in': TPH
'the': -T
'morning': PHORPBG
'sunlight': SULGT
'in': TPH
'its': EUTS
'full': TPUL
'glory': TKPWHROER
'of': -F
'youthful': KWRAO*UT/-FL
'green.': TKPWRAOEPB/TP-PL
'So,': KPA/SO/KW-BG
'in': TPH
'a': AEU
'single': SEUPBLG
'instant,': STPHAPBT/KW-BG
'can': K
'the': -T
'consciousness': KOPBS/-PBS
'of': -F
'the': -T
'sin': SEUPB
'that': THA
'has': HAS
'been': PW-PB
'committed': KPHEUTD
'in': TPH
'thoughts,': THAUTS/KW-BG
'words,': WORDZ/KW-BG
'and': SKP
'actions': -BGSZ
'of': -F
'our': OUR
'past': PAFT
'life,': HRAOEUF/KW-BG
'be': -B
'unfolded': UPB/TPOELD/-D
'to': TO
'us.': US/TP-PL
'When': KPA/WHEPB
'once': WUPBS
'the': -T
'conscience': KAUPBGS
'is': S
'awakened,': A/WAEUBG/-PBD/KW-BG
'it': T
'springs': SPREUPBGS
'up': UP
'in': TPH
'the': -T
'heart': HART
'spontaneously,': SPAEUPBLS/KW-BG
'and': SKP
'God': TKPWO*D
'awakens': A/WA*EUPB/-S
'the': -T
'conscience': KAUPBGS
'when': WHEPB
'we': WE
'least': HRAOEFT
'expect': KP-PT
'it.': T/TP-PL
'Then': KPA/THEPB
'we': WE
'can': K
'find': TPAOEUPBD
'no': TPHO
'excuse': SKAOUS
'for': TPOR
'ourselves;': O*URSZ/STPH*FPLT
'the': -T
'deed': TKAOED
'is': S
'there': THR
'and': SKP
'bears': PWAERS
'witness': W-PBS
'against': TKPWEPBS
'us.': US/TP-PL
'The': KPA/-T
'thoughts': THAUTS
'seem': SAOEPL
'to': TO
'become': PW-BG
'words,': WORDZ/KW-BG
'and': SKP
'to': TO
'sound': SOUPBD
'far': TPAR
'out': OUT
'into': TPHAO
'the': -T
'world.': WORLD/TP-PL
'We': KPA/WE
'are': R
'horrified': HOR/TPAOEUD
'at': AT
'the': -T
'thought': THAUT
'of': -F
'what': WHA
'we': WE
'have': SR
'carried': KAERD
'within': W-PB
'us,': US/KW-BG
'and': SKP
'at': AT
'the': -T
'consciousness': KOPBS/-PBS
'that': THA
'we': WE
'have': SR
'not': TPHOT
'overcome': AUFR/KOPL
'the': -T
'evil': AOEFL
'which': WEU
'has': HAS
'its': EUTS
'origin': O*RPBLG
'in': TPH
'thoughtlessness': THAUT/-LS/-PBS
'and': SKP
'pride.': PRAOEUD/TP-PL
'The': KPA/-T
'heart': HART
'conceals': KAUPB/SAOEL/-S
'within': W-PB
'itself': T/SEFL
'the': -T
'vices': SRAOEUS/-S
'as': AS
'well': WEL
'as': AS
'the': -T
'virtues,': SREUR/TAOUS/KW-BG
'and': SKP
'they': THE
'grow': TKPWROE
'in': TPH
'the': -T
'shallowest': SHOEUL/EFT
'ground.': TKPWROUPBD/TP-PL
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'now': TPHOU
'experienced': SPAOERPBD
'in': TPH
'thought': THAUT
'what': WHA
'we': WE
'have': SR
'clothed': KHRO*T/-D
'in': TPH
'words.': WORDZ/TP-PL
'She': KPA/SHE
'was': WAS
'overpowered': AUFR/POURD
'by': PWEU
'them,': THEPL/KW-BG
'and': SKP
'sank': SA*PBG
'down': TKOUPB
'and': SKP
'crept': KREPT
'along': HRAOPBG
'for': TPOR
'some': SOPL
'distance': STKAPBS
'on': OPB
'the': -T
'ground.': TKPWROUPBD/TP-PL
'"A': KW-GS/KPA*/AEU
'grave!': TKPWRAEUF/SKHRAPL
'dig': TKEUG
'me': PHE
'a': AEU
'grave!"': TKPWRAEUF/SKHRAPL/KR-GS
'sounded': SOUPBD/-D
'again': TKPWEPB
'in': TPH
'her': HER
'ears,': AOERS/KW-BG
'and': SKP
'she': SHE
'would': WO
'have': SR
'gladly': TKPWHRAD/HREU
'buried': PWUR/EUD
'herself,': H*ERS/KW-BG
'if': TP
'in': TPH
'the': -T
'grave': TKPWRAEUF
'she': SHE
'could': KO
'have': SR
'found': TPOUPBD
'forgetfulness': TPERGT/-FL/-PBS
'of': -F
'her': HER
'actions.': -BGSZ/TP-PL
'It': KPA/T
'was': WAS
'the': -T
'first': TPEUFRT
'hour': HOUR
'of': -F
'her': HER
'awakening,': A/WAEUBG/EPBG/KW-BG
'full': TPUL
'of': -F
'anguish': APBG/WEURB
'and': SKP
'horror.': HOR/O*R/TP-PL
'Superstition': KPA/SAOUP/STEUGS
'made': PHAED
'her': HER
'alternately': ALT/TPHAT/HREU
'shudder': SHUD/ER
'with': W
'cold': KOELD
'or': OR
'burn': PWURPB
'with': W
'the': -T
'heat': HAOET
'of': -F
'fever.': TPAOEF/TP-PL
'Many': KPA/PHAEPB
'things,': THEUPBGS/KW-BG
'of': -F
'which': WEU
'she': SHE
'had': H
'feared': TPAOERD
'even': AOEPB
'to': TO
'speak,': SPAOEBG/KW-BG
'came': KAEUPL
'into': TPHAO
'her': HER
'mind.': PHAOEUPBD/TP-PL
'Silently,': KPA/SHREPBLT/KW-BG
'as': AS
'the': -T
'cloud-shadows': KHROUD/H-PB/SHO*EUDZ
'in': TPH
'the': -T
'moonshine,': PHAOPB/SHAO*EUPB/KW-BG
'a': AEU
'spectral': SPEBG/TRAL
'apparition': AP/REUGS
'flitted': TP*/HR*/*EU/T*/T*/-D
'by': PWEU
'her;': HER/STPH*FPLT
'she': SHE
'had': H
'heard': HAERD
'of': -F
'it': T
'before.': PW-FR/TP-PL
'Close': KPA/KHROES
'by': PWEU
'her': HER
'galloped': TKPWAL/OP/-D
'four': TPOUR
'snorting': STPHORT/-G
'steeds,': STAOEDZ/KW-BG
'with': W
'fire': TPAOEUR
'flashing': TPHRARBG
'from': TPR
'their': THAEUR
'eyes': AO*EUS
'and': SKP
'nostrils.': TPHOS/TREULS/TP-PL
'They': KPA/THE
'dragged': TKRAGD
'a': AEU
'burning': PWURPBG
'coach,': KOEFP/KW-BG
'and': SKP
'within': W-PB
'it': T
'sat': SAT
'the': -T
'wicked': WEUBGD
'lord': HRORD
'of': -F
'the': -T
'manor,': PHAPB/O*R/KW-BG
'who': WHO
'had': H
'ruled': RAOULD
'there': THR
'a': AEU
'hundred': HUPBD
'years': KWRAOERS
'before.': PW-FR/TP-PL
'The': KPA/-T
'legend': HREGD
'says': SEZ
'that': THA
'every': EF
'night,': TPHAOEUT/KW-BG
'at': AT
'twelve': TWEFL
'o'clock,': KHRO*BG/KW-BG
'he': HE
'drove': TKROEF
'into': TPHAO
'his': HEUS
'castleyard': KAFL/KWREU/KWRA/R*D
'and': SKP
'out': OUT
'again.': TKPWEPB/TP-PL
'He': KPA/HE
'was': WAS
'not': TPHOT
'as': AS
'pale': PAEL
'as': AS
'dead': TKED
'men': PHEPB
'are,': R-RBGS
'but': PWUT
'black': PWHRABG
'as': AS
'a': AEU
'coal.': KOEL/TP-PL
'He': KPA/HE
'nodded,': TPHOD/-D/KW-BG
'and': SKP
'pointed': POEUPBTD
'to': TO
'Anne': A*EPB
'Lisbeth,': HR*P/*EU/S*/PW*/*ET/KW-BG
'crying': KRAOEUG
'out,': OUT/KW-BG
'"Hold': KW-GS/KPA*/HOLD
'fast!': TPAFT/SKHRAPL
'hold': HOLD
'fast!': TPAFT/SKHRAPL
'and': SKP
'then': THEPB
'you': U
'may': PHAEU
'ride': RAOEUD
'again': TKPWEPB
'in': TPH
'a': AEU
'nobleman's': TPHOEBL/PHA*PB/AES
'carriage,': KAEURPBLG/KW-BG
'and': SKP
'forget': TPORGT
'your': KWROUR
'child."': KHAOEULD/TP-PL/KR-GS
'She': KPA/SHE
'gathered': TKPWAERD
'herself': H*ERS
'up,': UP/KW-BG
'and': SKP
'hastened': HAEUS/-PBD
'to': TO
'the': -T
'churchyard;': KH*URPBLG/KWRARD/STPH*FPLT
'but': PWUT
'black': PWHRABG
'crosses': KROFS
'and': SKP
'black': PWHRABG
'ravens': RA*EUF/-PBS
'danced': TKAPBS/-D
'before': PW-FR
'her': HER
'eyes,': AO*EUS/KW-BG
'and': SKP
'she': SHE
'could': KO
'not': TPHOT
'distinguish': TKWEURB
'one': WUPB
'from': TPR
'the': -T
'other.': OER/TP-PL
'The': KPA/-T
'ravens': RA*EUF/-PBS
'croaked': KROEBG/-D
'as': AS
'the': -T
'raven': RAFPB
'had': H
'done': TKOPB
'which': WEU
'she': SHE
'saw': SAU
'in': TPH
'the': -T
'daytime,': TKAEUPLT/KW-BG
'but': PWUT
'now': TPHOU
'she': SHE
'understood': *URPBD
'what': WHA
'they': THE
'said.': SED/TP-PL
'"I': KW-GS/EU
'am': APL
'the': -T
'raven-mother;': RAFPB/H-PB/PHOER/STPH*FPLT
'I': EU
'am': APL
'the': -T
'raven-mother,"': RAFPB/H-PB/PHOER/KW-BG/KR-GS
'each': AOEFP
'raven': RAFPB
'croaked,': KROEBG/-D/KW-BG
'and': SKP
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'felt': TPELT
'that': THA
'the': -T
'name': TPHAEUPL
'also': HR-S
'applied': A/PHRAOEUD
'to': TO
'her;': HER/STPH*FPLT
'and': SKP
'she': SHE
'fancied': TPAPB/SEU/-D
'she': SHE
'should': SHO
'be': -B
'transformed': TR-FRPLD
'into': TPHAO
'a': AEU
'black': PWHRABG
'bird,': PWEURD/KW-BG
'and': SKP
'have': SR
'to': TO
'cry': KRAOEU
'as': AS
'they': THE
'cried,': KRAOEUD/KW-BG
'if': TP
'she': SHE
'did': TK
'not': TPHOT
'dig': TKEUG
'the': -T
'grave.': TKPWRAEUF/TP-PL
'And': AFPBD
'she': SHE
'threw': THRAOU
'herself': H*ERS
'upon': POPB
'the': -T
'earth,': *ERT/KW-BG
'and': SKP
'with': W
'her': HER
'hands': HAPBDZ
'dug': TKUG
'a': AEU
'grave': TKPWRAEUF
'in': TPH
'the': -T
'hard': HARD
'ground,': TKPWROUPBD/KW-BG
'so': SO
'that': THA
'the': -T
'blood': PWHRAOD
'ran': RAPB
'from': TPR
'her': HER
'fingers.': TPEURPBGS/TP-PL
'"A': KW-GS/KPA*/AEU
'grave!': TKPWRAEUF/SKHRAPL
'dig': TKEUG
'me': PHE
'a': AEU
'grave!"': TKPWRAEUF/SKHRAPL/KR-GS
'still': STEUL
'sounded': SOUPBD/-D
'in': TPH
'her': HER
'ears;': AOERS/STPH*FPLT
'she': SHE
'was': WAS
'fearful': TPAOER/-FL
'that': THA
'the': -T
'cock': KOBG
'might': PHAOEUT
'crow,': KROE/KW-BG
'and': SKP
'the': -T
'first': TPEUFRT
'red': RED
'streak': STRAOEBG
'appear': A/PAOER
'in': TPH
'the': -T
'east,': AOEFT/KW-BG
'before': PW-FR
'she': SHE
'had': H
'finished': TP*EURBD
'her': HER
'work;': WORBG/STPH*FPLT
'and': SKP
'then': THEPB
'she': SHE
'would': WO
'be': -B
'lost.': HRO*S/TP-PL
'And': AFPBD
'the': -T
'cock': KOBG
'crowed,': KROE/-D/KW-BG
'and': SKP
'the': -T
'day': TKAEU
'dawned': TKAUPBD
'in': TPH
'the': -T
'east,': AOEFT/KW-BG
'and': SKP
'the': -T
'grave': TKPWRAEUF
'was': WAS
'only': OEPBL
'half': HAF
'dug.': TKUG/TP-PL
'An': KPA/APB
'icy': AOEU/SEU
'hand': HAPBD
'passed': PAFD
'over': OEFR
'her': HER
'head': HED
'and': SKP
'face,': TPAEUS/KW-BG
'and': SKP
'down': TKOUPB
'towards': TORDZ
'her': HER
'heart.': HART/TP-PL
'"Only': KW-GS/KPA*/OEPBL
'half': HAF
'a': AEU
'grave,"': TKPWRAEUF/KW-BG/KR-GS
'a': AEU
'voice': SROEUS
'wailed,': WAEUL/-D/KW-BG
'and': SKP
'fled': TPHRED
'away.': WA*EU/TP-PL
'Yes,': KPA/KWRE/KW-BG
'it': T
'fled': TPHRED
'away': WA*EU
'over': OEFR
'the': -T
'sea;': SAE/STPH*FPLT
'it': T
'was': WAS
'the': -T
'ocean': OEGS
'spectre;': SPEBG/TER/A*U/STPH*FPLT
'and,': SKP/KW-BG
'exhausted': KPAUFTD
'and': SKP
'overpowered,': AUFR/POURD/KW-BG
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'sunk': S*UPBG
'to': TO
'the': -T
'ground,': TKPWROUPBD/KW-BG
'and': SKP
'her': HER
'senses': SEPBSZ
'left': HREFT
'her.': HER/TP-PL
'It': KPA/T
'was': WAS
'a': AEU
'bright': PWRAOEUT
'day': TKAEU
'when': WHEPB
'she': SHE
'came': KAEUPL
'to': TO
'herself,': H*ERS/KW-BG
'and': SKP
'two': TWO
'men': PHEPB
'were': WR
'raising': RA*EUFG
'her': HER
'up;': UP/STPH*FPLT
'but': PWUT
'she': SHE
'was': WAS
'not': TPHOT
'lying': HRAOEUG
'in': TPH
'the': -T
'churchyard,': KH*URPBLG/KWRARD/KW-BG
'but': PWUT
'on': OPB
'the': -T
'sea-shore,': SAE/H-PB/SHOR/KW-BG
'where': W-R
'she': SHE
'had': H
'dug': TKUG
'a': AEU
'deep': TKAOEP
'hole': HOEL
'in': TPH
'the': -T
'sand,': SAPBD/KW-BG
'and': SKP
'cut': KUT
'her': HER
'hand': HAPBD
'with': W
'a': AEU
'piece': PAOES
'of': -F
'broken': PWROEPB
'glass,': TKPWHRARBGS
'whose': WHOZ
'sharp': SHARP
'stern': STERPB
'was': WAS
'stuck': STUBG
'in': TPH
'a': AEU
'little': HREUL
'block': PWHROBG
'of': -F
'painted': PAEUPBTD
'wood.': WAOD/TP-PL
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'was': WAS
'in': TPH
'a': AEU
'fever.': TPAOEF/TP-PL
'Conscience': KPA/KAUPBGS
'had': H
'roused': ROUZ/-D
'the': -T
'memories': PHOEURPLS
'of': -F
'superstitions,': SAOUP/STEUGS/-S/KW-BG
'and': SKP
'had': H
'so': SO
'acted': ABGD
'upon': POPB
'her': HER
'mind,': PHAOEUPBD/KW-BG
'that': THA
'she': SHE
'fancied': TPAPB/SEU/-D
'she': SHE
'had': H
'only': OEPBL
'half': HAF
'a': AEU
'soul,': SOUL/KW-BG
'and': SKP
'that': THA
'her': HER
'child': KHAOEULD
'had': H
'taken': TAEPB
'the': -T
'other': OER
'half': HAF
'down': TKOUPB
'into': TPHAO
'the': -T
'sea.': SAE/TP-PL
'Never': KPA/TPHEFR
'would': WO
'she': SHE
'be': -B
'able': ABL
'to': TO
'cling': KHREUPBG
'to': TO
'the': -T
'mercy': PHER/SEU
'of': -F
'Heaven': KPA/HEFPB
'till': TEUL
'she': SHE
'had': H
'recovered': ROFRD
'this': TH
'other': OER
'half': HAF
'which': WEU
'was': WAS
'now': TPHOU
'held': HELD
'fast': TPAFT
'in': TPH
'the': -T
'deep': TKAOEP
'water.': WAUR/TP-PL
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'returned': RURPBD
'to': TO
'her': HER
'home,': HOEPL/KW-BG
'but': PWUT
'she': SHE
'was': WAS
'no': TPHO
'longer': HRORPBG
'the': -T
'woman': WOPL
'she': SHE
'had': H
'been.': PW-PB/TP-PL
'Her': KPA/HER
'thoughts': THAUTS
'were': WR
'like': HRAOEUBG
'a': AEU
'confused,': KAOUFD/KW-BG
'tangled': TAPBG/-LD
'skein;': SKAEUPB/STPH*FPLT
'only': OEPBL
'one': WUPB
'thread,': THRED/KW-BG
'only': OEPBL
'one': WUPB
'thought': THAUT
'was': WAS
'clear': KHRAOER
'to': TO
'her,': HER/KW-BG
'namely': TPHAEUPL/HREU
'that': THA
'she': SHE
'must': PHUFT
'carry': KAER
'the': -T
'spectre': SPEBG/TER/A*U
'of': -F
'the': -T
'sea-shore': SAE/H-PB/SHOR
'to': TO
'the': -T
'churchyard,': KH*URPBLG/KWRARD/KW-BG
'and': SKP
'dig': TKEUG
'a': AEU
'grave': TKPWRAEUF
'for': TPOR
'him': HEUPL
'there;': THR/STPH*FPLT
'that': THA
'by': PWEU
'so': SO
'doing': TK*G
'she': SHE
'might': PHAOEUT
'win': WEUPB
'back': PWABG
'her': HER
'soul.': SOUL/TP-PL
'Many': KPA/PHAEPB
'a': AEU
'night': TPHAOEUT
'she': SHE
'was': WAS
'missed': PHEUFD
'from': TPR
'her': HER
'home,': HOEPL/KW-BG
'and': SKP
'was': WAS
'always': AULS
'found': TPOUPBD
'on': OPB
'the': -T
'sea-shore': SAE/H-PB/SHOR
'waiting': WAEUGT
'for': TPOR
'the': -T
'spectre.': SPEBG/TER/A*U/TP-PL
'In': KPA/TPH
'this': TH
'way': WAEU
'a': AEU
'whole': WHOEL
'year': KWRAOER
'passed;': PAFD/STPH*FPLT
'and': SKP
'then': THEPB
'one': WUPB
'night': TPHAOEUT
'she': SHE
'vanished': SRAPB/EURBD
'again,': STKPWERPBGS
'and': SKP
'was': WAS
'not': TPHOT
'to': TO
'be': -B
'found.': TPOUPBD/TP-PL
'The': KPA/-T
'whole': WHOEL
'of': -F
'the': -T
'next': TPHEGT
'day': TKAEU
'was': WAS
'spent': SPEPBT
'in': TPH
'a': AEU
