The Nightingale
'dead,': TKED/KW-BG
'and': SKP
'every': EF
'one': WUPB
'ran': RAPB
'away': WA*EU
'to': TO
'pay': PAEU
'homage': OPL/APBLG
'to': TO
'his': HEUS
'successor.': SUBG/SES/SOR/TP-PL
'The': KPA/-T
'chamberlains': KHAEURPL/TK-LS/HRAEUPB/-S
'went': WEPBT
'out': OUT
'to': TO
'have': SR
'a': AEU
'talk': TAUBG
'on': OPB
'the': -T
'matter,': PHAERT/KW-BG
'and': SKP
'the': -T
'ladies'-maids': HRAEUDZ/AE/H-PB/PHAEUDZ
'invited': EUPB/SRAOEUTD
'company': K-P
'to': TO
'take': TAEUBG
'coffee.': KOEF/TP-PL
'Cloth': KPA/KHRO*T
'had': H
'been': PW-PB
'laid': HRAEUD
'down': TKOUPB
'on': OPB
'the': -T
'halls': HAULS
'and': SKP
'passages,': PA*PBLGS/KW-BG
'so': SO
'that': THA
'not': TPHOT
'a': AEU
'footstep': TPAOT/STEP
'should': SHO
'be': -B
'heard,': HAERD/KW-BG
'and': SKP
'all': AUL
'was': WAS
'silent': SHREPBT
'and': SKP
'still.': STEUL/TP-PL
'But': KPA/PWUT
'the': -T
'emperor': EPL/ROR
'was': WAS
'not': TPHOT
'yet': KWRET
'dead,': TKED/KW-BG
'although': HR*T
'he': HE
'lay': HRAEU
'white': WHAOEUT
'and': SKP
'stiff': STEUF
'on': OPB
'his': HEUS
'gorgeous': TKPWORBS
'bed,': PWED/KW-BG
'with': W
'the': -T
'long': HROPBG
'velvet': SREL/SRET
'curtains': KUR/TEUPBS
'and': SKP
'heavy': HOEUF
'gold': TKPWOELD
'tassels.': TAFL/-S/TP-PL
'A': KPA/AEU
'window': WOEUPBD
'stood': STAOD
'open,': OEP/KW-BG
'and': SKP
'the': -T
'moon': PHAOPB
'shone': SHO*EPB
'in': TPH
'upon': POPB
'the': -T
'emperor': EPL/ROR
'and': SKP
'the': -T
'artificial': TPHR*EURBL
'bird.': PWEURD/TP-PL
'The': KPA/-T
'poor': PAOR
'emperor,': EPL/ROR/KW-BG
'finding': TPAOEUPBGD
'he': HE
'could': KO
'scarcely': SKAEURS/HREU
'breathe': PWRAO*ET
'with': W
'a': AEU
'strange': STRAEUPBG
'weight': WAET
'on': OPB
'his': HEUS
'chest,': KHEFT/KW-BG
'opened': OEPD
'his': HEUS
'eyes,': AO*EUS/KW-BG
'and': SKP
'saw': SAU
'Death': KPA/TK*T
'sitting': SEUGT
'there.': THR/TP-PL
'He': KPA/HE
'had': H
'put': PUT
'on': OPB
'the': -T
'emperor's': EPL/ROR/AES
'golden': TKPWOELD/*EPB
'crown,': KROUPB/KW-BG
'and': SKP
'held': HELD
'in': TPH
'one': WUPB
'hand': HAPBD
'his': HEUS
'sword': SWORD
'of': -F
'state,': STAEUT/KW-BG
'and': SKP
'in': TPH
'the': -T
'other': OER
'his': HEUS
'beautiful': PWAOUFL
'banner.': PWAERPB/TP-PL
'All': KPA/AUL
'around': ARPBD
'the': -T
'bed': PWED
'and': SKP
'peeping': PAOEPG
'through': THRU
'the': -T
'long': HROPBG
'velvet': SREL/SRET
'curtains,': KUR/TEUPBS/KW-BG
'were': WR
'a': AEU
'number': TPHUPL
'of': -F
'strange': STRAEUPBG
'heads,': HEDZ/KW-BG
'some': SOPL
'very': SRE
'ugly,': ULG/KW-BG
'and': SKP
'others': OERS
'lovely': HROFL
'and': SKP
'gentle-looking.': SKWR*EPBLT/H-PB/HRAOG/TP-PL
'These': KPA/THEZ
'were': WR
'the': -T
'emperor's': EPL/ROR/AES
'good': TKPWAOD
'and': SKP
'bad': PWAD
'deeds,': TKAOEDZ/KW-BG
'which': WEU
'stared': STAERD
'him': HEUPL
'in': TPH
'the': -T
'face': TPAEUS
'now': TPHOU
'Death': KPA/TK*T
'sat': SAT
'at': AT
'his': HEUS
'heart.': HART/TP-PL
'"Do': KW-GS/KPA*/TKO
'you': U
'remember': RER
'this?"': TH/H-F/KR-GS
'"Do': KW-GS/KPA*/TKO
'you': U
'recollect': REBGT
'that?"': THA/H-F/KR-GS
'they': THE
'asked': SK-D
'one': WUPB
'after': AF
'another,': TPHOER/KW-BG
'thus': THUS
'bringing': PWREUG
'to': TO
'his': HEUS
'remembrance': RERPBS
'circumstances': SEURBGS
'that': THA
'made': PHAED
'the': -T
'perspiration': PER/SPRAEUGS
'stand': STAPBD
'on': OPB
'his': HEUS
'brow.': PWROU/TP-PL
'"I': KW-GS/EU
'know': TPHOE
'nothing': TPHOG
'about': PW
'it,"': T/KW-BG/KR-GS
'said': SED
'the': -T
'emperor.': EPL/ROR/TP-PL
'"Music!': KW-GS/KPA*/PHAOUFBG/SKHRAPL
'music!"': PHAOUFBG/SKHRAPL/KR-GS
'he': HE
'cried;': KRAOEUD/STPH*FPLT
'"the': KW-GS/-T
'large': HRARPBLG
'Chinese': KHAOEUPBZ
'drum!': TKRUPL/SKHRAPL
'that': THA
'I': EU
'may': PHAE
'not': TPHOT
'hear': HAER
'what': WHA
'they': THE
'say."': SAEU/TP-PL/KR-GS
'But': KPA/PWUT
'they': THE
'still': STEUL
'went': WEPBT
'on,': OPB/KW-BG
'and': SKP
'Death': KPA/TK*T
'nodded': TPHOD/-D
'like': HRAOEUBG
'a': AEU
'Chinaman': KWHRAOEUPB/PHA*PB
'to': TO
'all': AUL
'they': THE
'said.': SED/TP-PL
'"Music!': KW-GS/KPA*/PHAOUFBG/SKHRAPL
'music!"': PHAOUFBG/SKHRAPL/KR-GS
'shouted': SHOUT/-D
'the': -T
'emperor.': EPL/ROR/TP-PL
'"You': KW-GS/KPA*/U
'little': HREUL
'precious': PRERBS
'golden': TKPWOELD/*EPB
'bird,': PWEURD/KW-BG
'sing,': SEUPBG/KW-BG
'pray': PRAEU
'sing!': SEUPBG/SKHRAPL
'I': EU
'have': SR
'given': TKPWEUFPB
'you': U
'gold': TKPWOELD
'and': SKP
'costly': KOFT/HREU
'presents;': PREPBTS/STPH*FPLT
'I': EU
'have': SR
'even': AOEPB
'hung': HUPBG
'my': PHEU
'golden': TKPWOELD/*EPB
'slipper': SHREUP/ER
'round': ROUPBD
'your': KWROUR
'neck.': TPHEBG/TP-PL
'Sing!': KPA/SEUPBG/SKHRAPL
'sing!"': SEUPBG/SKHRAPL/KR-GS
'But': KPA/PWUT
'the': -T
'bird': PWEURD
'remained': RE/PHAEUPBD
'silent.': SHREPBT/TP-PL
'There': KPA/THR
'was': WAS
'no': TPHO
'one': WUPB
'to': TO
'wind': WEUPBD
'it': T
'up,': UP/KW-BG
'and': SKP
'therefore': TH-FR
'it': T
'could': KO
'not': TPHOT
'sing': SEUPBG
'a': AEU
'note.': TPHOET/TP-PL
'Death': KPA/TK*T
'continued': T-PBD
'to': TO
'stare': STAER
'at': AT
'the': -T
'emperor': EPL/ROR
'with': W
'his': HEUS
'cold,': KOELD/KW-BG
'hollow': HOL/OE
'eyes,': AO*EUS/KW-BG
'and': SKP
'the': -T
'room': RAOPL
'was': WAS
'fearfully': TPAOER/TPHREU
'still.': STEUL/TP-PL
'Suddenly': KPA/SULD
'there': THR
'came': KAEUPL
'through': THRU
'the': -T
'open': OEP
'window': WOEUPBD
'the': -T
'sound': SOUPBD
'of': -F
'sweet': SWAOET
'music.': PHAOUFBG/TP-PL
'Outside,': KPA/OUDZ/KW-BG
'on': OPB
'the': -T
'bough': PWO*U
'of': -F
'a': AEU
'tree,': TRAOE/KW-BG
'sat': SAT
'the': -T
'living': HREUFG
'nightingale.': TPHAOEUT/-G/TKPWAEL/TP-PL
'She': KPA/SHE
'had': H
'heard': HAERD
'of': -F
'the': -T
'emperor's': EPL/ROR/AES
'illness,': HR*PBS/KW-BG
'and': SKP
'was': WAS
'therefore': TH-FR
'come': KOPL
'to': TO
'sing': SEUPBG
'to': TO
'him': HEUPL
'of': -F
'hope': HOEP
'and': SKP
'trust.': TRUFT/TP-PL
'And': AFPBD
'as': AS
'she': SHE
'sung,': SUPBG/KW-BG
'the': -T
'shadows': SHO*EUDZ
'grew': TKPWRAOU
'paler': PAL/*ER
'and': SKP
'paler;': PAL/*ER/STPH*FPLT
'the': -T
'blood': PWHRAOD
'in': TPH
'the': -T
'emperor's': EPL/ROR/AES
'veins': SRAEUPBS
'flowed': TPHROED
'more': PHOR
'rapidly,': RAEPLD/KW-BG
'and': SKP
'gave': TKPWAEUF
'life': HRAOEUF
'to': TO
'his': HEUS
'weak': WAEBG
'limbs;': HREUPLS/STPH*FPLT
'and': SKP
'even': AOEPB
'Death': KPA/TK*T
'himself': HEUPLS
'listened,': HREUFPBD/KW-BG
'and': SKP
'said,': SED/KW-BG
'"Go': KW-GS/KPA*/TKPW
'on,': OPB/KW-BG
'little': HREUL
'nightingale,': TPHAOEUT/-G/TKPWAEL/KW-BG
'go': TKPW
'on."': OPB/TP-PL/KR-GS
'"Then': KW-GS/KPA*/THEPB
'will': HR
'you': U
'give': TKPWEUF
'me': PHE
'the': -T
'beautiful': PWAOUFL
'golden': TKPWOELD/*EPB
'sword': SWORD
'and': SKP
'that': THA
'rich': REUFP
'banner?': PWAERPB/H-F
'and': SKP
'will': HR
'you': U
'give': TKPWEUF
'me': PHE
'the': -T
'emperor's': EPL/ROR/AES
'crown?"': KROUPB/H-F/KR-GS
'said': SED
'the': -T
'bird.': PWEURD/TP-PL
'So': KPA/SO
'Death': KPA/TK*T
'gave': TKPWAEUF
'up': UP
'each': AOEFP
'of': -F
'these': THEZ
'treasures': TR-RBS
'for': TPOR
'a': AEU
'song;': SOPBG/STPH*FPLT
'and': SKP
'the': -T
'nightingale': TPHAOEUT/-G/TKPWAEL
'continued': T-PBD
'her': HER
'singing.': SEUPBG/-G/TP-PL
'She': KPA/SHE
'sung': SUPBG
'of': -F
'the': -T
'quiet': KWAO*EUT
'churchyard,': KH*URPBLG/KWRARD/KW-BG
'where': W-R
'the': -T
'white': WHAOEUT
'roses': ROES/-S
'grow,': TKPWROE/KW-BG
'where': W-R
'the': -T
'elder-tree': ELD/ER/H-PB/TRAOE
'wafts': WAFT/-S
'its': EUTS
'perfume': PER/TPAOUPL
'on': OPB
'the': -T
'breeze,': PWRAOEZ/KW-BG
'and': SKP
'the': -T
'fresh,': TPRERB/KW-BG
'sweet': SWAOET
'grass': TKPWRAS
'is': S
'moistened': PHOEUS/-PBD
'by': PWEU
'the': -T
'mourners'': PHOURPB/*ERS/AE
'tears.': TAERS/TP-PL
'Then': KPA/THEPB
'Death': KPA/TK*T
'longed': HROPBG/-D
'to': TO
'go': TKPW
'and': SKP
'see': SAOE
'his': HEUS
'garden,': TKPWA*RPB/KW-BG
'and': SKP
'floated': TPHROET/-D
'out': OUT
'through': THRU
'the': -T
'window': WOEUPBD
'in': TPH
'the': -T
'form': TPORPL
'of': -F
'a': AEU
'cold,': KOELD/KW-BG
'white': WHAOEUT
'mist.': PHEUFT/TP-PL
'"Thanks,': KW-GS/THAPBLGS/KW-BG
'thanks,': THAPBGS/KW-BG
'you': U
'heavenly': HEFPBL
'little': HREUL
'bird.': PWEURD/TP-PL
'I': EU
'know': TPHOE
'you': U
'well.': WEL/TP-PL
'I': EU
'banished': PWAPB/EURBD
'you': U
'from': TPR
'my': PHEU
'kingdom': KEUPBG/TKOPL
'once,': WUPBS/KW-BG
'and': SKP
'yet': KWRET
'you': U
'have': SR
'charmed': KHARPL/-D
'away': WA*EU
'the': -T
'evil': AOEFL
'faces': TPAEUFS
'from': TPR
'my': PHEU
'bed,': PWED/KW-BG
'and': SKP
'banished': PWAPB/EURBD
'Death': KPA/TK*T
'from': TPR
'my': PHEU
'heart,': HART/KW-BG
'with': W
'your': KWROUR
'sweet': SWAOET
'song.': SOPBG/TP-PL
'How': KPA/HOU
'can': K
'I': EU
'reward': RE/WARD
'you?"': U/H-F/KR-GS
'"You': KW-GS/KPA*/U
'have': SR
'already': HR-R
'rewarded': RE/WARD/-D
'me,"': PHE/KW-BG/KR-GS
'said': SED
'the': -T
'nightingale.': TPHAOEUT/-G/TKPWAEL/TP-PL
'"I': KW-GS/EU
'shall': SHAL
'never': TPHEFR
'forget': TPORGT
'that': THA
'I': EU
'drew': TKRAOU
'tears': TAERS
'from': TPR
'your': KWROUR
'eyes': AO*EUS
'the': -T
'first': TPEUFRT
'time': TAOEUPL
'I': EU
'sang': SAPBG
'to': TO
'you.': U/TP-PL
'These': KPA/THEZ
'are': R
'the': -T
'jewels': SKWRAOULS
'that': THA
'rejoice': RE/SKWROEUS
'a': AEU
'singer's': SEURPBG/AES
'heart.': HART/TP-PL
'But': KPA/PWUT
'now': TPHOU
'sleep,': SHRAOEP/KW-BG
'and': SKP
'grow': TKPWROE
'strong': STROPBG
'and': SKP
'well': WEL
'again.': TKPWEPB/TP-PL
'I': EU
'will': HR
'sing': SEUPBG
'to': TO
'you': U
'again."': TKPWEPB/TP-PL/KR-GS
'And': AFPBD
'as': AS
'she': SHE
'sung,': SUPBG/KW-BG
'the': -T
'emperor': EPL/ROR
'fell': TPEL
'into': TPHAO
'a': AEU
'sweet': SWAOET
'sleep;': SHRAOEP/STPH*FPLT
'and': SKP
'how': HOU
'mild': PHAOEULD
'and': SKP
'refreshing': RE/TPRERB/-G
'that': THA
'slumber': SHRUPL/PWER
'was!': WAS/SKHRAPL
'When': KPA/WHEPB
'he': HE
'awoke,': A/WOEBG/KW-BG
'strengthened': STR*EPBG/-PBD
'and': SKP
'restored,': RAOE/STORD/KW-BG
'the': -T
'sun': SUPB
'shone': SHO*EPB
'brightly': PWRAOEULT
'through': THRU
'the': -T
'window;': WOEUPBD/STPH*FPLT
'but': PWUT
'not': TPHOT
'one': WUPB
'of': -F
'his': HEUS
'servants': SER/SRAPBTS
'had': H
'returned—they': RURPBD/EPL/TKA*RB/THE
'all': AUL
'believed': PWHREFD
'he': HE
'was': WAS
'dead;': TKED/STPH*FPLT
'only': OEPBL
'the': -T
'nightingale': TPHAOEUT/-G/TKPWAEL
'still': STEUL
'sat': SAT
'beside': PWE/SAOEUD
'him,': HEUPL/KW-BG
'and': SKP
'sang.': SAPBG/TP-PL
'"You': KW-GS/KPA*/U
'must': PHUFT
'always': AULS
'remain': RAEUPL
'with': W
'me,"': PHE/KW-BG/KR-GS
'said': SED
'the': -T
'emperor.': EPL/ROR/TP-PL
'"You': KW-GS/KPA*/U
'shall': SHAL
'sing': SEUPBG
'only': OEPBL
'when': WHEPB
'it': T
'pleases': PHRAOES/-S
'you;': U/STPH*FPLT
'and': SKP
'I': EU
'will': HR
'break': PWRAEBG
'the': -T
'artificial': TPHR*EURBL
'bird': PWEURD
'into': TPHAO
'a': AEU
'thousand': THOUD
'pieces."': PAOEFS/TP-PL/KR-GS
'"No;': KW-GS/KPA*/TPHO/STPH*FPLT
'do': TKO
'not': TPHOT
'do': TKO
'that,"': THARBGS/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'nightingale;': TPHAOEUT/-G/TKPWAEL/STPH*FPLT
'"the': KW-GS/-T
'bird': PWEURD
'did': TK
'very': SRE
'well': WEL
'as': AS
'long': HROPBG
'as': AS
'it': T
'could.': KO/TP-PL
'Keep': KPA/KAOEP
'it': T
'here': HAOER
'still.': STEUL/TP-PL
'I': EU
'cannot': SK-PBT
'live': HREUF
'in': TPH
'the': -T
'palace,': PAL/AS/KW-BG
'and': SKP
'build': PWEULD
'my': PHEU
'nest;': TPHEFT/STPH*FPLT
'but': PWUT
'let': HRET
'me': PHE
'come': KOPL
'when': WHEPB
'I': EU
'like.': HRAOEUBG/TP-PL
'I': EU
'will': HR
'sit': SEUT
'on': OPB
'a': AEU
'bough': PWO*U
'outside': OUDZ
'your': KWROUR
'window,': WOEUPBD/KW-BG
'in': TPH
'the': -T
'evening,': AOEPBG/KW-BG
'and': SKP
'sing': SEUPBG
'to': TO
'you,': U/KW-BG
'so': SO
'that': THA
'you': U
'may': PHAE
'be': -B
'happy,': HAEP/KW-BG
'and': SKP
'have': SR
'thoughts': THAUTS
'full': TPUL
'of': -F
'joy.': SKWROEU/TP-PL
'I': EU
'will': HR
'sing': SEUPBG
'to': TO
'you': U
'of': -F
'those': THOZ
'who': WHO
'are': R
'happy,': HAEP/KW-BG
'and': SKP
'those': THOZ
'who': WHO
'suffer;': SUFR/STPH*FPLT
'of': -F
'the': -T
'good': TKPWAOD
'and': SKP
'the': -T
'evil,': AOEFL/KW-BG
'who': WHO
'are': R
'hidden': HEUD/EPB
'around': ARPBD
'you.': U/TP-PL
'The': KPA/-T
'little': HREUL
'singing': SEUPBG/-G
'bird': PWEURD
'flies': TPHRAOEUS
'far': TPAR
'from': TPR
'you': U
'and': SKP
'your': KWROUR
'court': KORT
'to': TO
'the': -T
'home': HOEPL
'of': -F
'the': -T
'fisherman': TPEURB/ER/PHAPB
'and': SKP
'the': -T
'peasant's': PEFPBT/AES
'cot.': KOT/TP-PL
'I': EU
'love': HRUF
'your': KWROUR
'heart': HART
'better': PWOERT
'than': THAPB
'your': KWROUR
'crown;': KROUPB/STPH*FPLT
'and': SKP
'yet': KWRET
'something': S-G
'holy': HOEUL
'lingers': HREUPBG/ERS
'round': ROUPBD
'that': THA
'also.': HR-S/TP-PL
'I': EU
'will': HR
'come,': KOPL/KW-BG
'I': EU
'will': HR
'sing': SEUPBG
'to': TO
'you;': U/STPH*FPLT
'but': PWUT
'you': U
'must': PHUFT
'promise': PROPLS
'me': PHE
'one': WUPB
'thing."': THEUPBG/TP-PL/KR-GS
'"Everything,"': KW-GS/KPA*/EFRG/KW-BG/KR-GS
'said': SED
'the': -T
'emperor,': EPL/ROR/KW-BG
'who,': WHO/KW-BG
'having': SR-G
'dressed': TKREFD
'himself': HEUPLS
'in': TPH
'his': HEUS
'imperial': EUPL/PAOERL
'robes,': ROEB/-S/KW-BG
'stood': STAOD
'with': W
'the': -T
'hand': HAPBD
'that': THA
'held': HELD
'the': -T
'heavy': HOEUF
'golden': TKPWOELD/*EPB
'sword': SWORD
'pressed': PREFD
'to': TO
'his': HEUS
'heart.': HART/TP-PL
'"I': KW-GS/EU
'only': OEPBL
'ask': SK
'one': WUPB
'thing,"': THEUPBG/KW-BG/KR-GS
'she': SHE
'replied;': RE/PHRAOEUD/STPH*FPLT
'"let': KW-GS/HRET
'no': TPHO
'one': WUPB
'know': TPHOE
'that': THA
'you': U
'have': SR
'a': AEU
'little': HREUL
'bird': PWEURD
'who': WHO
'tells': TELS
'you': U
'everything.': EFRG/TP-PL
'It': KPA/T
'will': HR
'be': -B
'best': PWEFT
'to': TO
'conceal': KAUPB/SAOEL
'it."': T/TP-PL/KR-GS
'So': KPA/SO
'saying,': SAEUG/KW-BG
'the': -T
'nightingale': TPHAOEUT/-G/TKPWAEL
'flew': TPHRAOU
'away.': WA*EU/TP-PL
'The': KPA/-T
'servants': SER/SRAPBTS
'now': TPHOU
'came': KAEUPL
'in': TPH
'to': TO
'look': HRAOBG
'after': AF
'the': -T
'dead': TKED
'emperor;': EPL/ROR/STPH*FPLT
'when,': WHEPB/KW-BG
'lo!': HRO/SKHRAPL
'there': THR
'he': HE
'stood,': STAOD/KW-BG
'and,': SKP/KW-BG
'to': TO
'their': THAEUR
'astonishment,': AS/TOPB/SH-PLT/KW-BG
'said,': SED/KW-BG
'"Good': KW-GS/KPA*/TKPWAOD
'morning."': PHORPBG/TP-PL/KR-GS
