The Tinder-Box
'after': AF
'the': -T
'others.': OERS/TP-PL
'Then': KPA/THEPB
'the': -T
'soldiers': SHRERPBLGS
'and': SKP
'all': AUL
'the': -T
'people': PAOEPL
'were': WR
'afraid,': A/TPRAEUD/KW-BG
'and': SKP
'cried,': KRAOEUD/KW-BG
'"Good': KW-GS/KPA*/TKPWAOD
'soldier,': SHRERPBLG/KW-BG
'you': U
'shall': SHAL
'be': -B
'our': OUR
'king,': KEUPBG/KW-BG
'and': SKP
'you': U
'shall': SHAL
'marry': PHAER
'the': -T
'beautiful': PWAOUFL
'princess."': PREUPB/SES/TP-PL/KR-GS
'So': KPA/SO
'they': THE
'placed': PHRAEUFD
'the': -T
'soldier': SHRERPBLG
'in': TPH
'the': -T
'king's': KEUPBG/AES
'carriage,': KAEURPBLG/KW-BG
'and': SKP
'the': -T
'three': THRAOE
'dogs': TKOGS
'ran': RAPB
'on': OPB
'in': TPH
'front': TPROPBT
'and': SKP
'cried': KRAOEUD
'"Hurrah!"': KW-GS/KPA*/HUR/RA/SKHRAPL/KR-GS
'and': SKP
'the': -T
'little': HREUL
'boys': PWOEUS
'whistled': WHEUS/-LD
'through': THRU
'their': THAEUR
'fingers,': TPEURPBGS/KW-BG
'and': SKP
'the': -T
'soldiers': SHRERPBLGS
'presented': PREPBTD
'arms.': ARPLS/TP-PL
'The': KPA/-T
'princess': PREUPB/SES
'came': KAEUPL
'out': OUT
'of': -F
'the': -T
'copper': KOP/ER
'castle,': KAFL/KW-BG
'and': SKP
'became': PWAEUPL
'queen,': KWAOEPB/KW-BG
'which': WEU
'was': WAS
'very': SRE
'pleasing': PHRAOEFG
'to': TO
'her.': HER/TP-PL
'The': KPA/-T
'wedding': WEGD
'festivities': TPEFT/EUFT/TEU/-S
'lasted': HRAFT/-D
'a': AEU
'whole': WHOEL
'week,': WAOERBGS
'and': SKP
'the': -T
'dogs': TKOGS
'sat': SAT
'at': AT
'the': -T
'table,': TAEUBL/KW-BG
'and': SKP
'stared': STAERD
'with': W
'all': AUL
'their': THAEUR
'eyes.': AO*EUS/TP-PL
