Cinderilla or the Little Glass Slipper

'petticoat;': PET/KOET/STPH*FPLT
'but': PWUT
'then,': THEPB/KW-BG
'to': TO
'make': PHAEUBG
'amends': APLDZ
'for': TPOR
'that,': THARBGS
'I': EU
'will': HR
'put': PUT
'on': OPB
'my': PHEU
'gold-flowered': TKPWOELD/H-PB/TPHRO*UR/-D
'manteau,': PH*/APBT/SKWR*E/KWRA/SKWRU/KW-BG
'and': SKP
'my': PHEU
'diamond': TKAOEUPLD
'stomacher,': STUPL/*ER/KW-BG
'which': WEU
'is': S
'far': TPAR
'from': TPR
'being': -BG
'the': -T
'most': PHOFT
'ordinary': OERD
'one': WUPB
'in': TPH
'the': -T
'world."': WORLD/TP-PL/KR-GS
'They': KPA/THE
'sent': SEPBT
'for': TPOR
'the': -T
'best': PWEFT
'tire-woman': TAOEUR/H-PB/WOPL
'they': THE
'could': KO
'get,': TKPWET/KW-BG
'to': TO
'make': PHAEUBG
'up': UP
'their': THAEUR
'head-dresses,': HED/H-PB/TKRES/-S/KW-BG
'and': SKP
'adjust': A/KWRUFT
'their': THAEUR
'double-pinners,': TKUBL/H-PB/PEURPBZ/KW-BG
'their': THAEUR
'red': RED
'brushes,': PWRURBS/KW-BG
'and': SKP
'patches': PAFPS
'from': TPR
'the': -T
'fashionable': TPAGS/-BL
'maker.': PHAEURBG/TP-PL
''Double-pinners'--with': A*E/KPA*/TKUBL/H-PB/PEURPBZ/AE/H-PB/H-PB/W
'two': TWO
'side-flaps': SAOEUD/H-PB/TPHRAPS
'on': OPB
'each': AOEFP
'side--accurately': SAOEUD/H-PB/H-PB/ABG/RAT/HREU
'Cinderilla': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA
'was': WAS
'likewise': HRAOEUBG/WAOEUS
'called': KAULD
'up': UP
'to': TO
'them': THEPL
'to': TO
'be': -B
'consulted': KULTD
'in': TPH
'all': AUL
'these': THEZ
'matters,': PHAERTS/KW-BG
'for': TPOR
'she': SHE
'had': H
'excellent': KPHREPBT
'notions,': TPHOEGS/-S/KW-BG
'and': SKP
'advised': SRAOEUFD
'them': THEPL
'always': AULS
'for': TPOR
'the': -T
'best,': PWEFT/KW-BG
'nay': TPHAEU
'and': SKP
'offered': OFRD
'her': HER
'service': S-FS
'to': TO
'dress': TKRES
'their': THAEUR
'heads,': HEDZ/KW-BG
'which': WEU
'they': THE
'were': WR
'very': SRE
'willing': -LG
'she': SHE
'should': SHO
'do.': TKO/TP-PL
'As': KPA/AS
'she': SHE
'was': WAS
'doing': TK*G
'this,': TH/KW-BG
'they': THE
'said': SED
'to': TO
'her:': HER/STPH-FPLT
'"Cinderilla,': KW-GS/KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA/KW-BG
'would': WO
'you': U
'not': TPHOT
'be': -B
'glad': TKPWHRAD
'to': TO
'go': TKPW
'to': TO
'the': -T
'ball?"': PWAUL/H-F/KR-GS
'"Ah!"': KW-GS/KPA*/HA*E/SKHRAPL/KR-GS
'said': SED
'she,': SHE/KW-BG
'"you': KW-GS/U
'only': OEPBL
'jeer': SKWRAOER
'at': AT
'me;': PHE/STPH*FPLT
'it': T
'is': S
'not': TPHOT
'for': TPOR
'such': SUFP
'as': AS
'I': EU
'am': APL
'to': TO
'go': TKPW
'thither."': TH*EURT/TP-PL/KR-GS
'"Thou': KW-GS/KPA*/THO*U
'art': ART
'in': TPH
'the': -T
'right': RAOEUT
'of': -F
'it,"': T/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'they,': THE/KW-BG
'"it': KW-GS/T
'would': WO
'make': PHAEUBG
'the': -T
'people': PAOEPL
'laugh': HRAF
'to': TO
'see': SAOE
'a': AEU
'Cinder-breech': KPA/SEUPBD/*ER/H-PB/PWRAOEFP
'at': AT
'a': AEU
'ball."': PWAUL/TP-PL/KR-GS
'Any': KPA/TPHEU
'one': WUPB
'but': PWUT
'Cinderilla': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA
'would': WO
'have': SR
'dressed': TKREFD
'their': THAEUR
'heads': HEDZ
'awry,': AU/REU/KW-BG
'but': PWUT
'she': SHE
'was': WAS
'very': SRE
'good,': TKPWAOD/KW-BG
'and': SKP
'dressed': TKREFD
'them': THEPL
'perfectly': P-FRL
'well.': WEL/TP-PL
'They': KPA/THE
'were': WR
'almost': HR-PL
'two': TWO
'days': TKAEUS
'without': WOUT
'eating,': AOEGT/KW-BG
'so': SO
'much': PHUFP
'they': THE
