Iron Hans
'he': HE
'wounded': WOUPBD/-D
'the': -T
'youth's': KWRAO*UT/AES
'leg': HREG
'with': W
'the': -T
'point': POEUPBT
'of': -F
'his': HEUS
'sword.': SWORD/TP-PL
'The': KPA/-T
'youth': KWRAO*UT
'nevertheless': TPHEFRLS
'escaped': SKAEPD
'from': TPR
'them,': THEPL/KW-BG
'but': PWUT
'his': HEUS
'horse': HORS
'leapt': HREPT
'so': SO
'violently': SRAOEUL/HREPBT/HREU
'that': THA
'the': -T
'helmet': H*EPLT
'fell': TPEL
'from': TPR
'the': -T
'youth's': KWRAO*UT/AES
'head,': HED/KW-BG
'and': SKP
'they': THE
'could': KO
'see': SAOE
'that': THA
'he': HE
'had': H
'golden': TKPWOELD/*EPB
'hair.': HAEUR/TP-PL
'They': KPA/THE
'rode': ROED
'back': PWABG
'and': SKP
'announced': A/TPHOUPBS/-D
'this': TH
'to': TO
'the': -T
'king.': KEUPBG/TP-PL
'The': KPA/-T
'following': TPOLG
'day': TKAEU
'the': -T
'king's': KEUPBG/AES
'daughter': TKAUR
'asked': SK-D
'the': -T
'gardener': TKPWARD/TPHER
'about': PW
'his': HEUS
'boy.': PWOEU/TP-PL
''He': A*E/KPA*/HE
'is': S
'at': AT
'work': WORBG
'in': TPH
'the': -T
'garden;': TKPWA*RPB/STPH*FPLT
'the': -T
'queer': KWAOER
'creature': KRAOEFP
'has': HAS
'been': PW-PB
'at': AT
'the': -T
'festival': TPEFT/SRAL
'too,': TAO/KW-BG
'and': SKP
'only': OEPBL
'came': KAEUPL
'home': HOEPL
'yesterday': KWRED
'evening;': AOEPBG/STPH*FPLT
'he': HE
'has': HAS
'likewise': HRAOEUBG/WAOEUS
'shown': SHOEPB
'my': PHEU
'children': KHEURPB
'three': THRAOE
'golden': TKPWOELD/*EPB
'apples': APLS
'which': WEU
'he': HE
'has': HAS
'won.'': WOPB/TP-PL/AE
'The': KPA/-T
'king': KEUPBG
'had': H
'him': HEUPL
'summoned': SPHUPBD
'into': TPHAO
'his': HEUS
'presence,': PREPBS/KW-BG
'and': SKP
'he': HE
'came': KAEUPL
'and': SKP
'again': TKPWEPB
'had': H
'his': HEUS
'little': HREUL
'cap': KAP
'on': OPB
'his': HEUS
'head.': HED/TP-PL
'But': KPA/PWUT
'the': -T
'king's': KEUPBG/AES
'daughter': TKAUR
'went': WEPBT
'up': UP
'to': TO
'him': HEUPL
'and': SKP
'took': TAOBG
'it': T
'off,': OF/KW-BG
'and': SKP
'then': THEPB
'his': HEUS
'golden': TKPWOELD/*EPB
'hair': HAEUR
'fell': TPEL
'down': TKOUPB
'over': OEFR
'his': HEUS
'shoulders,': SHOURLDZ/KW-BG
'and': SKP
'he': HE
'was': WAS
'so': SO
'handsome': HAPBD/SO*PL
'that': THA
'all': AUL
'were': WR
'amazed.': A/PHAEUFD/TP-PL
''Are': A*E/KPA*/R
'you': U
'the': -T
'knight': TPHAO*EUT
'who': WHO
'came': KAEUPL
'every': EF
'day': TKAEU
'to': TO
'the': -T
'festival,': TPEFT/SRAL/KW-BG
'always': AULS
'in': TPH
'different': TKEUFRT
'colours,': KHRORS/A*U/KW-BG
'and': SKP
'who': WHO
'caught': KAUT
'the': -T
'three': THRAOE
'golden': TKPWOELD/*EPB
'apples?'': APLS/H-F/AE
'asked': SK-D
'the': -T
'king.': KEUPBG/TP-PL
''Yes,'': A*E/KPA*/KWRE/KW-BG/AE
'answered': AEPBS/-D
'he,': HE/KW-BG
''and': A*E/SKP
'here': HAOER
'the': -T
'apples': APLS
'are,'': R/KW-BG/AE
'and': SKP
'he': HE
'took': TAOBG
'them': THEPL
'out': OUT
'of': -F
'his': HEUS
'pocket,': POBGT/KW-BG
'and': SKP
'returned': RURPBD
'them': THEPL
'to': TO
'the': -T
'king.': KEUPBG/TP-PL
''If': A*E/KPA*/TP
'you': U
'desire': STKAOEUR
'further': TPURT
'proof,': PRAOF/KW-BG
'you': U
'may': PHAEU
'see': SAOE
'the': -T
'wound': WOUPBD
'which': WEU
'your': KWROUR
'people': PAOEPL
'gave': TKPWAEUF
'me': PHE
'when': WHEPB
'they': THE
'followed': TPOLD
'me.': PHE/TP-PL
'But': KPA/PWUT
'I': EU
'am': APL
'likewise': HRAOEUBG/WAOEUS
'the': -T
'knight': TPHAO*EUT
'who': WHO
'helped': HEPD
'you': U
'to': TO
'your': KWROUR
'victory': SREUBGT/REU
'over': OEFR
'your': KWROUR
'enemies.'': TPHAEPLS/TP-PL/AE
''If': A*E/KPA*/TP
'you': U
'can': K
'perform': PORPL
'such': SUFP
'deeds': TKAOEDZ
'as': AS
'that,': THARBGS
'you': U
'are': R
'no': TPHO
'gardener's': TKPWARD/TPHER/AES
'boy;': PWOEU/STPH*FPLT
'tell': TEL
'me,': PHE/KW-BG
'who': WHO
'is': S
'your': KWROUR
'father?'': TPAER/H-F/AE
''My': A*E/KPA*/PHEU
'father': TPAER
'is': S
'a': AEU
'mighty': PHAOEUT/KWREU
'king,': KEUPBG/KW-BG
'and': SKP
'gold': TKPWOELD
'have': SR
'I': EU
'in': TPH
'plenty': PHREPBT
'as': AS
'great': TKPWRAET
'as': AS
'I': EU
'require.'': RAOEUR/TP-PL/AE
''I': A*E/EU
'well': WEL
'see,'': SAOE/KW-BG/AE
'said': SED
'the': -T
'king,': KEUPBG/KW-BG
''that': A*E/THA
'I': EU
'owe': OE
'my': PHEU
'thanks': THAPBGS
'to': TO
'you;': U/STPH*FPLT
'can': K
'I': EU
'do': TKO
'anything': TPHEUG
'to': TO
'please': PHRES
'you?'': U/H-F/AE
''Yes,'': A*E/KPA*/KWRE/KW-BG/AE
'answered': AEPBS/-D
'he,': HE/KW-BG
''that': A*E/THA
'indeed': TPHAOEPBD
'you': U
'can.': K/TP-PL
'Give': KPA/TKPWEUF
'me': PHE
'your': KWROUR
'daughter': TKAUR
'to': TO
'wife.'': WAOEUF/TP-PL/AE
'The': KPA/-T
'maiden': PHAEUD/*EPB
'laughed,': HRAFD/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''He': A*E/KPA*/HE
'does': TKOS
'not': TPHOT
'stand': STAPBD
'much': PHUFP
'on': OPB
'ceremony,': SER/PHOEPB/KW-BG
'but': PWUT
'I': EU
'have': SR
'already': HR-R
'seen': SAOEPB
'by': PWEU
'his': HEUS
'golden': TKPWOELD/*EPB
'hair': HAEUR
'that': THA
'he': HE
'was': WAS
'no': TPHO
'gardener's': TKPWARD/TPHER/AES
'boy,'': PWOEU/KW-BG/AE
'and': SKP
'then': THEPB
'she': SHE
'went': WEPBT
'and': SKP
'kissed': K*EUFD
'him.': HEUPL/TP-PL
'His': KPA/HEUS
'father': TPAER
'and': SKP
'mother': PHOER
'came': KAEUPL
'to': TO
'the': -T
'wedding,': WEGD/KW-BG
'and': SKP
'were': WR
'in': TPH
'great': TKPWRAET
'delight,': TKHRAOEUT/KW-BG
'for': TPOR
'they': THE
'had': H
'given': TKPWEUFPB
'up': UP
'all': AUL
'hope': HOEP
'of': -F
'ever': -FR
'seeing': SAOEG
'their': THAEUR
'dear': TKAER
'son': SOPB
'again.': TKPWEPB/TP-PL
'And': AFPBD
'as': AS
'they': THE
'were': WR
'sitting': SEUGT
'at': AT
'the': -T
'marriage-feast,': PHAERPBLG/H-PB/TPAOEFT/KW-BG
'the': -T
'music': PHAOUFBG
'suddenly': SULD
'stopped,': STOPD/KW-BG
'the': -T
'doors': TKAORS
'opened,': OEPD/KW-BG
'and': SKP
'a': AEU
'stately': STAEULT
'king': KEUPBG
'came': KAEUPL
'in': TPH
'with': W
'a': AEU
'great': TKPWRAET
'retinue.': RET/TPHAOU/TP-PL
'He': KPA/HE
'went': WEPBT
'up': UP
'to': TO
'the': -T
'youth,': KWRAO*UT/KW-BG
'embraced': EPL/PWRAEUFD
'him': HEUPL
'and': SKP
'said:': SED/STPH-FPLT
''I': A*E/EU
'am': APL
'Iron': KPA/AOEURPB
'Hans,': HAPBS/KW-BG
'and': SKP
'was': WAS
'by': PWEU
'enchantment': EPB/KHAPLT
'a': AEU
'wild': WAOEULD
'man,': PHAPB/KW-BG
'but': PWUT
'you': U
'have': SR
'set': SET
'me': PHE
'free;': TPRAOE/STPH*FPLT
'all': AUL
'the': -T
'treasures': TR-RBS
'which': WEU
'I': EU
'possess,': PESZ/KW-BG
'shall': SHAL
'be': -B
'your': KWROUR
'property.'': PROT/TP-PL/AE
