A Haunted House

'"Safe,': KW-GS/KPA*/SAEUF/KW-BG
'safe,': SAEUF/KW-BG
'safe,"': SAEUF/KW-BG/KR-GS
'the': -T
'pulse': PULS
'of': -F
'the': -T
'house': HOUS
'beat': PWAET
'gladly.': TKPWHRAD/HREU/TP-PL
'"The': KW-GS/KPA*/-T
'Treasure': KPA/TRERB
'yours."': KWROURS/TP-PL/KR-GS
'The': KPA/-T
'wind': WEUPBD
'roars': RORS
'up': UP
'the': -T
'avenue.': AEF/TP-PL
'Trees': KPA/TRAOES
'stoop': STAOP
'and': SKP
'bend': PWEPBD
'this': TH
'way': WAEU
'and': SKP
'that.': THA/TP-PL
'Moonbeams': KPA/PHAOPB/TK-LS/PWAOEPLS
'splash': SPHRARB
'and': SKP
'spill': SPEUL
'wildly': WAOEULD/HREU
'in': TPH
'the': -T
'rain.': RAEUPB/TP-PL
'But': KPA/PWUT
'the': -T
'beam': PWAEPL
'of': -F
'the': -T
'lamp': HRAFRP
'falls': TPAULS
'straight': STRAEUT
'from': TPR
'the': -T
'window.': WOEUPBD/TP-PL
'The': KPA/-T
'candle': KA*PBLD
'burns': PWURPBS
'stiff': STEUF
'and': SKP
'still.': STEUL/TP-PL
'Wandering': KPA/WAPBGD
'through': THRU
'the': -T
'house,': HOUS/KW-BG
'opening': OEPG
'the': -T
'windows,': WOEUPBDZ/KW-BG
'whispering': WHEUS/PERG
'not': TPHOT
'to': TO
'wake': WAEUBG
'us,': US/KW-BG
'the': -T
'ghostly': TKPWOEFT/HREU
'couple': KUPL
'seek': SAOEBG
'their': THAEUR
'joy.': SKWROEU/TP-PL
'"Here': KW-GS/KPA*/HAOER
'we': WE
'slept,"': SHREPT/KW-BG/KR-GS
'she': SHE
'says.': SEZ/TP-PL
'And': AFPBD
'he': HE
'adds,': ADZ/KW-BG
'"Kisses': KW-GS/KPA*/KEUS/-S
'without': WOUT
'number."': TPHUPL/TP-PL/KR-GS
'"Waking': KW-GS/KPA*/WAEUG
'in': TPH
'the': -T
'morning—"': PHORPBG/EPL/TKA*RB/KR-GS
'"Silver': KW-GS/KPA*/SEUL/SRER
'between': TWAOEPB
'the': -T
'trees—"': TRAOES/EPL/TKA*RB/KR-GS
'"Upstairs—"': KW-GS/KPA*/AUP/STAEURS/EPL/TKA*RB/KR-GS
'"In': KW-GS/KPA*/TPH
'the': -T
'garden—"': TKPWA*RPB/EPL/TKA*RB/KR-GS
'"When': KW-GS/KPA*/WHEPB
'summer': SAOURPL
'came—"': KAEUPL/EPL/TKA*RB/KR-GS
'"In': KW-GS/KPA*/TPH
'winter': WEURPBT
'snowtime—"': STPHOE/TAO*EUPL/EPL/TKA*RB/KR-GS
'The': KPA/-T
'doors': TKAORS
'go': TKPW
'shutting': SHUGT
'far': TPAR
'in': TPH
'the': -T
'distance,': STKAPBS/KW-BG
'gently': SKWREPBT/HREU
'knocking': TPHOBG/-G
'like': HRAOEUBG
'the': -T
'pulse': PULS
'of': -F
'a': AEU
'heart.': HART/TP-PL
'Nearer': KPA/TPHAOER/*ER
'they': THE
'come;': KOPL/STPH*FPLT
'cease': SAOES
'at': AT
'the': -T
'doorway.': TKAOR/WAEU/TP-PL
'The': KPA/-T
'wind': WEUPBD
'falls,': TPAULS/KW-BG
'the': -T
'rain': RAEUPB
'slides': SHRAOEUDZ
'silver': SEUL/SRER
'down': TKOUPB
'the': -T
'glass.': TKPWHRAS/TP-PL
'Our': KPA/OUR
'eyes': AO*EUS
'darken;': TKARBG/*EPB/STPH*FPLT
'we': WE
'hear': HAER
'no': TPHO
'steps': STEPS
'beside': PWE/SAOEUD
'us;': US/STPH*FPLT
'we': WE
'see': SAOE
'no': TPHO
'lady': HRA*ED
'spread': SPRED
'her': HER
'ghostly': TKPWOEFT/HREU
'cloak.': KHROEBG/TP-PL
'His': KPA/HEUS
'hands': HAPBDZ
'shield': SHAOELD
'the': -T
'lantern.': HRAPB/TERPB/TP-PL
'"Look,"': KW-GS/KPA*/HRAOBG/KW-BG/KR-GS
'he': HE
'breathes.': PWRAO*ETS/TP-PL
'"Sound': KW-GS/KPA*/SOUPBD
'asleep.': A/SHRAOEP/TP-PL
'Love': KPA/HRUF
'upon': POPB
'their': THAEUR
'lips."': HREUPS/TP-PL/KR-GS
'Stooping,': KPA/STAOPG/KW-BG
'holding': HOELGD
'their': THAEUR
'silver': SEUL/SRER
'lamp': HRAFRP
'above': PWOF
'us,': US/KW-BG
'long': HROPBG
'they': THE
'look': HRAOBG
'and': SKP
'deeply.': TKAO*EPL/TP-PL
'Long': KPA/HROPBG
'they': THE
'pause.': PAUS/TP-PL
'The': KPA/-T
'wind': WEUPBD
'drives': TKREUFS
'straightly;': STRAEUT/HREU/STPH*FPLT
'the': -T
'flame': TPHRAEUPL
'stoops': STAOPS
'slightly.': SHRAOEULT/TP-PL
'Wild': KPA/WAOEULD
'beams': PWAOEPLS
'of': -F
'moonlight': PHAOLGT
'cross': KROS
'both': PWO*T
'floor': TPHRAOR
'and': SKP
'wall,': WAUL/KW-BG
'and,': SKP/KW-BG
'meeting,': PHAOEGT/KW-BG
'stain': STAEUPB
'the': -T
'faces': TPAEUFS
'bent;': PWEPBT/STPH*FPLT
'the': -T
'faces': TPAEUFS
'pondering;': POPBD/ERG/STPH*FPLT
'the': -T
'faces': TPAEUFS
'that': THA
'search': SEFRPB
'the': -T
'sleepers': SHRAOEP/*ERS
'and': SKP
'seek': SAOEBG
'their': THAEUR
'hidden': HEUD/EPB
'joy.': SKWROEU/TP-PL
'"Safe,': KW-GS/KPA*/SAEUF/KW-BG
'safe,': SAEUF/KW-BG
'safe,"': SAEUF/KW-BG/KR-GS
'the': -T
'heart': HART
'of': -F
'the': -T
'house': HOUS
'beats': PWAOETS
'proudly.': PROUD/HREU/TP-PL
'"Long': KW-GS/KPA*/HROPBG
