Multi-syllable words with multiple strokes

'hesitated': HES/TAEUT/-D
'Mexico': PHEBGS/KO
'overcome': AUFR/KOPL
'awake': A/WAEUBG
'fury': TPAOU/REU
'instructions': EUPB/STRUBGS/-S
'hatred': HAEU/TRED
'pursuit': PUR/SAOUT
'additions': A/TKEUGS/-S
'vanished': SRAPB/EURBD
'elder': ELD/ER
'annual': APB/WAL
'obtaining': OB/TAEUPBG
'consequently': KWEPBT/HREU
'ceremony': SER/PHOEPB
'magic': PHAPBLG/EUBG
'hunting': HUPBT/-G
'Carolina': KAR/HRAOEU/TPHA
'whisper': WEUS/PER
'largely': HRARPBLG/HREU
'contributions': KR-BGS/-S
'Christianity': KREUGS/APBT
'operations': PRAEUGS/-S
'detail': TKE/TAEUL
'princess': PREUPB/SES
'altar': AL/TAR
'tenderness': TEPBD/ERPBS
'cardinal': KARD/TPHAL
'sharply': SHARP/HREU
'distinctly': TKEUS/TEUPBGT/HREU
'indignation': EUPB/TKEUG/TPHAEUGS
'prosperity': PROFP/ERT
'gloomy': TKPWHRAOPL/KWREU
'preceding': PRE/SAOED/-G
'absurd': AB/SURD
'gesture': SKWRES/TUR
'armies': AR/PHAOES
'hastened': HAEUS/-PBD
'whatsoever': WHA/SOFR
'pronounced': PROUPBS/-D
'emperor': EPL/ROR
'tendency': TEPBD/SEU
'earnestly': ERPB/EFT/HREU
'genuine': SKWREPB/WEUPB
'harmless': HARPL/-LS
'obedience': OE/PWAOED/KWREPBS
'badly': PWAD/HREU
'relieved': RE/HREFD
'romance': RO/PHAPBS
'persuaded': PER/SWAEUD/-D
'inspired': EUPB/SPAOEURD
'angels': APB/SKWREL/-S
'refuge': REF/AOUPBLG
'misfortune': PHEUZ/TP-RPB
'providence': PROF/TKEPBS
'resist': RE/SEUFT
'provinces': PROFPBS/-S
'virtues': SREUR/TAOUS
'conceived': KAUPB/SAOEFD
'relative': REL/TEUF
'solitary': SOL/TAER
'eighteen': AET/TAOEPB
'eaten': AOET/EPB
'condemned': KAUPB/TKEPL/-D
'unexpected': UPB/EBGS/PEBGD
'Billy': PWEUL/HREU
'Holland': HOL/HRAPBD
'respectable': R-PT/-BL
'disappointed': TKEUS/POEUPBTD
'suitable': SAOUT/-BL
'arrive': A/RAOEUF
'autumn': AU/UPL
'absent': AB/SEPBT
'legally': HRAOEG/HREU
'doubtful': TKOUT/-FL
'instances': EUPB/STAPBS/-S
'defeat': TKE/TPAOET
'masses': PHAS/-S
'indifferent': EUPB/TKEUFRPB
'discourse': TKEUS/KORS
'regions': RAOE/SKWROPBS
'intervals': EUPBT/SRALS
'revenge': RE/SREPBG
'Lucy': HRAOU/SEU
'yonder': KWROPBD/ER
'resources': RE/SORSZ
