The Toad
'poet.': POET/TP-PL
'He': KPA/HE
'will': HR
'tell': TEL
'it': T
'thee': THAOE
'under': TPH-PB
'the': -T
'guise': TKPWAOEUZ
'of': -F
'a': AEU
'fairy': TPAEUR/REU
'tale;': TAEL/STPH*FPLT
'and': SKP
'the': -T
'Caterpillar': KA*T/*ER/PEUL/A*R
'on': OPB
'the': -T
'cabbage,': KAB/APBLG/KW-BG
'and': SKP
'the': -T
'Stork': KPA/STORBG
'family': TPAEPL
'belong': PWHROPBG
'to': TO
'the': -T
'story.': STOER/TP-PL
'Think!': KPA/THEU/SKHRAPL
'the': -T
'Caterpillar': KA*T/*ER/PEUL/A*R
'is': S
'changed,': KHAEUPBGD/KW-BG
'and': SKP
'turns': TURPBS
'into': TPHAO
'a': AEU
'beautiful': PWAOUFL
'butterfly;': PW*URT/TPHRAOEU/STPH*FPLT
'the': -T
'Stork': KPA/STORBG
'family': TPAEPL
'flies': TPHRAOEUS
'over': OEFR
'mountains': PHOUPB/TAEUPBS
'and': SKP
'seas,': SAES/KW-BG
'to': TO
'the': -T
'distant': STKAPBT
'Africa,': AFR/KARBGS
'and': SKP
'yet': KWRET
'finds': TPAOEUPBDZ
'the': -T
'shortest': SHORT/EFT
'way': WAEU
'home': HOEPL
'to': TO
'the': -T
'same': SAEUPL
'country—to': KREU/EPL/TKA*RB/TO
'the': -T
'same': SAEUPL
'roof.': RAOF/TP-PL
'Nay,': KPA/TPHAEU/KW-BG
'that': THA
'is': S
'almost': HR-PL
'too': TAO
'improbable;': EUPL/PROB/STPH*FPLT
'and': SKP
'yet': KWRET
'it': T
'is': S
'true.': TRAOU/TP-PL
'You': KPA/U
'may': PHAE
'ask': SK
'the': -T
'naturalist,': TPHARL/EUFT/KW-BG
'he': HE
'will': HR
'confess': KAUPB/TPES
'it': T
'is': S
'so;': SO/STPH*FPLT
'and': SKP
'you': U
'know': TPHOE
'it': T
'yourself,': KWRO*URS/KW-BG
'for': TPOR
'you': U
'have': SR
'seen': SAOEPB
'it.': T/TP-PL
'But': KPA/PWUT
'the': -T
'jewel': SKWRAOUL
'in': TPH
'the': -T
'head': HED
'of': -F
'the': -T
'toad?': TAOD/H-F
'Seek': KPA/SAOEBG
'it': T
'in': TPH
'the': -T
'sun;': SUPB/STPH*FPLT
'see': SAOE
'it': T
'there': THR
'if': TP
'you': U
'can.': K/TP-PL
'The': KPA/-T
'brightness': PWRAOEUT/-PBS
'is': S
'too': TAO
'dazzling': TKAZ/-LG
'there.': THR/TP-PL
'We': KPA/WE
'have': SR
'not': TPHOT
'yet': KWRET
'such': SUFP
'eyes': AO*EUS
'as': AS
'can': K
'see': SAOE
'into': TPHAO
'the': -T
'glories': TKPWHROER/KWREU/-S
'which': WEU
'God': TKPWO*D
'has': HAS
'created,': KRAOETD/KW-BG
'but': PWUT
'we': WE
'shall': SHAL
'receive': SAOEF
'them': THEPL
'by-and-by;': PWEU/H-PB/SKP/H-PB/PWEU/STPH*FPLT
'and': SKP
'that': THA
'will': HR
'be': -B
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'story': STOER
'of': -F
'all,': AUL/KW-BG
'and': SKP
'we': WE
'shall': SHAL
'all': AUL
'have': SR
'our': OUR
'share': SHAEUR
'in': TPH
'it.': T/TP-PL
