The Butterfly
'end.': EPBD/TP-PL
'"Who': KW-GS/KPA*/WHO
'is': S
'that?"': THA/H-F/KR-GS
'he': HE
'asked.': SK-D/TP-PL
'"That': KW-GS/KPA*/THA
'is': S
'my': PHEU
'sister,"': ST-RBGS/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'pea-blossom.': PAE/H-PB/PWHROFPL/TP-PL
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'indeed;': TPHAOEPBD/STPH*FPLT
'and': SKP
'you': U
'will': HR
'be': -B
'like': HRAOEUBG
'her': HER
'some': SOPL
'day,"': TKAEU/KW-BG/KR-GS
'said': SED
'he;': HE/STPH*FPLT
'and': SKP
'he': HE
'flew': TPHRAOU
'away': WA*EU
'directly,': TKREL/KW-BG
'for': TPOR
'he': HE
'felt': TPELT
'quite': KWAOEUT
'shocked.': SHOBGD/TP-PL
'A': KPA/AEU
'honeysuckle': HOPB/KWREU/SUBG/*L
'hung': HUPBG
'forth': TPO*RT
'from': TPR
'the': -T
'hedge,': HEPBLG/KW-BG
'in': TPH
'full': TPUL
'bloom;': PWHRAOPL/STPH*FPLT
'but': PWUT
'there': THR
'were': WR
'so': SO
'many': PHAEPB
'girls': TKPWEURLS
'like': HRAOEUBG
'her,': HER/KW-BG
'with': W
'long': HROPBG
'faces': TPAEUFS
'and': SKP
'sallow': SAL/HROE
'complexions.': KPHR*EBGS/-S/TP-PL
'No;': KPA/TPHO/STPH*FPLT
'he': HE
'did': TK
'not': TPHOT
'like': HRAOEUBG
'her.': HER/TP-PL
'But': KPA/PWUT
'which': WEU
'one': WUPB
'did': TK
'he': HE
'like?': HRAOEUBG/H-F
'Spring': KPA/SPREUPBG
'went': WEPBT
'by,': PWEU/KW-BG
'and': SKP
'summer': SAOURPL
'drew': TKRAOU
'towards': TORDZ
'its': EUTS
'close;': KHROES/STPH*FPLT
'autumn': AU/UPL
'came;': KAEUPL/STPH*FPLT
'but': PWUT
'he': HE
'had': H
'not': TPHOT
'decided.': STKAOEUD/-D/TP-PL
'The': KPA/-T
'flowers': TPHRO*URS
'now': TPHOU
'appeared': A/PAOERD
'in': TPH
'their': THAEUR
'most': PHOFT
'gorgeous': TKPWORBS
'robes,': ROEB/-S/KW-BG
'but': PWUT
'all': AUL
'in': TPH
'vain;': SRA*EUPB/STPH*FPLT
'they': THE
'had': H
'not': TPHOT
'the': -T
'fresh,': TPRERB/KW-BG
'fragrant': TPRAEUG/RAPBT
'air': AEUR
'of': -F
'youth.': KWRAO*UT/TP-PL
