Single-Stroke Briefs
'grasp': TKPWRAFP
'grass': TKPWRAS
'grasshopper': TKPWHR*FRPBLG
'grate': TKPWRAEUT
'grateful': TKPWRA*EUFL
'grating': TKPWRAEUGT
'grave': TKPWRAEUF
'gravel': TKPWRAFL
'graven': TKPWRAEUFPB
'graver': TKPWRAEUFR
'gravid': TKPWRA*FD
'graving': TKPWRAEUFG
'gravity': TKPWRA*FT
'gravy': TKPWRAEF
'graze': TKPWRAEUZ
'grease': TKPWRAES
'great': TKPWRAET
'greater': TKPWRAERT
'greed': TKPWRAOED
'greener': TKPWRAOERPB
'greet': TKPWRAOET
'grid': TKPWREUD
'griddle': TKPWR*EULD
'grief': TKPWRAOEF
'grievance': TKPWRAOEFPBS
'grieve': TKPWREF
'grieving': TKPWRAOEFG
'grill': TKPWREUL
'grille': TKPWR*EUL
'grim': TKPWREUPL
'grime': TKPWRAOEUPL
'grin': TKPWREUPB
'grind': TKPWRAOEUPBD
'grip': TKPWREUP
'gripe': TKPWRAOEUP
'grippe': TKPWR*EUP
'gripped': TKPWREUPD
'gripping': TKPWREUPG
'grist': TKPWR*EUS
'gristle': TKPWREUFL
'grit': TKPWREUT
'groan': TKPWRAOPB
'grog': TKPWROG
'groin': TKPWROEUPB
'groom': TKPWRAOPL
'groove': TKPWRAOF
'grooved': TKPWRAOFD
'grooving': TKPWRAOFG
'grope': TKPWROEP
'groped': TKPWROEPD
'groping': TKPWROEPG
'gross': TKPWROS
'grouch': TKPWROUFP
'grouse': TKPWROUS
'grout': TKPWROUT
'grove': TKPWROEF
'grovel': TKPWROFL
'grower': TKPWROER
'growl': TKPWROUL
'grown': TKPWROEPB
'grown-up': TKPWR*UP
'growth': TKPWRO*ET
'grub': TKPWRUB
'grudge': TKPWRUPBLG
'gruel': TKPWRAOUL
'gruff': TKPWRUF
'grump': TKPWR*UPL
'grunge': TKPWRUPBG
'grunt': TKPWRUPBT
'guarantee': TKPWARPBT
'guaranteed': TKPWAEURPBTD
'guesses': TKPWEFS
'guest': TKPWEFT
'guidance': TKPWAOEUPBS
'guide': TKPWAOEUD
'guideline': TKPWHRAOEUPB
'guiding': TKPWAOEUGD
'guild': TKPWEULD
'guile': TKPWAOEUL
'guilt': TKPWEULT
'guilty': TKPW-LT
'guise': TKPWAOEUZ
'gulch': TKPWULG
'gulf': TKPWUFL
'gull': TKPWUL
'gum': TKPWUPL
'gumption': TKPWUPLGS
'gunfire': TKPWUFR
'gunk': TKPWUPBG
'gunman': TKPWA*PL
'gunmen': TKPW*EPL
'gunpoint': TKPWUPT
'gush': TKPWURB
'gust': TKPWUFT
'gut': TKPWUT
'gutter': TKPWOURT
'gym': SKWREUPL
'gyp': SKWREUP
'habit': HABT
'hack': HABG
'hacker': HA*RBG
'had': H
'hadn't': H-PBT
'hag': HAG
'hail': HAEUL
'hair': HAEUR
'hairball': HAEURBL
'haired': HAEURD
'hale': HA*EL
'half': HAF
'hall': HAUL
'halo': HO*EUL
'halt': HALT
'halve': HA*FL
'halved': HAFD
'ham': HAPL
'hammer': HAERPL
'hand': HAPBD
'handgun': H-G
'handle': HAPBL
'handling': HAPBLG
'hang': HAPBG
'hangers': HARPBGS
'hangout': HAPBGT
'happen': HAP
'happy': HAEP
'harass': HARS
'harassment': HARPLT
'hard': HARD
'hardball': HARBL
'hare': HA*ER
'harem': HAEURPL
'hark': HARBG
'harm': HARPL
'harness': HARPBS
'harp': HARP
'harsh': HAFRB
'hat': HAT
'hatch': HAFP
'hatchet': HABGT
'hate': HAEUT
'hath': HA*T
'haul': HA*UL
'hauling': HAULG
'haunch': HAUFRPB
'haunt': HAUPBT
'have': SR
'haven': HAEUFPB
'haven't': SR-PB
'having': SR-G
'havoc': HAFBG
'haw': HAU
'hawk': HAUBG
'hay': HA*EU
'haze': HAEUZ
'hazy': HAEZ
'he'd': HAOED
'he'll': *EL
'he's': HAOES
'head': HED
'headache': HAEUBG
'headlight': H-LT
'headquarters': H-RS
'heal': HAEL
'healed': HAELD
'health': H*ELT
'healthcare': H*BG
'healthy': HOEUFLT
'heap': HAOEP
'heaped': HAOEPD
'hear': HAER
'heard': HAERD
'hearing-impaired': HAERPD
'heart': HART
'hearth': HAERT
'heat': HAOET
'heater': HAOERT
'heath': HAO*ET
'heave': HAOEF
'heaven': HEFPB
'heavily': HEFL
'heavy': HOEUF
'heck': HEBG
'hedge': HEPBLG
'hedged': HEPBLGD
'heel': HAOEL
'heft': HEFT
'heh': H*E
'heifer': HEFR
'height': HAOEUT
'heir': A*EUR
'heist': HAOEUFT
'held': HELD
'hell': HEL
'helmet': H*EPLT
'help': HEP
'helpful': HEFPL
'helpings': HEPGS
'hem': HEPL
'heme': HAO*EPL
'hemoglobin': HO*EG
'hemophilia': TPHRAOEL
'hemophiliac': TPHROEUBG
'hemp': HEFRP
'hen': HEPB
'hence': HEPBS
'henge': H*EPBG
'hep': H*EP
'hepatic': HA*EBG
'her': HER
'herb': ERB
'herbal': ERBL
'herbs': HERBS
'herd': H*ERD
'herds': HERDZ
'here': HAOER
'here's': HAOERS
'hereabout': HAOERBT
'hereby': HAOERB
'herein': HAOERPB
'hereunder': HAOERPBD
'hermit': HERPLT
'hernia': HOEURPB
'hero': HOEUR
'heroes': HOEURS
'heroic': HOEURBG
'heroin': HOERPB
'heroine': HO*EURPB
'herpes': HERP
'herself': H*ERS
'hertz': HERTS
'hew': HAO*U
'hewn': HAOUPB
'hex': HEBGS
'hey': HAEU
'hick': HEUBG
'hid': HEUD
'hide': HAOEUD
'high': HAOEU
'highball': HAOEUBL
'higher': HAOEUR
'highlight': HAOEULT
'highs': HAOEUS
'hijack': HAOEUPBLG
'hike': HAO*EUBG
'hiked': HAOEUBGD
'hill': HEUL
'hills': HEULS
'hillside': HEULDZ
'hilt': HEULT
'him': HEUPL
'himself': HEUPLS
'hind': HAOEUPBD
'hinge': HEUPBG
'hint': HEUPBT
'hints': HEUPBTS
'hip': HEUP
'hire': HEUR
'hired': HEURD
'hiring': HEURG
'hit': HEUT
'hit-and-run': H-RPB
'hitch': HEUFP
'hither': H*EURT
'hitting': HEUGT
'hive': HAOEUF
'ho': HO*E
'hoar': HAOR
'hoard': HAORD
'hoax': HOEBGS
'hobble': HOBL
'hoc': HO*BG
'hock': HOBG
'hods': HODZ
'hoe': HOE
'hog': HOG
'hogged': HOGD
'hoist': HOEUFT
'holder': HOERLD
'holdup': HO*UP
'homeownership': HOERP
'homes': HOEPLS
'homework': HOERBG
'homicide': H-DZ
'hon': HOPB
'hone': HOEPB
'honest': HOPBS
'honk': HO*PBG
'honor': HO*RPB
'hooch': HAOFP
'hood': HAOD
'hoof': HAOF
'hook': HAOBG
'hoop': HAOP
'hoot': HAOT
'hooves': HAOFS
'hop': HOP
'hopeful': HOEFL
'hopes': HOEPS
'hopped': HOPD
'hopping': HOPG
'horde': HORD
'hordes': HORDZ
'horizontal': SO*PBL
'hormonal': HRO*EPBL
'hormone': HO*ERPL
'horn': HORPB
'hornet': HORPBT
'horns': HORPBS
'horrible': HORBL
'hose': HOES
'hospitality': HOPLT
'hospitalization': HOPGS
'host': HOEFT
'hosts': HOEFTS
'hotter': HORT
'hound': HOUPBD
'hours': HOURS
'housed': HOUFD
'housework': HOURBG
'hovel': HOFL
'hover': HOFR
'how's': HO*US
'however': HOUF
'howl': HOUL
'hoy': HOEU
'hub': HUB
'hue': HAOU
'huff': HUF
'hug': HUG
'hugged': HUGD
'huh': H*U
'hulk': H*ULG
'hull': HUL
'hum': HUPL
'human': HAOUPL
'humanity': HAOUPLT
'humid': HAOUPLD
'humor': HAOURPL
'hump': HUFRP
'hunch': HUFRPB
'hunger': HURPBG
'hunk': H*UPBG
'hunt': HUPBT
'hunters': HURPBTS
'hurdle': H*URLD
'hurdles': H*URLDZ
'hurl': HURL
'husband': HUS
'hush': HURB
'husk': HUFBG
'hustle': HUFL
'hut': HUT
'hutch': HUFP
'hybrid': HAOEURBD
'hydrogen': TKROEUPB
'hymn': H*EUPL
'hype': HAOEUP
'hyped': HAOEUPD
'hyperglycemia': HAOEG
'hyphen': HAOEUFPB
'hypoglycemia': HAO*EG
'hypoglycemic': HAO*EBG
'hypothetical': HAO*EUL
'iamb': KWRA*PL
'iatrogenic': KWRA*RBG
'id': EUD
'ideal': KWR-L
'ideals': KWR-LS
'identifiability': AOEUFBLT
'identifiable': AOEUFBL
'identification': AOEUFGS
'identify': AOEUFD
'identity': AOEUTD
'ilk': *EULG
'ill': EUL
'illness': HR*PBS
'image': EUPBLG
'imagined': PHAPBLGD
'immediate': PHAOED
'immune': TPHOEUPL
'immunodeficient': PHEURBT
'immunology': TPHOLG
'imp': EUFRP
'impairment': PAEURPLT
'implement': EUPLT
'importance': PORPBS
'important': PORPB
'improvement': PROFPLT
'inability': TPHABLT
'inasmuch': TPHAFP
'inch': TPH-FP
'incident': STK*EPBT
'incidentally': STK*EPBL
'incision': STPHEUGS
'incisive': STPHAOEUF
'incisor': STPHAOEUFR
'incisors': STPHAOEUFRS
'include': KHRU
'included': KHRUD
'includes': KHRUS
'including': KHRUG
'inclusion': KHRUGS
'income': TPH-BG
'incomes': TPH-BGS
'incompetent': EUBGT
'incorporate': TPHORPT
'incorporation': TPHORPGS
'incredible': TPHEBL
'incredibly': TPHRERBL
'increment': EURPBLT
'ind': EUPBD
'indeed': TPHAOEPBD
'independence': P*EPBS
'independent': PAEPBT
'index': TKEUPBGS
'indicate': KA*EUT
'indicated': KA*EUTD
'indicates': KA*EUTS
'indicating': KAEUGT
'indication': KA*EUGS
'indicator': KOERT
'indict': TKAO*EUT
'indictment': TKAO*EUPLT
'indicts': TKAOEUTS
'individual': SREUD
'individuality': SREUPBLGT
'industrial': STREUL
'industries': STREUZ
'industrious': STREUS
'industry': STREU
'inefficient': TPHEUFPBT
'inert': TPHERT
'infect': TPHEBGT
'infection': TPEBGS
'infectious': TPERBS
'infer': TPH-FR
'inference': TPH-FRPBS
'inferential': TPH-FRPBL
'inferior': OEUFPB
'inferred': TPH-FRD
'inferring': TPH-FRG
'infers': TPH-FRS
'infertility': TPHERLT
'infinity': TPEUPBT
'inflammation': TPHRAEUGS
'inflammatory': TPHROERPL
'influence': WEPBS
'influential': WEPBL
'influenza': W*EPBZ
'inform': TPH-F
'information': TPH-FGS
'infrastructure': TPRUBGS
'infrequently': TPHRELG
'infusing': TPHAOUFG
'infusion': TPAOUPBGS
'ingredient': TKPWRAOEPBT
'inguinal': WEUPBL
'inhabit': TPHABT
'inhaler': HAEURL
'inhibit': HEURBT
'inhibition': TPHEUGS
'inhibitor': HOEURBT
'inhibitors': TPHOERBTS
'initial': TPHEURBL
'initials': TPHEURBLS
'initiate': TPHEURBT
'initiated': TPHEURBTD
'initiation': TPHEURBGS
'inject': SKWREBGT
'injection': SKPWREBGS
'injure': SKWR-R
'injured': SKWR-RD
'injuries': SKWR*RS
'injuring': SKWR-RG
'injury': SKWRAOUR
'ink': *EUPBG
'inn': TPH*PB
'inner': EURPB
'innervate': TPHEFRBT
'innocence': TPHEPBS
'innocent': TPH-PBT
'innovate': TPHO*FT
'innovation': TPHO*FGS
'input': TPH*PT
'inquire': KW-R
'inquiries': KW*EURS
'inquiry': KW*R
'insane': STPHAEUPB
'inside': TPH-DZ
'inspect': TPH-PT
'inspection': SPEBGS
'inspector': SPOERBGT
'inspiration': SPRAEUGS
'install': STPHAUL
'installation': STHRAEUGS
'installment': SAUPLT
'instance': STPHAPBS
'instant': STPHAPBT
'instantaneous': STA*EUPBS
'instead': STPHED
'institute': STPHAOUT
'instituted': STPHAOUTD
'institution': STPHAOUGS
'instruct': STRUBGT
'instruction': STRUBGS
'instrument': STRUPLT
'instruments': STRAOUPLTS
'insulation': SHRAEUGS
'insulin': SHREUPB
'insurable': STPHURBL
'insurance': SHURPBS
'insure': STPHUR
'insured': STPHAOURD
'int': SPW*
'intact': SPWABGT
'intake': SPWAEUBG
'integrity': TERGT
'intellect': SPWHREBGT
'intelligence': SPWEPBLGS
'intelligent': SPWEPBLGT
'intend': SPWEPBD
'intent': SPWEPBT
'intention': SPWEPBGS
'interact': SPWERBGT
'interaction': SPWRABGS
'intercourse': SPWROURS
'interest': TR
'interestingly': TR-LG
'interim': SPWERPL
'interment': SPWERPLT
'intern': SPWERPB
'internal': SPWERPBL
'international': SPWRARBL
'internet': STPHET
'interpret': TERP
'interpretation': SPWERPGS
'interpreter': TRER
'interpreters': TRERS
'interrogate': SPWERGT
'interrogation': SPWERGS
'interrogatory': SPWROEUG
'interrupt': SPWRUPT
'interruption': SPWRUPGS
'intersect': SPWREBGT
'intersection': SPWR*EBGS
'intestinal': STEUPBL
'intestine': STEUPB
'into': TPHAO
'intone': SPWOEPB
'intramuscular': TPHRUFBG
'intraocular': KHRO*RBG
'intrepid': SPWREPD
'intrigue': SPWRAOEG
'intro': SPWROE
'introduce': TROU
'introduced': TROUD
'introducing': TROUG
'introduction': TROUGS
'introvert': SPWRO*EFRT
'intrude': SPWRAOUD
'intrusion': SPWRAOUGS
'intuition': TPHAOGS
'inventor': SROERPBT
'inventory': SROERPB
'inverse': WERS
'inversion': WERGS
'inverting': WERGT
'invest': SREF
'investigate': SREGT
'investigated': SREGTD
'investigation': SREGS
'investigator': SROERGT
'investment': SREFPLT
'investor': SREFR
'involve': SROFL
'involved': SROFLD
'involvement': SROFPLT
'involving': SROFG
'ion': O*EUPB
'ire': AOEUR
'iris': AOEURS
'irk': EURBG
'iron': AOEURPB
'irrelevant': EURT
'island': AOEULD
'isle': AO*EULS
'islet': AOEULT
'isn't': S-PBT
'it'd': T*D
'it'll': T-L
'it's': T-S
'italics': THRA*BGS
'itch': EUFP
'item': AOEUPLT
'items': AOEUPLTS
'jab': SKWRAB
'jabbed': SKWRABD
'jabs': SKWRABS
'jack': SKWRABG
'jackets': SKWRABGTS
'jade': SKWRAEUD
'jades': SKWRAEUDZ
'jag': SKWRAG
'jagged': SKWRAGD
'jail': SKWRAEUL
'jam': SKWRAPL
'jamb': SKWRA*EPL
'jammed': SKWRAPLD
'jamming': SKWRAPLG
'jar': SKWRAR
'jarred': SKWRARD
'jarring': SKWRARG
'jaunt': SKWRAUPBT
'jaw': SKWRAU
'jay': SKWRAEU
'jazz': SKWRAZ
'jealous': SKWR*ELS
'jean': SKWRAEPB
'jeep': SKWRAOEP
'jeer': SKWRAOER
'jeez': SKWRAOEZ
'jejunum': SKWRAO*UPL
'jerk': SKWRERBG
'jest': SKWREFT
'jet': SKWRET
'jewel': SKWRAOUL
'jib': SKWREUB
'jibe': SKWRAOEUB
'jig': SKWREUG
'jilt': SKWREULT
'jinx': SKWREUPBGS
'jive': SKWRAOEUF
'jobbed': SKWROBD
'jock': SKWROBG
'jog': SKWROG
'jogged': SKWROGD
'join': SKWROEUPB
'joint': SKWROEUPBT
'joist': SKWROEUFT
'joked': SKWROEBGD
'joking': SKWROEG
'jolt': SKWROLT
'josh': SKWRAURB
'jostle': SKWROFL
'jot': SKWROT
'joule': SKWRAO*UL
'jounce': SKWROUPBS
'journal': SKWRURPBL
'journey': SKWRURPB
'joust': SKWROUFT
'jowl': SKWROUL
'joy': SKWROEU
'joyful': SKWROEUFL
'judge': SKWRUPBLG
'judged': SKWRUGD
'judgment': SKWRUPLT
'judicial': SKWREURBL
'jug': SKWRUG
'juice': SKWRAOUS
'juke': SKWRAOUBG
'junction': SKWRUPBGS
'junk': SKWRUPBG
'junket': SKWR*UPBGT
'juries': SKWRURS
'jurisdiction': SKWRUBGS
'jurisprudence': SKWRURP
'juror': SKWROR
'jury': SKWRUR
'justice': SKWRUFS
'justifiable': SKWRUFBL
'justification': SKWRUFGS
'justified': SKWRUFD
'justifies': SKWRUFZ
'justify': SKWR*UF
'jut': SKWRUT
'jute': SKWRAOUT
'juvenile': SKWRAO*UFL
'kale': KAEUL
'keel': KAOEL
'keen': KAOEPB
'keepers': KAOERPS
'keg': KEG
'kennel': KEPBL
'kernel': KERPBL
'ketch': KEFP
'keyboard': KAOEBD
'kibble': KEUBL
'kidding': KEUGD
'kidney': KO*EUPBD
'killer': KEURL
'killings': KEULGS
'kiln': KHREUPB
'kilogram': K-G
'kilohertz': KH*Z
'kilometer': KHROPLT
'kilt': KEULT
'kin': KEUPB
'kind': KEUPBD
'kines': KAOEUPBS
'kinetic': K*EBG
'king': KEUPBG
'kink': K*EUPBG
'kip': KEUP
'kit': KEUT
'kitchen': K-FP
'kite': KAOEUT
'kitsch': KEUFP
'kludge': KHRUPBLG
'klutz': KHRUTS
'knack': TPHABG
'knave': TPHA*EUF
'knead': TPHAO*ED
'kneel': TPHAOEL
'knell': TPH*EL
'knelt': TPHELT
'knife': TPHAOEUF
'knifed': TPHAOEUFD
'knifing': TPHAOEUFG
'knight': TPHAO*EUT
'knighthood': TPHAO*EUGTD
'knit': TPHEUT
'knob': TPHOB
'knoll': TPHOEL
'knot': TPHO*T
'notification': TPHOEFBGS
'notified': TPHOEUFD
'notify': TPHOEUF
'noting': TPHOEGT
'notion': TPHOEGS
'noun': TPHOUPB
'nourish': TPHURB
'novel': TPHOFL
'novelty': TPHOFLT
'novice': TPHOFS
'now': TPHOU
'noxious': TPHORBS
'nu': TPH*U
'nuance': TPHAOUPBS
'nub': TPHUB
'nucleotide': TPHRAOEUD
'nucleus': TPHAO*UBGS
'nude': TPHAOUD
'nudge': TPHUPBLG
'nugget': TPHUGT
'nuke': TPHAOUBG
'null': TPHUL
'number': TPHUPL
'numerous': TPHAOUPLS
'nun': TPHUPB
'nurture': TPHAOURT
'nut': TPHUT
'nutrient': TPHAOURPBT
'nutrition': TPHAOURGS
'nymph': TPHEUFRP
'o'clock': KHRO*BG
'oak': OEBG
'oar': AOR
'oat': OET
'oath': O*ET
'object': OBT
'objection': OBGS
'obligate': TKPWHRAEUT
'obligated': TKPWHRAEUTD
'obligation': TKPWHRAUGS
'obnoxious': TPHOERBS
'observation': OFGS
'observe': OEB
'observed': OEBD
'observer': OERB
'obstruct': SPWRUBGT
'obstruction': SPWRUBGS
'obvious': OFB
'occasion': KWAEUGS
'occasional': KWAEULG
'occipital': KPEUPL
'occlusion': KHRAOUBGS
'occupant': OUPT
'occupation': OUPGS
'occupied': OUPD
'occupying': OUPG
'occur': KROEUR
'occurred': KROEURD
'occurrence': KAOURPBS
'occurring': KROEURG
'ocean': OEGS
'ochre': OERBG
'ocular': KHROER
'odd': OD
'ode': OED
'odor': O*ERD
'oeuvre': O*EUFR
'off': OF
'offend': OFPBD
'offender': TPOERPBD
'offense': OFPBS
'offer': OFR
'office': OFS
'officer': OEUF
'official': TPEURBL
'officials': TPEURBLS
'oft': O*FT
'often': OFPB
'ogre': OERG
'ohm': OEPL
'oil': OEUL
'oils': OEULS
'oink': O*EUPBG
'ointment': OEUPLT
'okay': OBG
'older': OERLD
'om': OPL
'omit': OEPLT
'once': WUPBS
'one': WUPB
'one's': W*UPBS
'one-dimensional': 1*D
'onto': OEPBT
'ooh': AO*
'oops': AOPS
'ooze': AOZ
'oozing': AOFG
'op': OP
'openings': OEPGS
'operate': OERPT
'operated': PRAEUTD
'operating': PRAEUGT
'operation': OERPGS
'operator': PROERT
'ophthalmic': THA*BG
'opinion': P-PB
'opinionated': P-PBD
'opportunity': TAOUPBT
'oppose': OPZ
'opposed': PO*EFD
'opt': OPT
'option': OPGS
'oral': ORL
'orange': ORPBG
'orb': O*RB
'orbit': ORBT
'order': ORD
'ordinance': ORPBS
'ordinarily': O*ERLD
'ordinary': OERD
'ore': O*ER
'organ': O*RPBG
'organelle': TKPWR*EL
'organelles': TKPWRELS
'organic': TKPWRO*PBG
'organism': TKPWREUFPL
'organisms': TKPWREUFPLS
'organization': ORGS
'organize': ORG
'organized': ORGD
'organizes': ORGZ
'orient': OEURPBT
'oriental': OEURPBL
'origin': O*RPBLG
'original': ORPBLG
'originality': ORPBLGT
'osteoporosis': PROEFS
'other': OER
'otherwise': O*ERZ
'ouch': OUFP
'ought': OT
'ounce': OUPBS
'ourself': O*URS
'oust': OUFT
'outcome': KWUPL
'outcomes': KWUPLS
'outer': OURT
'output': AOUPT
'outside': OUDZ
'outsider': SWAOEURD
'outstanding': OUPBG
'oval': OEFL
'oven': OEFPB
'overage': AUFRPBLG
'overall': AUFRL
'overnight': AUFRPBT
'overrule': O*FRL
'overruled': OEFRLD
'overruling': OEFRLG
'overt': OEFRT
'overwork': O*FRBG
'ovum': O*EFPL
'ow': OU
'owe': OE
'owl': OUL
'owner': OERPB
'owners': OERPBS
'ownership': OERP
'ox': O*BGS
'oxide': KPAOEUD
'oxygen': SKWRO*EUPBGS
'oz': O*Z
'pH': PH
'pace': PAEUS
'pack': PABG
'package': PAPBLG
'packaged': PAPBLGD
'packet': PABGT
'packets': PABGTS
'pact': PA*BGT
'pad': PAD
'page': PAEUPBLG
'pail': PAEUL
'pain': PAEUPB
'painful': PAEUFL
'painless': PAEUPBLS
'paint': PAEUPBT
'painter': PA*EURPBT
'paintings': PAEUPBGS
'paints': PAEUPBTS
'pair': PAEUR
'pal': PAL
'palate': PALT
'palatial': PHRAEURBL
'palette': PHRET
'pan': PAPB
'pancreas': KRAO*EPS
'pane': PAEPB
'panel': PAPBL
'panels': PAPBLS
'pang': PAPBG
'panic': PA*PBG
'panned': PAPBD
'pant': PAPBT
'pap': PAP
'par': PAR
'parade': PRAD
'paragraph': PRAF
'paragraphs': PRAFS
'parallel': PHREL
'paralysis': PRAELS
'parameter': PRAPLT
'paraphernalia': PAEURPB
'parasympathetic': PR*RBG
'parch': PAFRPB
'pardon': PARD
'pare': PA*ER
'parent': PARPBT
'parietal': PRAOEURLT
'parity': PAEURT
'park': PARBG
'parliament': PAERPLT
'parole': PAERL
'paroled': PROELD
'parrot': PA*EURT
'parse': PARS
'part': PART
'partial': PARBL
'partiality': PARBLT
'participant': PARPT
'participate': PA*EUT
'participated': PA*EUTD
'participating': PA*EUGT
'participation': PARPGS
'particle': PARL
'particular': PHRAR
'particularity': PHRART
'particularly': PHRARL
'particulars': PHRARS
'partner': PARPB
'party': PAERT
'pass': PAS
'passage': PAFPBLG
'passenger': PAEPBG
'passes': PA*FS
'passion': PAGS
'passive': PEUFS
'past': PAFT
'paste': PAEUFT
'pat': PAT
'patch': PAFP
'pate': PAEUT
'path': PA*T
'pathway': TWAEU
'patience': PAEURBS
'patient': PAEURB
'patrol': PROL
'patrolled': TROELD
'patrolling': TROELG
'patrolman': TROEPL
'patrols': TROELS
'patting': PAGT
'paunch': PAUFRPB
'pausing': PAUFG
'pave': PAF
'paved': PAEUFD
'pavement': PAEUFPLT
'paver': PAFR
'paving': PAEUFG
'paw': PAU
'pawn': PAUPB
'payment': PAEUPLT
'payoff': PAUF
'payroll': PAEURL
'pea': PAE
'peace': PAES
'peach': PAEFP
'peak': PAEBG
'peal': PA*EL
'peanut': PAOEPBT
'pear': PAER
'pearl': PERL
'pearls': PERLS
'peasant': PEFPBT
'peat': PAET
'pebble': PEBL
'peck': PEBG
'pedal': P*ELD
'pedestrian': PED
'pediatric': PRAO*EBG
'pediatrician': PRAO*EGS
'pee': PAOE
'peed': PAOED
'peek': PAOEBG
'peel': PAOEL
'peeled': PAOELD
'peen': PAOEPB
'peep': PAOEP
'peer': PAOER
'peering': PAO*ERG
'peeve': PAOEF
'peeved': PAOEFD
'peg': PEG
'pegged': PEGD
'pellet': P*ELT
'pellucid': PHRAOUFD
'pelt': PELT
'pen': PEPB
'penal': PAOEPBL
'penalty': PEPBLT
'pend': PEPBD
'penis': PAO*EPBS
'pent': PEPBT
'pep': PEP
'pepper': PAOERP
'per': PER
'perceive': SPAOEF
'perceived': SPAOEFD
'percent': PERS
'perception': PERPGS
'perch': PEFRPB
'perfection': P-FRGS
'perform': PORPL
'performance': P-FRPBS
'perhaps': PRAPS
'perimeter': PREUPLT
'perineum': PRAO*EPL
'period': PAOERD
'periodontal': PRO*PBL
'peripheral': PREUFL
'perjury': P-RPBLG
'perk': PERBG
'perm': P*ERPL
'permanent': PERPL
'permeable': PERBL
'permit': PERPLT
'persistence': PERPBTS
'persistent': PERPBT
'person': PERPB
'personal': PERPBL
'personality': PERPBLT
'personalty': P*ERPBLT
'perspective': PEF
'pert': PERT
'peruse': PRAOUS
'pest': PEFT
'pestle': PEFL
'pet': PET
'petrolatum': PHRA*PL
'pets': PETS
'petting': PEGT
'pew': PAOU
'phage': TPAEUPBLG
'pharmaceutical': TPAO*UL
'pharmacies': TPAERPLS
'pharmacist': TPAFR
'pharmacy': TPAERPL
'pharyngeal': TPAEURPBL
'pharynx': TPARPBGS
'phenomenal': TPA*L
'phenomenon': TPO*PB
'phew': TPAO*U
'phi': TPAO*E
'philanthropy': TPHRA*PBT
'philosophical': TPO*FL
'philosophy': TPEUFLS
'phlegm': TPHREPL
'phloem': TPHROEPL
'phlox': TPHRO*BGS
'phobia': TPOEUB
'phone': TPOEPB
'phoned': TPOEPBD
'phoning': TPOEPBG
'photo': TPOET
'photograph': TPRAF
'photographer': TPOEFR
'photographers': TPOEFRS
'photographic': TPOEFBG
'photography': TPOEUF
'phrase': TPRAEZ
'phrased': TPRAEUFD
'phrasing': TPRAEUFG
'physical': TPEUS
'physician': TP-GS
'physiology': TPO*LG
'pi': PEU
'picked': PEUBGD
'picket': PEUBGT
'pickets': PEUBGTS
'pickup': P*UP
'pictured': P*EUFPD
'picturing': P*EUFPG
'pie': PAOEU
'pieces': PAOEFS
'pier': PAO*ER
'pierce': PAOERS
'piffle': PEUFL
'pig': PEUG
'pigeon': PEUGS
'pigment': PEUPLT
'pike': PAOEUBG
'piled': PAOEULD
'piling': PAOEULG
'pilings': PAOEULGS
'pill': PEUL
'pillage': PEULG
'pilot': PAOEULT
'pimp': P*EUPL
'pimple': PEUFRPL
'pin': PEUPB
'pinch': PEUFRPB
'pine': PAOEUPB
'ping': PEUPBG
'pink': P*EUPBG
'pinned': PEUPBD
'pint': PAOEUPBT
'pip': PEUP
'pipe': PAOEUP
'pique': PAO*EBG
'pirate': PAOEURT
'pistol': P*EULS
'pit': PEUT
'pitch': PEUFP
'pith': P*EUT
'pivot': PEUFT
'pizza': PEUZ
'placebo': PHROEUB
'placed': PHRAEUFD
'placement': PHRAEUPLT
'placing': PHRAEUFG
'plague': PHRA*EUG
'plaice': PHRA*EUS
'plaid': PHRAD
'plain': PHRAEUPB
'plaint': PHRAEUPBT
'plaintiff': PHR-F
'plait': PHRA*EUT
'plan': PHRAPB
'plane': PHRAEPB
'planes': PHRAEPBS
'planet': PHRAEPBT
'planets': PHRA*PBTS
'plank': PHRA*PBG
'planned': PHRAPBD
'planner': PHRAERP
'planning': PHRAPBG
'plant': PHRAPBT
'plants': PHRAPBTS
'plaque': PHRABG
'plasm': PHRAFPL
'plasma': PHROEUFP
'plasmid': PHRAFPD
'plaster': PHRAFRT
'plastic': PHR-FBG
'plat': PHRAT
'plate': PHRAET
'platelet': PHRAEULT
'platelets': PHRAEULTSZ
'plates': PHRAEUTS
'platform': PHRORPL
'platforms': PHRORPLS
'plausible': PHRAUBL
'play': PHRAEU
'player': PHRAEUR
'players': PHRAEURS
'playful': PHRAEUFL
'plead': PHRAOED
'pleas': PHRAOEZ
'pleasant': PHREFPBT
'please': PHRES
'pleasing': PHRAOEFG
'pleasure': PHRERB
'pleat': PHRAOET
'pledge': PHREPBLG
'pledged': PHREPBLGD
'plenty': PHREPBT
'pleura': PHRAO*UR
'pleural': PHR*URL
'plexus': PHR*EBGS
'pliability': PHRAOEUBLT
'pliable': PHRAOEUBL
'pliant': PHRAOEUPBT
'plied': PHRAOEUD
'plier': PHRAOEUR
'plight': PHRAOEUGT
'plink': PHR*EUPBG
'plinth': PHR*EUPBT
'plod': PHROD
'plonk': PHRO*PBG
'plop': PHROP
'plot': PHROT
'plover': PHRO*FR
'plow': PHROU
