Single-Stroke Briefs
'chloral': KHRORL
'chloride': KHROERD
'chlorine': KHRORPB
'chock': KHOBG
'choir': KHOEUR
'choke': KHOEBG
'choked': KHOEBGD
'cholesterol': KHRO*L
'chomp': KHOFRP
'chop': KHOP
'chopped': KHOPD
'chopping': KHOPG
'choral': KHORL
'chord': KHORD
'chore': KHOR
'choroid': KRO*EUD
'chorus': KHOURS
'chosen': KHOEFPB
'chow': KHOU
'chrome': KROEPL
'chromosome': SKROEPL
'chronic': KRO*BG
'chub': KHUB
'chuck': KHUBG
'chug': KHUG
'chum': KHUPL
'chump': KHUFRP
'chunk': KH*UPG
'churl': KHURL
'churn': KHURPB
'chute': KHAOUT
'chyme': KHAO*EUPL
'ciao': KHO*U
'cigar': STKPWAR
'cigarette': STKPWRET
'cinch': SEUFRPB
'cipher': SAOEUFR
'circled': SOEURBGD
'circuit': SEURBGT
'circulation': SHRAEURBGS
'cite': KRAOEUT
'cited': KRAOEUTD
'citric': STR*EUBG
'civic': SEUFBG
'civil': SEUFL
'civility': SEUFLT
'civilization': SEUFLGS
'clack': KHRABG
'clad': KHRAD
'claim': KHRAEUPL
'claimant': KHRAEUPLT
'clam': KHRAPL
'clamp': KHRAFRP
'clan': KHRAPB
'clang': KHRAPBG
'clank': KHRA*PBG
'clap': KHRAP
'clarity': KHRAEURT
'clash': KHRARB
'clasp': KHRAFP
'class': KHRAS
'classes': KHRASZ
'classic': KHRA*G
'classical': KHRAL
'classicism': KHREUFPL
'classification': KHRAEUFGS
'classroom': KHRAOPL
'clause': KHRAUS
'clave': KHRAEUF
'claw': KHRAU
'clay': KHRAEU
'clean': KHRAOEPB
'cleaner': KHRAOERPB
'cleanup': KHR*UP
'clearance': KHRAOERBS
'clearness': KHRAO*ERPBS
'cleat': KHRAOET
'cleavage': KHRAO*EFPBLG
'cleave': KHRAOEF
'cleaved': KHRAOEFD
'cleaver': KHRAOEFR
'cleaving': KHRAOEFG
'clef': KHREF
'cleft': KHREFT
'clement': KHREPLT
'clench': KHREFRPB
'clerk': KHRERBG
'clever': KHREFR
'click': KHREUBG
'client': KHRAOEUPBT
'cliff': KHREUF
