A Society
'for': TPOR
'over': OEFR
'five': TPAOEUF
'years,': KWRAOERS/KW-BG
'and': SKP
'that': THA
'though': THOE
'the': -T
'results': RULTS
'were': WR
'bound': PWOUPBD
'to': TO
'be': -B
'inconclusive—here': EUPB/KAUPB/KHRAOUS/EUF/EPL/TKA*RB/HAOER
'Castalia': KPA/KAFT/A*L/SKWREU/KWRA
'nudged': TPHUPBLG/-D
'me': PHE
'and': SKP
'whispered': WHEUS/PERD
'that': THA
'she': SHE
'was': WAS
'not': TPHOT
'so': SO
'sure': SHUR
'about': PW
'that.': THA/TP-PL
'Then': KPA/THEPB
'she': SHE
'got': TKPWOT
'up,': UP/KW-BG
'and,': SKP/KW-BG
'interrupting': EUPBT/RUPT/-G
'Jane': SKWRAEUPB
'in': TPH
'the': -T
'middle': PH*EULD
'of': -F
'a': AEU
'sentence,': STEPBS/KW-BG
'said:': SED/STPH-FPLT
'"Before': KW-GS/KPA*/PW-FR
'you': U
'say': SAEU
'any': TPHEU
'more,': PHOR/KW-BG
'I': EU
'want': WAPBT
'to': TO
'know—am': TPHOE/EPL/TKA*RB/APL
'I': EU
'to': TO
'stay': STAEU
'in': TPH
'the': -T
'room?': RAOPL/H-F
'Because,"': KPA/PWAU/KW-BG/KR-GS
'she': SHE
'added,': AD/-D/KW-BG
'"I': KW-GS/EU
'have': SR
'to': TO
'confess': KAUPB/TPES
'that': THA
'I': EU
'am': APL
'an': APB
'impure': *EUPL/PAOUR
'woman."': WOPL/TP-PL/KR-GS
'Everyone': KPA/EFRPB
'looked': HRAOBGD
'at': AT
'her': HER
'in': TPH
'astonishment.': AS/TOPB/SH-PLT/TP-PL
'"You': KW-GS/KPA*/U
'are': R
'going': TKPW-G
'to': TO
'have': SR
'a': AEU
'baby?"': PWAEB/H-F/KR-GS
'asked': SK-D
'Jane.': SKWRAEUPB/TP-PL
'She': KPA/SHE
'nodded': TPHOD/-D
'her': HER
'head.': HED/TP-PL
'It': KPA/T
'was': WAS
'extraordinary': KPRORD
'to': TO
'see': SAOE
'the': -T
'different': TKEUFRT
'expressions': EBGS/PREGSZ
'on': OPB
'their': THAEUR
'faces.': TPAEUFS/TP-PL
'A': KPA/AEU
'sort': SORT
'of': -F
'hum': HUPL
'went': WEPBT
'through': THRU
'the': -T
'room,': RAOPL/KW-BG
'in': TPH
'which': WEU
'I': EU
'could': KO
'catch': KAFP
'the': -T
'words': WORDZ
'"impure,"': KW-GS/*EUPL/PAOUR/KW-BG/KR-GS
'"baby,"': KW-GS/PWAEB/KW-BG/KR-GS
'"Castalia,"': KW-GS/KPA/KAFT/A*L/SKWREU/KWRA/KW-BG/KR-GS
'and': SKP
'so': SO
'on.': OPB/TP-PL
'Jane,': SKWRAEUPB/KW-BG
'who': WHO
'was': WAS
'herself': H*ERS
'considerably': KRAEBL
'moved,': PHOFD/KW-BG
'put': PUT
'it': T
'to': TO
'us:': US/STPH-FPLT
'"Shall': KW-GS/KPA*/SHAL
'she': SHE
'go?': TKPW/H-F
'Is': KPA/S
'she': SHE
'impure?"': *EUPL/PAOUR/H-F/KR-GS
'Such': KPA/SUFP
'a': AEU
'roar': ROR
'filled': TPEULD
'the': -T
'room': RAOPL
'as': AS
'might': PHAOEUT
'have': SR
'been': PW-PB
'heard': HAERD
'in': TPH
'the': -T
'street': STRAOET
'outside.': OUDZ/TP-PL
'"No!': KW-GS/KPA*/TPHO/SKHRAPL
'No!': KPA/TPHO/SKHRAPL
'No!': KPA/TPHO/SKHRAPL
'Let': KPA/HRET
'her': HER
'stay!': STAEU/SKHRAPL
'Impure?': KPA/*EUPL/PAOUR/H-F
'Fiddlesticks!"': TP*P/*EU/TK*/TK*/HR*/EFT/EUBG/*BG/-S/SKHRAPL/KR-GS
'Yet': KPA/KWRET
'I': EU
'fancied': TPAPB/SEU/-D
'that': THA
'some': SOPL
'of': -F
'the': -T
'youngest,': KWRUPBG/EFT/KW-BG
'girls': TKPWEURLS
'of': -F
'nineteen': TPHAOEUPB/TAOEPB
'or': OR
'twenty,': TWEPBT/KW-BG
'held': HELD
'back': PWABG
'as': AS
'if': TP
'overcome': AUFR/KOPL
'with': W
'shyness.': SHAOEU/-PBS/TP-PL
'Then': KPA/THEPB
'we': WE
'all': AUL
'came': KAEUPL
'about': PW
'her': HER
'and': SKP
'began': TKPWAPB
'asking': SK-G
'questions,': KWES/KW-BG
'and': SKP
'at': AT
'last': HRAFT
'I': EU
'saw': SAU
'one': WUPB
'of': -F
'the': -T
'youngest,': KWRUPBG/EFT/KW-BG
'who': WHO
'had': H
'kept': KEPT
'in': TPH
'the': -T
'background,': PW-GD/KW-BG
'approach': PROEFP
'shyly': SHAOEU/HREU
'and': SKP
'say': SAEU
'to': TO
'her:': HER/STPH-FPLT
'"What': KW-GS/KPA*/WHA
'is': S
'chastity': KHAFT/TEU
'then?': THEPB/H-F
'I': EU
'mean': PHAOEPB
'is': S
'it': T
'good,': TKPWAOD/KW-BG
'or': OR
'is': S
'it': T
'bad,': PWAD/KW-BG
'or': OR
'is': S
'it': T
'nothing': TPHOG
'at': AT
'all?"': AUL/H-F/KR-GS
'She': KPA/SHE
'replied': RE/PHRAOEUD
'so': SO
'low': HROE
'that': THA
'I': EU
'could': KO
'not': TPHOT
'catch': KAFP
'what': WHA
'she': SHE
'said.': SED/TP-PL
'"You': KW-GS/KPA*/U
'know': TPHOE
'I': EU
'was': WAS
'shocked,"': SHOBGD/KW-BG/KR-GS
'said': SED
'another,': TPHOER/KW-BG
'"for': KW-GS/TPOR
'at': AT
'least': HRAOEFT
'ten': TEPB
'minutes."': PHEUPBS/TP-PL/KR-GS
'"In': KW-GS/KPA*/TPH
'my': PHEU
'opinion,"': P-PB/KW-BG/KR-GS
'said': SED
'Poll,': KPA/POL/KW-BG
'who': WHO
'was': WAS
'growing': TKPWROEG
'crusty': KRUS/TEU
'from': TPR
'always': AULS
'reading': RAEGD
'in': TPH
'the': -T
'London': HROPBD/OPB
'Library,': KPA/HRAOEURB/KW-BG
'"chastity': KW-GS/KHAFT/TEU
'is': S
'nothing': TPHOG
'but': PWUT
'ignorance—a': EUG/RAPBS/EPL/TKA*RB/AEU
'most': PHOFT
'discreditable': TKEUS/KREBL
'state': STAEUT
'of': -F
'mind.': PHAOEUPBD/TP-PL
'We': KPA/WE
'should': SHO
'admit': TKPHEUT
'only': OEPBL
'the': -T
'unchaste': UPB/KHAEUFT
'to': TO
'our': OUR
'society.': SOET/TP-PL
'I': EU
'vote': SROET
'that': THA
'Castalia': KPA/KAFT/A*L/SKWREU/KWRA
'shall': SHAL
'be': -B
'our': OUR
'President."': P*T/TP-PL/KR-GS
'This': KPA/TH
'was': WAS
'violently': SRAOEUL/HREPBT/HREU
'disputed.': TKEUS/PAOUT/-D/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'as': AS
'unfair': UPB/TPAEUR
'to': TO
'brand': PWRAPBD
'women': WEUPL
'with': W
'chastity': KHAFT/TEU
'as': AS
'with': W
'unchastity,"': UPB/KHAFT/TEU/KW-BG/KR-GS
'said': SED
'Poll.': KPA/POL/TP-PL
'"Some': KW-GS/KPA*/SOPL
'of': -F
'us': US
'haven't': SR-PB
'the': -T
'opportunity': TAOUPBT
'either.': AOERT/TP-PL
'Moreover,': KPA/PHROEFR/KW-BG
'I': EU
'don't': TKOEPBT
'believe': PWHREF
'Cassy': KR*P/KWRA/-S/-S/KWREU
'herself': H*ERS
'maintains': PHAEUPB/TAEUPBS
'that': THA
'she': SHE
'acted': ABGD
'as': AS
'she': SHE
'did': TK
'from': TPR
'a': AEU
'pure': PAOUR
'love': HRUF
'of': -F
'knowledge."': TPHOPBLG/TP-PL/KR-GS
'"He': KW-GS/KPA*/HE
'is': S
'only': OEPBL
'twenty-one': TWEPBT/WUPB
'and': SKP
'divinely': TKWAOEUPB/HREU
'beautiful,"': PWAOUFL/KW-BG/KR-GS
'said': SED
'Cassy,': KR*P/KWRA/-S/-S/KWREU/KW-BG
'with': W
'a': AEU
'ravishing': RAF/EURB/-G
'gesture.': SKWRES/TUR/TP-PL
'"I': KW-GS/EU
'move,"': PHOF/KW-BG/KR-GS
'said': SED
'Helen,': HEL/*EPB/KW-BG
'"that': KW-GS/THA
'no': TPHO
'one': WUPB
'be': -B
'allowed': HRO*UD
'to': TO
'talk': TAUBG
'of': -F
'chastity': KHAFT/TEU
'or': OR
'unchastity': UPB/KHAFT/TEU
'save': SAF
'those': THOZ
'who': WHO
'are': R
'in': TPH
'love."': HRUF/TP-PL/KR-GS
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'bother,"': PWOER/KW-BG/KR-GS
'said': SED
'Judith,': SKWRUD/*EUT/KW-BG
'who': WHO
'had': H
'been': PW-PB
'enquiring': EPB/KWAOEUR/-G
'into': TPHAO
'scientific': SKEUFBG
'matters,': PHAERTS/KW-BG
'"I'm': KW-GS/AOEUPL
'not': TPHOT
'in': TPH
'love': HRUF
'and': SKP
'I'm': AOEUPL
'longing': HROPBG/-G
'to': TO
'explain': SPHRAEUPB
'my': PHEU
'measures': PH-RBS
'for': TPOR
'dispensing': TKPEPBS/-G
'with': W
'prostitutes': PROS/TAOUTS
'and': SKP
'fertilizing': TPERLT/AOEUZ/-G
'virgins': SREURPB/-S
'by': PWEU
'Act': A*BGT
'of': -F
'Parliament."': KPA/PAERPLT/TP-PL/KR-GS
'She': KPA/SHE
'went': WEPBT
'on': OPB
'to': TO
'tell': TEL
'us': US
'of': -F
'an': APB
'invention': EUPB/SREPBGS
'of': -F
'hers': HERS
'to': TO
'be': -B
'erected': AOE/REBGD
'at': AT
'Tube': KPA/TAOUB
'stations': STAEUGS/-S
'and': SKP
'other': OER
'public': PHREUBG
'resorts,': RAOE/SORTS/KW-BG
'which,': WEU/KW-BG
'upon': POPB
'payment': PAEUPLT
'of': -F
'a': AEU
'small': SPHAL
'fee,': TPAOE/KW-BG
'would': WO
'safeguard': SAEUF/TKPWARD
'the': -T
'nation's': TPH-GS/AES
'health,': H*ELT/KW-BG
'accommodate': ABG/TKAEUT
'its': EUTS
'sons,': SOPBS/KW-BG
'and': SKP
'relieve': RE/HREF
'its': EUTS
'daughters.': TKAURS/TP-PL
'Then': KPA/THEPB
'she': SHE
'had': H
'contrived': KAUPB/TRAOEUFD
'a': AEU
'method': PHO*D
'of': -F
'preserving': PRAOE/SER/-FG
'in': TPH
'sealed': SAOELD
'tubes': TAOUBS
'the': -T
'germs': SKWRERPLS
'of': -F
'future': TPAOURT
'Lord': HRO*RD
'Chancellors': KPA/KHAPBS/HROR/-S
'"or': KW-GS/OR
'poets': POETS
'or': OR
'painters': PA*EURPBTS
'or': OR
'musicians,"': PHAOUGSZ/KW-BG/KR-GS
'she': SHE
'went': WEPBT
'on,': OPB/KW-BG
'"supposing,': KW-GS/SPOEFG/KW-BG
'that': THA
'is': S
'to': TO
'say,': SAEU/KW-BG
'that': THA
'these': THEZ
'breeds': PWRAOEDZ
'are': R
'not': TPHOT
'extinct,': EBGS/TEUPBG/KW-BG
'and': SKP
'that': THA
'women': WEUPL
'still': STEUL
'wish': WEURB
'to': TO
'bear': PWAER
'children——"': KHEURPB/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'"Of': KW-GS/KPA*/-F
'course': KORS
'we': WE
'wish': WEURB
'to': TO
'bear': PWAER
'children!"': KHEURPB/SKHRAPL/KR-GS
'cried': KRAOEUD
'Castalia,': KPA/KAFT/A*L/SKWREU/KWRA/KW-BG
'impatiently.': EUPL/PAEURBT/HREU/TP-PL
'Jane': SKWRAEUPB
'rapped': RAP/P-D
'the': -T
'table.': TAEUBL/TP-PL
'"That': KW-GS/KPA*/THA
'is': S
'the': -T
'very': SRE
'point': POEUPBT
'we': WE
'are': R
'met': PHET
'to': TO
'consider,"': KR/KW-BG/KR-GS
'she': SHE
'said.': SED/TP-PL
'"For': KW-GS/KPA*/TPOR
'five': TPAOEUF
'years': KWRAOERS
'we': WE
'have': SR
'been': PW-PB
'trying': TRAOEUG
'to': TO
'find': TPAOEUPBD
'out': OUT
'whether': WHR
'we': WE
'are': R
'justified': SKWRUFD
'in': TPH
'continuing': T-PBG
'the': -T
'human': HAOUPL
'race.': RAEUS/TP-PL
'Castalia': KPA/KAFT/A*L/SKWREU/KWRA
'has': HAS
'anticipated': SPAEUTD
'our': OUR
'decision.': STKEUGS/TP-PL
'But': KPA/PWUT
'it': T
'remains': RE/PHAEUPBS
'for': TPOR
'the': -T
'rest': REFT
'of': -F
'us': US
'to': TO
'make': PHAEUBG
'up': UP
'our': OUR
'minds."': PHAOEUPBDZ/TP-PL/KR-GS
'Here': KPA/HAOER
'one': WUPB
'after': AF
'another': TPHOER
'of': -F
'our': OUR
'messengers': PHAEPBG/-S
'rose': ROEZ
'and': SKP
'delivered': TKHREUFRD
'their': THAEUR
'reports.': RORPS/TP-PL
'The': KPA/-T
'marvels': PHAFRL/-S
'of': -F
'civilisation': SEUFLGS/A*U
'far': TPAR
'exceeded': EBGS/SAOED/-D
'our': OUR
'expectations,': KP-PT/AEUGSZ/KW-BG
'and,': SKP/KW-BG
'as': AS
'we': WE
'learnt': HRERPBT
'for': TPOR
'the': -T
'first': TPEUFRT
'time': TAOEUPL
'how': HOU
'man': PHAPB
'flies': TPHRAOEUS
'in': TPH
'the': -T
'air,': AEUR/KW-BG
'talks': TAUBGS
'across': KRAOS
'space,': SPAEUS/KW-BG
'penetrates': PEPB/TRAEUTS
'to': TO
'the': -T
'heart': HART
'of': -F
'an': APB
'atom,': TOPLT/KW-BG
'and': SKP
'embraces': EPL/PWRAEUS/-S
'the': -T
'universe': AOUFRS
'in': TPH
'his': HEUS
'speculations,': SPEBG/HRAEUGS/-S/KW-BG
'a': AEU
'murmur': PHUR/PHUR
'of': -F
'admiration': AD/PHEUR/AEUGS
'burst': PWUFRT
'from': TPR
'our': OUR
'lips.': HREUPS/TP-PL
'"We': KW-GS/KPA*/WE
'are': R
'proud,"': PROUD/KW-BG/KR-GS
'we': WE
'cried,': KRAOEUD/KW-BG
'"that': KW-GS/THA
'our': OUR
'mothers': PHOERS
'sacrificed': SARBG/TPAOEUFD
'their': THAEUR
'youth': KWRAO*UT
'in': TPH
'such': SUFP
'a': AEU
'cause': KAUS
'as': AS
'this!"': TH/SKHRAPL/KR-GS
'Castalia,': KPA/KAFT/A*L/SKWREU/KWRA/KW-BG
'who': WHO
'had': H
'been': PW-PB
'listening': HR-PBG
'intently,': EUPB/TEPBT/HREU/KW-BG
'looked': HRAOBGD
'prouder': PROURD
'than': THAPB
'all': AUL
'the': -T
'rest.': REFT/TP-PL
'Then': KPA/THEPB
'Jane': SKWRAEUPB
'reminded': RE/PHAOEUPBD/T-D
'us': US
'that': THA
'we': WE
'had': H
'still': STEUL
'much': PHUFP
'to': TO
'learn,': HRERPB/KW-BG
'and': SKP
'Castalia': KPA/KAFT/A*L/SKWREU/KWRA
'begged': PWEGD
'us': US
'to': TO
'make': PHAEUBG
'haste.': HAEUFT/TP-PL
'On': KPA/OPB
'we': WE
'went': WEPBT
'through': THRU
'a': AEU
'vast': SRAFT
'tangle': TAPBG/*L
'of': -F
'statistics.': ST*BGS/TP-PL
'We': KPA/WE
'learnt': HRERPBT
'that': THA
'England': TKPWHRAEPBD
'has': HAS
'a': AEU
'population': PHRAEUGS
'of': -F
'so': SO
'many': PHAEPB
'millions,': PH-LS/KW-BG
'and': SKP
'that': THA
'such': SUFP
'and': SKP
'such': SUFP
'a': AEU
'proportion': PORPGS
'of': -F
'them': THEPL
'is': S
'constantly': SKA*PBLT
'hungry': HUPBG/REU
'and': SKP
'in': TPH
'prison;': PREUZ/STPH*FPLT
'that': THA
'the': -T
'average': AFRG
'size': SAOEUZ
'of': -F
'a': AEU
'working': WOG
'man's': PHAPB/AES
'family': TPAEPL
'is': S
'such,': SUFP/KW-BG
'and': SKP
'that': THA
'so': SO
'great': TKPWRAET
'a': AEU
'percentage': PERS/APBLG
'of': -F
'women': WEUPL
'die': TKAOEU
'from': TPR
'maladies': PHAL/TKEU/-S
'incident': STK*EPBT
'to': TO
'childbirth.': KHAOEULD/PW*EURT/TP-PL
'Reports': KPA/RORPS
'were': WR
'read': RAED
'of': -F
'visits': SREUFTS
'to': TO
'factories,': TPABG/TREUS/KW-BG
'shops,': SHOPS/KW-BG
'slums,': SHRUPLS/KW-BG
'and': SKP
'dockyards.': TKOBG/TK-LS/KWRARDZ/TP-PL
'Descriptions': KPA/SKREUFPGS
'were': WR
'given': TKPWEUFPB
'of': -F
'the': -T
'Stock': KPA/STOBG
'Exchange,': KPA/KPAEUPBG/KW-BG
'of': -F
'a': AEU
'gigantic': SKWRAOEU/TKPWAPBT/EUBG
'house': HOUS
'of': -F
'business': PWEUS
'in': TPH
'the': -T
'City,': ST*EU/KW-BG
'and': SKP
'of': -F
'a': AEU
'Government': KPA/TKPWOFT
'Office.': KPA/OFS/TP-PL
'The': KPA/-T
'British': PWREURB
'Colonies': KPA/KOL/TPHEUS
'were': WR
'now': TPHOU
'discussed,': STKUFD/KW-BG
'and': SKP
'some': SOPL
'account': K-T
'was': WAS
'given': TKPWEUFPB
'of': -F
'our': OUR
'rule': RAOUL
'in': TPH
'India,': EUPBD/KWRARBGS
'Africa': AFRBG
'and': SKP
'Ireland.': AOEURLD/TP-PL
'I': EU
'was': WAS
'sitting': SEUGT
'by': PWEU
'Castalia': KPA/KAFT/A*L/SKWREU/KWRA
'and': SKP
'I': EU
'noticed': TPH-TS/-D
'her': HER
'uneasiness.': UPB/EZ/-PBS/TP-PL
'"We': KW-GS/KPA*/WE
'shall': SHAL
'never': TPHEFR
'come': KOPL
'to': TO
'any': TPHEU
'conclusion': KHRAO*UGS
'at': AT
'all': AUL
'at': AT
'this': TH
'rate,"': RAEURBGTS/KR-GS
'she': SHE
'said.': SED/TP-PL
'"As': KW-GS/KPA*/AS
'it': T
'appears': A/PAOERS
'that': THA
'civilisation': SEUFLGS/A*U
'is': S
'so': SO
'much': PHUFP
'more': PHOR
'complex': KPHREBGS
'than': THAPB
'we': WE
'had': H
'any': TPHEU
'notion,': TPHOEGS/KW-BG
'would': WO
'it': T
'not': TPHOT
'be': -B
'better': PWOERT
'to': TO
'confine': KAUPB/TPAOEUPB
'ourselves': O*URSZ
'to': TO
'our': OUR
'original': ORPBLG
'enquiry?': EPB/KWAOEUR/KWREU/H-F
'We': KPA/WE
'agreed': TKPWRAED
'that': THA
'it': T
'was': WAS
'the': -T
'object': OBT
'of': -F
'life': HRAOEUF
'to': TO
'produce': PROU
'good': TKPWAOD
'people': PAOEPL
'and': SKP
'good': TKPWAOD
'books.': PWAOBGS/TP-PL
'All': KPA/AUL
'this': TH
'time': TAOEUPL
'we': WE
'have': SR
'been': PW-PB
'talking': TAUG
'of': -F
'aeroplanes,': A*ER/PHRAEPBS/A*U/KW-BG
'factories,': TPABG/TREUS/KW-BG
'and': SKP
'money.': PHUPB/TP-PL
'Let': KPA/HRET
'us': US
'talk': TAUBG
'about': PW
'men': PHEPB
'themselves': TH*EPLS
'and': SKP
'their': THAEUR
'arts,': ARTS/KW-BG
'for': TPOR
'that': THA
'is': S
'the': -T
'heart': HART
'of': -F
'the': -T
'matter."': PHAERT/TP-PL/KR-GS
'So': KPA/SO
'the': -T
'diners': TKAOEUPB/ERS
'out': OUT
'stepped': STEPD
'forward': TPAORD
'with': W
'long': HROPBG
'slips': SHREUPS
'of': -F
'paper': PAEUP
'containing': KAUPB/TAEUPBG
'answers': AEPBS/-S
'to': TO
'their': THAEUR
'questions.': KWES/TP-PL
'These': KPA/THEZ
'had': H
'been': PW-PB
'framed': TPRAEUPLD
'after': AF
'much': PHUFP
'consideration.': K-RGS/TP-PL
'A': KPA/AEU
'good': TKPWAOD
'man,': PHAPB/KW-BG
'we': WE
'had': H
'agreed,': TKPWRAED/KW-BG
'must': PHUFT
'at': AT
'any': TPHEU
'rate': RAEUT
'be': -B
'honest,': HOPBS/KW-BG
'passionate,': PAGS/A*T/KW-BG
'and': SKP
'unworldly.': UPB/WORLD/HREU/TP-PL
'But': KPA/PWUT
'whether': WHR
'or': OR
'not': TPHOT
'a': AEU
'particular': PHRAR
'man': PHAPB
'possessed': POS/ES/-D
'those': THOZ
'qualities': KWALTS
'could': KO
'only': OEPBL
'be': -B
'discovered': SKOFD
'by': PWEU
'asking': SK-G
'questions,': KWES/KW-BG
'often': OFPB
'beginning': TKPWEUPB/-G
'at': AT
'a': AEU
'remote': RAOEPLT
'distance': STKAPBS
'from': TPR
'the': -T
'centre.': STR/A*U/TP-PL
'Is': KPA/S
'Kensington': K*P/*E/TPH*/S*/*EU/TPH*/TKPW*/T*/KWRO/*PB
'a': AEU
'nice': TPHAOEUS
'place': PHRAEUS
'to': TO
'live': HREUF
'in?': TPH/H-F
'Where': KPA/W-R
'is': S
'your': KWROUR
'son': SOPB
'being': -BG
'educated—and': TAEUBGTD/EPL/TKA*RB/SKP
'your': KWROUR
'daughter?': TKAUR/H-F
'Now': KPA/TPHOU
'please': PHRES
'tell': TEL
'me,': PHE/KW-BG
'what': WHA
'do': TKO
'you': U
'pay': PAEU
'for': TPOR
'your': KWROUR
'cigars?': SEUG/ARS/H-F
'By': KPA/PWEU
'the': -T
'way,': WAEU/KW-BG
'is': S
'Sir': KPA/SEUR
'Joseph': SKWROE/SEF
'a': AEU
'baronet': PWAR/ROPB/ET
'or': OR
'only': OEPBL
'a': AEU
'knight?': TPHAO*EUT/H-F
'Often': KPA/OFPB
'it': T
'seemed': SAOEPLD
'that': THA
'we': WE
'learnt': HRERPBT
'more': PHOR
'from': TPR
'trivial': TREUFL
'questions': KWES
'of': -F
'this': TH
'kind': KEUPBD
'than': THAPB
'from': TPR
'more': PHOR
'direct': TKREBGT
'ones.': WUPBZ/TP-PL
'"I': KW-GS/EU
'accepted': SEPD
'my': PHEU
'peerage,"': PAOER/APBLG/KW-BG/KR-GS
'said': SED
'Lord': HRO*RD
'Bunkum,': KPA/PW*UPBG/*UPL/KW-BG
'"because': KW-GS/PWAU
'my': PHEU
'wife': WAOEUF
'wished': WEURBD
'it."': T/TP-PL/KR-GS
'I': EU
'forget': TPORGT
'how': HOU
'many': PHAEPB
'titles': TAOEULTS
'were': WR
'accepted': SEPD
'for': TPOR
'the': -T
'same': SAEUPL
'reason.': R-PB/TP-PL
'"Working': KW-GS/KPA*/WOG
'fifteen': TPEUF/TAOEPB
'hours': HOURS
'out': OUT
'of': -F
'the': -T
'twenty-four,': TWEPBT/TPOUR/KW-BG
'as': AS
'I': EU
'do——"': TKO/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'ten': TEPB
'thousand': THOUD
'professional': PREPBL
'men': PHEPB
'began.': TKPWAPB/TP-PL
'"No,': KW-GS/KPA*/TPHO/KW-BG
'no,': TPHORBGS
'of': -F
'course': KORS
'you': U
'can': K
'neither': TPHAOERT
'read': RAED
'nor': TPH-R
'write.': WREU/TP-PL
'But': KPA/PWUT
'why': KWR
'do': TKO
'you': U
'work': WORBG
'so': SO
'hard?"': HARD/H-F/KR-GS
'"My': KW-GS/KPA*/PHEU
'dear': TKAER
'lady,': HRA*ED/KW-BG
'with': W
'a': AEU
'growing': TKPWROEG
'family——"': TPAEPL/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'"But': KW-GS/KPA*/PWUT
'why': KWR
'does': TKOS
'your': KWROUR
'family': TPAEPL
'grow?"': TKPWROE/H-F/KR-GS
'Their': KPA/THAEUR
'wives': WAOEUFS
'wished': WEURBD
'that': THA
'too,': TAO/KW-BG
'or': OR
'perhaps': PRAPS
'it': T
'was': WAS
'the': -T
'British': PWREURB
'Empire.': *EPL/PAOEUR/TP-PL
'But': KPA/PWUT
'more': PHOR
'significant': SEUG
'than': THAPB
'the': -T
'answers': AEPBS/-S
'were': WR
'the': -T
'refusals': RE/TPAOUFLS
'to': TO
'answer.': AEPBS/TP-PL
'Very': KPA/SRE
'few': TPAOU
'would': WO
'reply': RE/PHRAOEU
'at': AT
'all': AUL
'to': TO
'questions': KWES
'about': PW
'morality': PHORLT
'and': SKP
'religion,': RE/HR-GS/KW-BG
'and': SKP
'such': SUFP
'answers': AEPBS/-S
'as': AS
'were': WR
'given': TKPWEUFPB
'were': WR
'not': TPHOT
'serious.': SAOERS/TP-PL
'Questions': KPA/KWES
'as': AS
'to': TO
'the': -T
'value': SRAOUL
'of': -F
'money': PHUPB
'and': SKP
'power': POUR
'were': WR
'almost': HR-PL
'invariably': EUPB/SRAEURBL
'brushed': PWRURBD
'aside,': A/SAOEUD/KW-BG
'or': OR
'pressed': PREFD
'at': AT
'extreme': KPAO*EPL
'risk': REUFBG
'to': TO
'the': -T
'asker.': SK-R/TP-PL
'"I'm': KW-GS/AOEUPL
'sure,"': SHAOURBGS/KR-GS
'said': SED
'Jill,': SKWREUL/KW-BG
'"that': KW-GS/THA
'if': TP
'Sir': KPA/SEUR
'Harley': HAR/HREU
'Tightboots': KPA/TAOEUT/TK-LS/PWAOTS
'hadn't': H-PBT
'been': PW-PB
'carving': KAFRBG
'the': -T
'mutton': PHUT/O*PB
'when': WHEPB
'I': EU
'asked': SK-D
'him': HEUPL
'about': PW
'the': -T
'capitalist': KA*L/EUFT
'system': S-PL
'he': HE
'would': WO
'have': SR
'cut': KUT
'my': PHEU
'throat.': THROET/TP-PL
'The': KPA/-T
'only': OEPBL
'reason': R-PB
'why': KWR
'we': WE
'escaped': SKAEPD
'with': W
'our': OUR
'lives': HREUFS
'over': OEFR
'and': SKP
'over': OEFR
'again': TKPWEPB
'is': S
'that': THA
'men': PHEPB
'are': R
'at': AT
'once': WUPBS
'so': SO
'hungry': HUPBG/REU
'and': SKP
'so': SO
'chivalrous.': SHEUFL/ROUS/TP-PL
'They': KPA/THE
'despise': STKPAOEUZ
'us': US
'too': TAO
'much': PHUFP
'to': TO
'mind': PHAOEUPBD
'what': WHA
'we': WE
'say."': SAEU/TP-PL/KR-GS
'"Of': KW-GS/KPA*/-F
'course': KORS
'they': THE
'despise': STKPAOEUZ
'us,"': US/KW-BG/KR-GS
'said': SED
'Eleanor.': EL/TPHOR/TP-PL
'"At': KW-GS/KPA*/AT
'the': -T
'same': SAEUPL
'time': TAOEUPL
'how': HOU
'do': TKO
'you': U
'account': K-T
'for': TPOR
'this—I': TH/EPL/TKA*RB/EU
'made': PHAED
'enquiries': EPB/KWAOEUR/KWREU/KWREUS
'among': PHOPBG
'the': -T
'artists.': TR-FTS/TP-PL
'Now,': KPA/TPHOU/KW-BG
'no': TPHO
'woman': WOPL
'has': HAS
'ever': -FR
'been': PW-PB
'an': APB
'artist,': TR-FT/KW-BG
'has': HAS
'she,': SHE/KW-BG
'Poll?"': KPA/POL/H-F/KR-GS
'"Jane-Austen-Charlotte-Brontë-George-Eliot,"': KW-GS/SKWRAEUPB/H-PB/AUFT/*EPB/H-PB/KHARL/OT/H-PB/PW*P/R*/O*/TPH*/T*/xxx/H-PB/SKWRORPBLG/H-PB/*EP/HR*/*EU/O*/T*/KW-BG/KR-GS
'cried': KRAOEUD
'Poll,': KPA/POL/KW-BG
'like': HRAOEUBG
'a': AEU
'man': PHAPB
'crying': KRAOEUG
'muffins': PHUF/*EUPBZ
'in': TPH
'a': AEU
'back': PWABG
'street.': STRAOET/TP-PL
'"Damn': KW-GS/KPA*/TKAEPL
'the': -T
'woman!"': WOPL/SKHRAPL/KR-GS
'someone': SPH-PB
'exclaimed.': SKHRAEUPLD/TP-PL
'"What': KW-GS/KPA*/WHA
'a': AEU
'bore': PWOR
'she': SHE
'is!"': S/SKHRAPL/KR-GS
'"Since': KW-GS/KPA*/SEUPBS
'Sappho': SAF/SKWRO
'there': THR
'has': HAS
'been': PW-PB
'no': TPHO
'female': TPAEL
'of': -F
'first': TPEUFRT
