The Shepherdess and the Sheep

'china,': KHAOEUPB/A/KW-BG
'and': SKP
'being': -BG
'equally': KWAEL
'fragile.': TPRAPBLG/*L/TP-PL
'Close': KPA/KHROES
'to': TO
'them': THEPL
'stood': STAOD
'another': TPHOER
'figure,': TPEUG/KW-BG
'three': THRAOE
'times': TAOEUPLS
'as': AS
'large': HRARPBLG
'as': AS
'they': THE
'were,': WR/KW-BG
'and': SKP
'also': HR-S
'made': PHAED
'of': -F
'china.': KHAOEUPB/A/TP-PL
'He': KPA/HE
'was': WAS
'an': APB
'old': OLD
'Chinaman,': KWHRAOEUPB/PHA*PB/KW-BG
'who': WHO
'could': KO
'nod': TPHOD
'his': HEUS
'head,': HED/KW-BG
'and': SKP
'used': AOUFD
'to': TO
'pretend': PRE/TEPBD
'that': THA
'he': HE
'was': WAS
'the': -T
'grandfather': TKPWR-F
'of': -F
'the': -T
'shepherdess,': SHEP/ERD/*ES/KW-BG
'although': HR*T
'he': HE
'could': KO
'not': TPHOT
'prove': PROF
'it.': T/TP-PL
'He': KPA/HE
'however': HOUF
'assumed': A/SAOUPLD
'authority': THORT
'over': OEFR
'her,': HER/KW-BG
'and': SKP
'therefore': TH-FR
'when': WHEPB
'"Major-general-field-sergeant-commander': KW-GS/KPA*/PHAEUPBLG/H-PB/SKWREPBL/H-PB/TPAOELD/H-PB/S-GT/H-PB/KPHAPBD/*ER
'Billy-goat's-legs"': PWEUL/HREU/H-PB/TKPWO*ET/AES/H-PB/HREGS/KR-GS
'asked': SK-D
'for': TPOR
'the': -T
'little': HREUL
'shepherdess': SHEP/ERD/*ES
'to': TO
'be': -B
'his': HEUS
'wife,': WAOEUF/KW-BG
'he': HE
'nodded': TPHOD/-D
'his': HEUS
'head': HED
'to': TO
'show': SHOE
'that': THA
'he': HE
'consented.': KEFPBT/-D/TP-PL
'"You': KW-GS/KPA*/U
'will': HR
'have': SR
'a': AEU
'husband,"': HUS/KW-BG/KR-GS
'said': SED
'the': -T
'old': OLD
'Chinaman': KWHRAOEUPB/PHA*PB
'to': TO
'her,': HER/KW-BG
'"who': KW-GS/WHO
'I': EU
'really': R-L
'believe': PWHREF
'is': S
'made': PHAED
'of': -F
'mahogany.': PHA/HOG/TPHEU/TP-PL
'He': KPA/HE
'will': HR
'make': PHAEUBG
'you': U
'a': AEU
'lady': HRA*ED
'of': -F
'Major-general-field-sergeant-commander': KPA/PHAEUPBLG/H-PB/SKWREPBL/H-PB/TPAOELD/H-PB/S-GT/H-PB/KPHAPBD/*ER
'Billy-goat's-legs.': PWEUL/HREU/H-PB/TKPWO*ET/AES/H-PB/HREGS/TP-PL
'He': KPA/HE
'has': HAS
'the': -T
'whole': WHOEL
'cupboard': KUP/PWAORD
'full': TPUL
'of': -F
'silver': SEUL/SRER
'plate,': PHRAET/KW-BG
'which': WEU
'he': HE
'keeps': KAOEPS
'locked': HROBGD
'up': UP
'in': TPH
'secret': SKRET
'drawers."': TKRAURS/TP-PL/KR-GS
'"I': KW-GS/EU
'won't': WOEPBT
'go': TKPW
'into': TPHAO
'the': -T
'dark': TKARBG
'cupboard,"': KUP/PWAORD/KW-BG/KR-GS
'said': SED
'the': -T
'little': HREUL
'shepherdess.': SHEP/ERD/*ES/TP-PL
'"I': KW-GS/EU
'have': SR
'heard': HAERD
'that': THA
'he': HE
'has': HAS
'eleven': HREFPB
'china': KHAOEUPB/A
'wives': WAOEUFS
'there': THR
'already."': HR-R/TP-PL/KR-GS
'"Then': KW-GS/KPA*/THEPB
'you': U
'shall': SHAL
'be': -B
'the': -T
'twelfth,"': TWEFLT/KW-BG/KR-GS
'said': SED
'the': -T
'old': OLD
'Chinaman.': KWHRAOEUPB/PHA*PB/TP-PL
'"To-night': KW-GS/KPA*/TO/H-PB/TPHAOEUT
'as': AS
'soon': SAOPB
'as': AS
'you': U
'hear': HAER
'a': AEU
'rattling': RA*LGT
'in': TPH
'the': -T
'old': OLD
'cupboard,': KUP/PWAORD/KW-BG
'you': U
'shall': SHAL
'be': -B
'married,': PHAERD/KW-BG
'as': AS
'true': TRAOU
'as': AS
'I': EU
'am': APL
'a': AEU
'Chinaman;"': KWHRAOEUPB/PHA*PB/STPH*FPLT/KR-GS
'and': SKP
'then': THEPB
'he': HE
'nodded': TPHOD/-D
'his': HEUS
'head': HED
'and': SKP
'fell': TPEL
'asleep.': A/SHRAOEP/TP-PL
'Then': KPA/THEPB
'the': -T
'little': HREUL
'shepherdess': SHEP/ERD/*ES
'cried,': KRAOEUD/KW-BG
'and': SKP
'looked': HRAOBGD
'at': AT
'her': HER
'sweetheart,': SWAOET/HART/KW-BG
'the': -T
'china': KHAOEUPB/A
'chimney-sweep.': KHEUPL/TPHEU/H-PB/SWAOEP/TP-PL
'"I': KW-GS/EU
'must': PHUFT
'entreat': SPWRAOET
'you,"': U/KW-BG/KR-GS
'said': SED
'she,': SHE/KW-BG
'"to': KW-GS/TO
'go': TKPW
'out': OUT
'with': W
'me': PHE
'into': TPHAO
'the': -T
'wide': WAOEUD
'world,': WORLD/KW-BG
'for': TPOR
'we': WE
'cannot': SK-PBT
'stay': STAEU
'here."': HAOER/TP-PL/KR-GS
'"I': KW-GS/EU
'will': HR
'do': TKO
'whatever': WHAF
'you': U
'wish,"': WEURB/KW-BG/KR-GS
'said': SED
'the': -T
'little': HREUL
'chimney-sweep;': KHEUPL/TPHEU/H-PB/SWAOEP/STPH*FPLT
'"let': KW-GS/HRET
'us': US
'go': TKPW
'immediately:': PHAOELD/STPH-FPLT
'I': EU
'think': THEU
'I': EU
'shall': SHAL
'be': -B
'able': ABL
'to': TO
'maintain': PHAEUPB/TAEUPB
'you': U
'with': W
'my': PHEU
'profession."': PREFGS/TP-PL/KR-GS
'"If': KW-GS/KPA*/TP
'we': WE
'were': WR
'but': PWUT
'safely': SAEUFL
'down': TKOUPB
'from': TPR
'the': -T
'table!"': TAEUBL/SKHRAPL/KR-GS
'said': SED
'she;': SHE/STPH*FPLT
'"I': KW-GS/EU
'shall': SHAL
'not': TPHOT
'be': -B
'happy': HAEP
'till': TEUL
'we': WE
'are': R
'really': R-L
'out': OUT
'in': TPH
'the': -T
'world."': WORLD/TP-PL/KR-GS
'Then': KPA/THEPB
'he': HE
'comforted': K-FRTD
'her,': HER/KW-BG
'and': SKP
'showed': SHOED
'her': HER
'how': HOU
'to': TO
'place': PHRAEUS
'her': HER
'little': HREUL
'foot': TPAOT
'on': OPB
'the': -T
'carved': KAFRBD
'edge': EPBLG
'and': SKP
'gilt-leaf': TKPW*EULT/H-PB/HRAOEF
'ornaments': ORPB/-PLTS
'of': -F
'the': -T
'table.': TAEUBL/TP-PL
'He': KPA/HE
'brought': PWRAUT
'his': HEUS
'little': HREUL
'ladder': HRAERD
'to': TO
'help': HEP
'her,': HER/KW-BG
'and': SKP
'so': SO
'they': THE
'contrived': KAUPB/TRAOEUFD
'to': TO
'reach': RAOEFP
'the': -T
'floor.': TPHRAOR/TP-PL
'But': KPA/PWUT
'when': WHEPB
'they': THE
'looked': HRAOBGD
'at': AT
'the': -T
'old': OLD
'cupboard,': KUP/PWAORD/KW-BG
'they': THE
'saw': SAU
'it': T
'was': WAS
'all': AUL
'in': TPH
'an': APB
'uproar.': AUP/RAOR/TP-PL
'The': KPA/-T
'carved': KAFRBD
'stags': STAG/-S
'pushed': PURBD
'out': OUT
'their': THAEUR
'heads,': HEDZ/KW-BG
'raised': RA*EUFD
'their': THAEUR
'antlers,': APBT/HRER/-S/KW-BG
'and': SKP
'twisted': TWEUFTD
'their': THAEUR
'necks.': TPHEBG/-S/TP-PL
'The': KPA/-T
'major-general': PHAEUPBLG/H-PB/SKWREPBL
'sprung': SPRUPBG
'up': UP
'in': TPH
