The Storks
'the': -T
'mocking': PHOBG/-G
'song': SOPBG
'about': PW
'the': -T
'storks,': STORBG/-S/KW-BG
'not': TPHOT
'one': WUPB
'was': WAS
'so': SO
'determined': TKERPLD
'to': TO
'go': TKPW
'on': OPB
'with': W
'it': T
'as': AS
'he': HE
'who': WHO
'first': TPEUFRT
'began': TKPWAPB
'it.': T/TP-PL
'Yet': KPA/KWRET
'he': HE
'was': WAS
'a': AEU
'little': HREUL
'fellow': TP*EL
'not': TPHOT
'more': PHOR
'than': THAPB
'six': SEUBGS
'years': KWRAOERS
'old.': OLD/TP-PL
'To': KPA/TO
'the': -T
'young': KWRUPBG
'storks': STORBG/-S
'he': HE
'appeared': A/PAOERD
'at': AT
'least': HRAOEFT
'a': AEU
'hundred,': HUPBD/KW-BG
'for': TPOR
'he': HE
'was': WAS
'so': SO
'much': PHUFP
'bigger': PWEURG
'than': THAPB
'their': THAEUR
'father': TPAER
'and': SKP
'mother.': PHOER/TP-PL
'To': KPA/TO
'be': -B
'sure,': SHAOURBGS
'storks': STORBG/-S
'cannot': SK-PBT
'be': -B
'expected': KP-PTD
'to': TO
'know': TPHOE
'how': HOU
'old': OLD
'children': KHEURPB
'and': SKP
'grown-up': TKPWR*UP
'people': PAOEPL
'are.': R/TP-PL
'So': KPA/SO
'they': THE
'determined': TKERPLD
'to': TO
'have': SR
'their': THAEUR
'revenge': RE/SREPBG
'on': OPB
'this': TH
'boy,': PWOEURBGS
'because': PWAU
'he': HE
'began': TKPWAPB
'the': -T
'song': SOPBG
'first': TPEUFRT
'and': SKP
'would': WO
'keep': KAOEP
'on': OPB
'with': W
'it.': T/TP-PL
'The': KPA/-T
'young': KWRUPBG
'storks': STORBG/-S
'were': WR
'very': SRE
'angry,': APBG/REU/KW-BG
'and': SKP
'grew': TKPWRAOU
'worse': WORS
'as': AS
'they': THE
'grew': TKPWRAOU
'older;': OERLD/STPH*FPLT
'so': SO
'at': AT
'last': HRAFT
'their': THAEUR
'mother': PHOER
'was': WAS
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'promise': PROPLS
'that': THA
'they': THE
'should': SHO
'be': -B
'revenged,': RE/SREPB/-PBLGD/KW-BG
'but': PWUT
'not': TPHOT
'until': TPH-L
'the': -T
'day': TKAEU
'of': -F
'their': THAEUR
'departure.': TKPART/AOUR/TP-PL
'"We': KW-GS/KPA*/WE
'must': PHUFT
'see': SAOE
'first,': TPEUFRT/KW-BG
'how': HOU
'you': U
'acquit': A/KWEUT
'yourselves': KWRO*URSZ
'at': AT
'the': -T
'grand': TKPWRAPBD
'review,"': RE/SRAOU/KW-BG/KR-GS
'said': SED
'she.': SHE/TP-PL
'"If': KW-GS/KPA*/TP
'you': U
'get': TKPWET
'on': OPB
'badly': PWAD/HREU
'there,': THR-RBGS
'the': -T
'general': SKWREPBL
'will': HR
'thrust': THRUFT
'his': HEUS
'beak': PWAOEBG
'through': THRU
'you,': U/KW-BG
'and': SKP
'you': U
'will': HR
'be': -B
'killed,': KEULD/KW-BG
'as': AS
'the': -T
'boys': PWOEUS
'said,': SED/KW-BG
'though': THOE
'not': TPHOT
'exactly': ELG
'in': TPH
'the': -T
'same': SAEUPL
'manner.': PHAERPB/TP-PL
'So': KPA/SO
'we': WE
'must': PHUFT
'wait': WAEUT
'and': SKP
'see."': SAOE/TP-PL/KR-GS
'"You': KW-GS/KPA*/U
'shall': SHAL
'see,"': SAOERBGS/KR-GS
'said': SED
'the': -T
'young': KWRUPBG
'birds,': PWEURDZ/KW-BG
'and': SKP
'then': THEPB
'they': THE
'took': TAOBG
'such': SUFP
'pains': PAEUPBS
'and': SKP
'practised': PRABG/TEUS/-D/A*U
'so': SO
'well': WEL
'every': EF
'day,': TKAEU/KW-BG
'that': THA
'at': AT
'last': HRAFT
'it': T
'was': WAS
'quite': KWAOEUT
'a': AEU
'pleasure': PHRERB
'to': TO
'see': SAOE
'them': THEPL
'fly': TPHRAOEU
'so': SO
'lightly': HRAOEULT
'and': SKP
'prettily.': PRET/HREU/TP-PL
'As': KPA/AS
'soon': SAOPB
'as': AS
'the': -T
'autumn': AU/UPL
'arrived,': A/RAOEUFD/KW-BG
'all': AUL
'the': -T
'storks': STORBG/-S
'began': TKPWAPB
'to': TO
'assemble': A/SEPL/*L
'together': TOGT
'before': PW-FR
'taking': TAEUG
'their': THAEUR
'departure': TKPART/AOUR
'for': TPOR
'warm': WARPL
'countries': KUPBTS
'during': TKURG
'the': -T
'winter.': WEURPBT/TP-PL
'Then': KPA/THEPB
'the': -T
'review': RE/SRAOU
'commenced.': KPHEPBS/-D/TP-PL
'They': KPA/THE
'flew': TPHRAOU
'over': OEFR
'forests': TPOEFRT/-S
'and': SKP
'villages': SREULGS
'to': TO
'show': SHOE
'what': WHA
'they': THE
'could': KO
'do,': TKORBGS
'for': TPOR
'they': THE
'had': H
'a': AEU
'long': HROPBG
'journey': SKWRURPB
'before': PW-FR
'them.': THEPL/TP-PL
'The': KPA/-T
'young': KWRUPBG
'storks': STORBG/-S
'performed': PORPLD
'their': THAEUR
'part': PART
'so': SO
'well': WEL
'that': THA
'they': THE
'received': SAOEFD
'a': AEU
'mark': PHARBG
'of': -F
'honor,': HO*RPB/KW-BG
'with': W
'frogs': TPROGS
'and': SKP
'snakes': STPHAEUBGS
'as': AS
'a': AEU
'present.': PREPBT/TP-PL
'These': KPA/THEZ
'presents': PREPBTS
'were': WR
'the': -T
'best': PWEFT
'part': PART
'of': -F
'the': -T
'affair,': A/TPAEUR/KW-BG
'for': TPOR
'they': THE
'could': KO
'eat': AOET
'the': -T
'frogs': TPROGS
'and': SKP
'snakes,': STPHAEUBGS/KW-BG
'which': WEU
'they': THE
'very': SRE
'quickly': KWEULG
'did.': TK/TP-PL
'"Now': KW-GS/KPA*/TPHOU
'let': HRET
'us': US
'have': SR
'our': OUR
'revenge,"': RE/SREPBG/KW-BG/KR-GS
'they': THE
'cried.': KRAOEUD/TP-PL
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'certainly,"': SERPBL/KW-BG/KR-GS
'cried': KRAOEUD
'the': -T
'mother': PHOER
'stork.': STORBG/TP-PL
'"I': KW-GS/EU
'have': SR
'thought': THAUT
'upon': POPB
'the': -T
'best': PWEFT
'way': WAEU
'to': TO
'be': -B
'revenged.': RE/SREPB/-PBLGD/TP-PL
'I': EU
'know': TPHOE
'the': -T
'pond': POPBD
'in': TPH
'which': WEU
'all': AUL
'the': -T
'little': HREUL
'children': KHEURPB
'lie,': HRAOEU/KW-BG
'waiting': WAEUGT
'till': TEUL
'the': -T
'storks': STORBG/-S
'come': KOPL
'to': TO
'take': TAEUBG
'them': THEPL
'to': TO
'their': THAEUR
'parents.': PARPBTS/TP-PL
'The': KPA/-T
'prettiest': PRET/KWREFT
'little': HREUL
'babies': PWAEBS
'lie': HRAOEU
'there': THR
'dreaming': TKRAOEPLG
'more': PHOR
'sweetly': SWAOET/HREU
'than': THAPB
'they': THE
'will': HR
'ever': -FR
'dream': TKRAOEPL
'in': TPH
'the': -T
'time': TAOEUPL
'to': TO
'come.': KOPL/TP-PL
'All': KPA/AUL
'parents': PARPBTS
'are': R
'glad': TKPWHRAD
'to': TO
'have': SR
'a': AEU
'little': HREUL
'child,': KHAOEULD/KW-BG
'and': SKP
'children': KHEURPB
'are': R
'so': SO
'pleased': PHREFD
'with': W
'a': AEU
'little': HREUL
'brother': PWROER
'or': OR
'sister.': ST-R/TP-PL
'Now': KPA/TPHOU
'we': WE
'will': HR
'fly': TPHRAOEU
'to': TO
'the': -T
'pond': POPBD
'and': SKP
'fetch': TPEFP
'a': AEU
'little': HREUL
'baby': PWAEB
'for': TPOR
'each': AOEFP
'of': -F
'the': -T
'children': KHEURPB
'who': WHO
'did': TK
'not': TPHOT
'sing': SEUPBG
'that': THA
'naughty': TPHAU/TEU
'song': SOPBG
'to': TO
'make': PHAEUBG
'game': TKPWAEUPL
'of': -F
'the': -T
'storks."': STORBG/-S/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'the': -T
'naughty': TPHAU/TEU
'boy,': PWOEURBGS
'who': WHO
'began': TKPWAPB
'the': -T
'song': SOPBG
'first,': TPEUFRT/KW-BG
'what': WHA
'shall': SHAL
'we': WE
'do': TKO
'to': TO
'him?"': HEUPL/H-F/KR-GS
'cried': KRAOEUD
'the': -T
'young': KWRUPBG
'storks.': STORBG/-S/TP-PL
'"There': KW-GS/KPA*/THR
'lies': HRAO*EUS
'in': TPH
'the': -T
'pond': POPBD
'a': AEU
'little': HREUL
'dead': TKED
'baby': PWAEB
'who': WHO
'has': HAS
'dreamed': TKREPLD
'itself': T/SEFL
'to': TO
'death,"': TK*T/KW-BG/KR-GS
'said': SED
'the': -T
'mother.': PHOER/TP-PL
'"We': KW-GS/KPA*/WE
'will': HR
'take': TAEUBG
'it': T
'to': TO
'the': -T
'naughty': TPHAU/TEU
'boy,': PWOEURBGS
'and': SKP
'he': HE
'will': HR
'cry': KRAOEU
'because': PWAU
'we': WE
'have': SR
'brought': PWRAUT
'him': HEUPL
'a': AEU
'little': HREUL
'dead': TKED
'brother.': PWROER/TP-PL
'But': KPA/PWUT
'you': U
'have': SR
'not': TPHOT
'forgotten': TPAURGTD
'the': -T
'good': TKPWAOD
'boy': PWOEU
'who': WHO
'said': SED
'it': T
'was': WAS
'a': AEU
'shame': SHAEUPL
'to': TO
'laugh': HRAF
'at': AT
'animals:': PHAPBLS/STPH-FPLT
'we': WE
'will': HR
'take': TAEUBG
'him': HEUPL
'a': AEU
'little': HREUL
'brother': PWROER
'and': SKP
'sister': ST-R
'too,': TAO/KW-BG
'because': PWAU
'he': HE
'was': WAS
'good.': TKPWAOD/TP-PL
'He': KPA/HE
'is': S
'called': KAULD
'Peter,': PAOERT/KW-BG
'and': SKP
'you': U
'shall': SHAL
'all': AUL
'be': -B
'called': KAULD
'Peter': PAOERT
'in': TPH
'future."': TPAOURT/TP-PL/KR-GS
'So': KPA/SO
'they': THE
'all': AUL
'did': TK
'what': WHA
'their': THAEUR
'mother': PHOER
'had': H
'arranged,': ARPBG/-D/KW-BG
'and': SKP
'from': TPR
'that': THA
'day,': TKAEU/KW-BG
'even': AOEPB
'till': TEUL
'now,': TPHOURBGS
'all': AUL
'the': -T
'storks': STORBG/-S
'have': SR
'been': PW-PB
'called': KAULD
'Peter.': PAOERT/TP-PL
