Multi-syllable words with doubled consonant letters

'buffalo': PWUF/HROE
'bullet': PW*ULT
'excessive': KPES/S*EUF
'annoyed': TPHOEUD
'corruption': KRUPGS
'summons': SPHUPBS
'stillness': STEUL/-PBS
'irresistible': EUR/SEUFT/-BL
'allowance': HROUPBS
'attendant': A/TEPBD/APBT
'possesses': POE/SES/-S
'Tommy': TOPL/PHEU
'reckless': REBG/-LS
'gossip': TKPWOFP
'attendance': A/TEPBD/APBS
'accent': KP*EPBT
'succeeding': SUBG/SAOED/-G
'approve': A/PROF
'Miller': PHEUL/HRER
'afflicted': A/TPHREUBGD
'traffic': TRAFBG
'carriages': KAEURPBLG/-S
'attendants': A/TEPBD/APBTS
'unnatural': UPB/TPHARL
'occurrence': KAOURPBS
'wickedness': WEUBGD/-PBS
'Maggie': PHAG/AO*E
'carelessly': KAEURLS/HREU
'Allen': AL/-PB
'distressed': STKREFD
'Scottish': SKOT/EURB
'assertion': A/SERGS
'accessible': ABG/SES/EUBL
'newsletter': TPHUS/HRER
'battery': PWAT/REU
'attraction': A/TRABGS
'assent': ASZ/EPBT
'Murray': PHUR/REU
'Morris': PHOR/EUS
'uncommon': UPB/KPHOPB
'missionary': PHEUGS/REU
'cigarette': STKPWRET
'embarrassed': EPL/PWRAFD
'offspring': AUF/SPREUPBG
'partially': PARB/HREU
'baggage': PWAG/APBLG
'terrace': TER/AS
'allusion': A/HRAOUGS
'marrying': PHAR/REU/-G
'sullen': SUL/-PB
'corridor': KOR/TKOR
'professed': PRO/TPES/-D
'ambassador': APL/PWAS/TKOR
'acceptance': S*EPS
'breathless': PWR*ET/-LS
'disappear': TKEUS/PAOER
'attract': A/TRABGT
'suggestions': SUGS/-S
'massive': PHEUFS
'bottles': PWO*LTS
'cellar': SEL/AR
'pillars': PEUL/AR/-S
'communion': KPHAOUPB/KWROPB
'coffin': KOFPB
'eventually': AEPBT/WAEL
'Johnny': SKWROPB/KWREU
'forgiveness': TPOR/TKPW*EUFPBS
'awfully': AUF/HREU
'swallow': SWAL
'commonplace': KPHOPB/PHRA*EUS
'uneasiness': UPB/EZ/-PBS
'commencement': KPHEPBS/*PLT
'brightness': PWRAOEUT/-PBS
'oppression': O/PREGS
'pepper': PAOERP
'Matthew': PH*T/AOU
'accepts': SEPS
'principally': PREUPB/PHREU
'worried': WOERD
'Russell': RUS/SEL
'earnestness': ERPB/EFT/-PBS
'regretted': RE/TKPWRET/-D
'associations': SOEGS/-S
'beggar': PWEG/ER
'villain': SREUL/AEUPB
'settlers': SET/HRER/-S
'Harriet': HAEUR/KWRET
'exaggerated': EBGS/APBLG/RAEUTD
'hostess': HOS/TESZ
'suffice': SUF/AOEUS
'accuracy': ABG/SEU
'possibilities': POBLTS
'accounted': K-TD
'classical': KHRAL
'affecting': A/TPEBGT/-G
'efficient': TP-RBT
'supporting': SPORG
'blossoms': PWHROS/SOPL/-S
'painfully': PAEUFL/HREU
'shudder': SHUD/ER
'begging': PWEG/-G
'assented': ASZ/EPBT/-D
'conferred': K-FRD
'illusion': EUL/HRAOUGS
'Mediterranean': PHED/TRAEUPB/KWRAPB
'ammunition': APL/AOUPBGS
