An Unwritten Novel

'me—talked': PHE/EPL/TKA*RB/TAUBGD
'of': -F
'stations': STAEUGS/-S
'and': SKP
'holidays,': HOL/TKAEUS/KW-BG
'of': -F
'brothers': PWROERS
'at': AT
'Eastbourne,': *EP/A*/S*/T*/PW*/O*/*U/R*/TPH*/*E/KW-BG
'and': SKP
'the': -T
'time': TAOEUPL
'of': -F
'year,': KWRAOERBGS
'which': WEU
'was,': WAS/KW-BG
'I': EU
'forget': TPORGT
'now,': TPHOURBGS
'early': ERL
'or': OR
'late.': HRAEUT/TP-PL
'But': KPA/PWUT
'at': AT
'last': HRAFT
'looking': HRAOG
'from': TPR
'the': -T
'window': WOEUPBD
'and': SKP
'seeing,': SAOEG/KW-BG
'I': EU
'knew,': TPHAOU/KW-BG
'only': OEPBL
'life,': HRAOEUF/KW-BG
'she': SHE
'breathed,': PWRAO*ETD/KW-BG
'"Staying': KW-GS/KPA*/STAEUG
'away—that's': WA*EU/EPL/TKA*RB/THATS
'the': -T
'drawback': TKRAU/PWA*BG
'of': -F
'it——"': T/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'Ah,': KPA/AERBGS
'now': TPHOU
'we': WE
'approached': A/PROEFPD
'the': -T
'catastrophe,': KATS/TROEF/KW-BG
'"My': KW-GS/KPA*/PHEU
'sister-in-law"—the': ST-RPBL/KR-GS/EPL/TKA*RB/-T
'bitterness': PWEURT/-PBS
'of': -F
'her': HER
'tone': TOEPB
'was': WAS
'like': HRAOEUBG
'lemon': HREPL/-PB
'on': OPB
'cold': KOELD
'steel,': STAOEL/KW-BG
'and': SKP
'speaking,': SPAOEG/KW-BG
'not': TPHOT
'to': TO
'me,': PHE/KW-BG
'but': PWUT
'to': TO
'herself,': H*ERS/KW-BG
'she': SHE
'muttered,': PHUT/*ER/-D/KW-BG
'"nonsense,': KW-GS/TPHOPB/SEPBS/KW-BG
'she': SHE
'would': WO
'say—that's': SAEU/EPL/TKA*RB/THATS
'what': WHA
'they': THE
'all': AUL
'say,"': SAEU/KW-BG/KR-GS
'and': SKP
'while': WHAOEUL
'she': SHE
'spoke': SPOEBG
'she': SHE
'fidgeted': TPEUGT/-D
'as': AS
'though': THOE
'the': -T
'skin': SKEUPB
'on': OPB
'her': HER
'back': PWABG
'were': WR
'as': AS
'a': AEU
'plucked': PHRUBGD
'fowl's': TPO*UL/AES
'in': TPH
'a': AEU
'poulterer's': P*/O*/*U/HR*/T*/*ER/*ER/AES
'shop-window.': SHOP/H-PB/WOEUPBD/TP-PL
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'that': THA
'cow!"': KOU/SKHRAPL/KR-GS
'she': SHE
'broke': PWROEBG
'off': OF
'nervously,': TPHEFRB/SHREU/KW-BG
'as': AS
'though': THOE
'the': -T
'great': TKPWRAET
'wooden': WAOD/EPB
'cow': KOU
'in': TPH
'the': -T
'meadow': PHED/OE
'had': H
'shocked': SHOBGD
'her': HER
'and': SKP
'saved': SAFD
'her': HER
'from': TPR
'some': SOPL
'indiscretion.': EUPB/SKREGS/TP-PL
'Then': KPA/THEPB
'she': SHE
