Sweetheart Roland
'only': OEPBL
'one': WUPB
'left,': HREFT/KW-BG
'and': SKP
'then': THEPB
'she': SHE
'could': KO
'not': TPHOT
'refuse.': REF/AOUS/TP-PL
'But': KPA/PWUT
'when': WHEPB
'she': SHE
'began': TKPWAPB
'her': HER
'song,': SOPBG/KW-BG
'and': SKP
'it': T
'reached': RAOEFPD
'Roland's': RO/HRA*PBD/AES
'ears,': AOERS/KW-BG
'he': HE
'sprang': SPRAPBG
'up': UP
'and': SKP
'cried:': KRAOEUD/STPH-FPLT
''I': A*E/EU
'know': TPHOE
'the': -T
'voice,': SROEUS/KW-BG
'that': THA
'is': S
'the': -T
'true': TRAOU
'bride,': PWRAOEUD/KW-BG
'I': EU
'will': HR
'have': SR
'no': TPHO
'other!'': OER/SKHRAPL/AE
'Everything': KPA/EFRG
'he': HE
'had': H
'forgotten,': TPAURGTD/KW-BG
'and': SKP
'which': WEU
'had': H
'vanished': SRAPB/EURBD
'from': TPR
'his': HEUS
'mind,': PHAOEUPBD/KW-BG
'had': H
'suddenly': SULD
'come': KOPL
'home': HOEPL
'again': TKPWEPB
'to': TO
'his': HEUS
'heart.': HART/TP-PL
'Then': KPA/THEPB
'the': -T
'faithful': TPA*EUT/-FL
'maiden': PHAEUD/*EPB
'held': HELD
'her': HER
'wedding': WEGD
'with': W
'her': HER
'sweetheart': SWAOET/HART
'Roland,': RO/HRA*PBD/KW-BG
'and': SKP
'grief': TKPWRAOEF
'came': KAEUPL
'to': TO
'an': APB
'end': EPBD
'and': SKP
'joy': SKWROEU
'began.': TKPWAPB/TP-PL
