A Great Grief

'to': TO
'the': -T
'widow.': WO*EUD/TP-PL
'Puggie': P*P/*U/TKPW*/TKPW*/AO*E
'had': H
'died': TKAOEUD
'in': TPH
'the': -T
'morning,': PHORPBG/KW-BG
'and': SKP
'was': WAS
'to': TO
'be': -B
'buried': PWUR/EUD
'in': TPH
'this': TH
'part': PART
'of': -F
'the': -T
'yard;': KWRARD/STPH*FPLT
'the': -T
'grandchildren': TKPWR-PB
'of': -F
'the': -T
'widow': WO*EUD
'(that': PREPB/THA
'is,': S-RBGS
'of': -F
'the': -T
'tanner's': TAPB/ER/AES
'widow,': WO*EUD/KW-BG
'for': TPOR
'Puggie': P*P/*U/TKPW*/TKPW*/AO*E
'had': H
'never': TPHEFR
'been': PW-PB
'married)': PHAERD/PR*EPB
'filled': TPEULD
'up': UP
'the': -T
'grave,': TKPWRAEUF/KW-BG
'and': SKP
'it': T
'was': WAS
'a': AEU
'beautiful': PWAOUFL
'grave—it': TKPWRAEUF/EPL/TKA*RB/T
'must': PHUFT
'have': SR
'been': PW-PB
'quite': KWAOEUT
'pleasant': PHREFPBT
'to': TO
'lie': HRAOEU
'there.': THR/TP-PL
'The': KPA/-T
'grave': TKPWRAEUF
'was': WAS
'bordered': PWORD/ERD
'with': W
'pieces': PAOEFS
'of': -F
'flower-pots': TPHRO*UR/H-PB/POTS
'and': SKP
'strewn': STRAOUPB
'over': OEFR
'with': W
'sand;': SAPBD/STPH*FPLT
'quite': KWAOEUT
'at': AT
'the': -T
'top': TOP
'they': THE
'had': H
'stuck': STUBG
'up': UP
'half': HAF
'a': AEU
'beer': PWAOER
'bottle,': PWO*LT/KW-BG
'with': W
'the': -T
'neck': TPHEBG
'upwards,': UP/WARDZ/KW-BG
'and': SKP
'that': THA
'was': WAS
'not': TPHOT
'at': AT
'all': AUL
'allegorical.': AG/TKPWOR/K-L/TP-PL
'The': KPA/-T
'children': KHEURPB
'danced': TKAPBS/-D
'round': ROUPBD
'the': -T
'grave,': TKPWRAEUF/KW-BG
'and': SKP
'the': -T
'eldest': ELD/EFT
'of': -F
'the': -T
'boys': PWOEUS
'among': PHOPBG
'them,': THEPL/KW-BG
'a': AEU
'practical': PRABGT
'youngster': KWRUPBG/STER
'of': -F
'seven': SEFPB
'years,': KWRAOERS/KW-BG
'made': PHAED
'the': -T
'proposition': PROPGS
'that': THA
'there': THR
'should': SHO
'be': -B
'an': APB
'exhibition': KPEUBGS
'of': -F
'Puggie's': P*P/*U/TKPW*/TKPW*/AO*E/AES
'burial-place': PWUR/KWRAL/H-PB/PHRAEUS
'for': TPOR
'all': AUL
'who': WHO
'lived': HREUFD
'in': TPH
'the': -T
'lane;': HRAEPB/STPH*FPLT
'the': -T
'price': PRAOEUS
'of': -F
'admission': AD/PHEUGS
'was': WAS
'to': TO
'be': -B
'a': AEU
'trouser': TROURS
'button,': PW*PB/KW-BG
'for': TPOR
'every': EF
'boy': PWOEU
'would': WO
'be': -B
'sure': SHUR
'to': TO
'have': SR
'one,': WUPB/KW-BG
'and': SKP
'each': AOEFP
'might': PHAOEUT
'also': HR-S
'give': TKPWEUF
'one': WUPB
'for': TPOR
'a': AEU
'little': HREUL
'girl.': TKPWEURL/TP-PL
'This': KPA/TH
'proposal': PROEL
'was': WAS
'adopted': A/TKOPTD
'by': PWEU
'acclamation.': ABG/HRA/PHAEUGS/TP-PL
'And': AFPBD
'all': AUL
'the': -T
'children': KHEURPB
'out': OUT
'of': -F
'the': -T
'lane—yes,': HRAEPB/EPL/TKA*RB/KWRERBGS
'even': AOEPB
'out': OUT
'of': -F
'the': -T
'little': HREUL
'lane': HRAEPB
'at': AT
'the': -T
'back—flocked': PWABG/EPL/TKA*RB/TPHROBGD
'to': TO
'the': -T
'place,': PHRAEUS/KW-BG
'and': SKP
'each': AOEFP
'gave': TKPWAEUF
'a': AEU
'button.': PW*PB/TP-PL
'Many': KPA/PHAEPB
'were': WR
'noticed': TPH-TS/-D
'to': TO
'go': TKPW
'about': PW
'on': OPB
'that': THA
'afternoon': AFPB
'with': W
'only': OEPBL
'one': WUPB
'suspender;': SP*EPBD/*ER/STPH*FPLT
'but': PWUT
'then': THEPB
'they': THE
'had': H
'seen': SAOEPB
'Puggie's': P*P/*U/TKPW*/TKPW*/AO*E/AES
'grave,': TKPWRAEUF/KW-BG
'and': SKP
'the': -T
'sight': SAOEUT
'was': WAS
'worth': WO*RT
'much': PHUFP
'more.': PHOR/TP-PL
'But': KPA/PWUT
'in': TPH
'front': TPROPBT
'of': -F
'the': -T
