The Jumper
'into': TPHAO
'foreign': TPOERPB
'military': PHEUL/TAER
'service,': S-FS/KW-BG
'where': W-R
'it': T
'is': S
'said': SED
'he': HE
'was': WAS
'killed.': KEULD/TP-PL
'The': KPA/-T
'Grasshopper': KPA/TKPWHR*FRPBLG
'seated': SAOETD
'himself': HEUPLS
'out': OUT
'in': TPH
'the': -T
'ditch,': TKEUFP/KW-BG
'and': SKP
'thought': THAUT
'and': SKP
'considered': KR-D
'how': HOU
'things': THEUPBGS
'happened': HAPD
'in': TPH
'the': -T
'world.': WORLD/TP-PL
'And': AFPBD
'he': HE
'too': TAO
'said,': SED/KW-BG
'"Body': KW-GS/KPA*/PWO*ED
'is': S
'required!': RAOEURD/SKHRAPL
'body': PWO*ED
'is': S
'required!"': RAOEURD/SKHRAPL/KR-GS
'And': AFPBD
'then': THEPB
'he': HE
'sang': SAPBG
'his': HEUS
'own': OEPB
'melancholy': PHEL/KOL/HREU
'song,': SOPBG/KW-BG
'and': SKP
'from': TPR
'that': THA
'we': WE
'have': SR
'gathered': TKPWAERD
'this': TH
'story,': STOER/KW-BG
'which': WEU
'they': THE
'say': SAEU
'is': S
'not': TPHOT
'true,': TRAOU/KW-BG
'though': THOE
'it's': T-S
'in': TPH
'print.': PREUPBT/TP-PL
